id,asin.original,asin.variant,review_data,date.date,date.unix,name,rating,title,review,verified_purchase,media,positive_sentiment,negative_sentiment,asin,num_tokens,review_num_tokens,response
0,B07X7YFZWG,B07X7YFZWG,"Reviewed in the United States 🇺🇸 on December 30, 2022",2022-12-30,1672358400,kevin bauer,5,Perfect gift,My granddaughter who is 2 12 loves this product The minute she opened it She started playing with that Perfect for the car and long airplane trips,False,[],0.9696183800697328,0.0098232012242078,B07X7YFZWG,29,29,"{""Review Summary"": ""Great product for young children, perfect for travel"",""Observed Technical Facts"": ""Unknown"",""Improvements expected / what users request"": ""Unknown"",""Complaints and issues users have experienced"": ""Unknown"",""How the product is used"": ""Playing during travel"",""Where the product is used"": ""Car, airplane"",""Sentiment"": ""Positive"",""Anger"": ""No"",""Anger Reason"": ""N/A"",""Delight"": ""Yes"",""Delight Reason"": ""Granddaughter loves it, perfect for travel"",""Disappointment"": ""No"",""Disappointment Reason"": ""N/A"",""Time"": ""Unknown"",""Season"": ""Unknown"",""Weather"": ""Unknown"",""User Known"": ""No"",""User Description"": ""Grandparent who purchased the product for their granddaughter""}"
1,B07X7YFZWG,B07XCRT49W,"Reviewed in the United States 🇺🇸 on December 29, 2022",2022-12-29,1672272000,Dragonbear82,4,Fun for fidde toy or for car rides,It is a nice car toy non messy good for any kid over 5a bit loud and rattly at first but worth it,False,[],0.856742799282074,0.0038723137695342,B07X7YFZWG,26,26,"{""Review Summary"": ""Nice car toy for kids over 5, a bit loud and rattly at first but worth it."",""Observed Technical Facts"": ""Unknown"",""Improvements expected / what users request"": ""Unknown"",""Complaints and issues users have experienced"": ""Loud and rattly at first"",""How the product is used"": ""As a toy car"",""Where the product is used"": ""Unknown"",""Sentiment"": ""Positive"",""Anger"": ""No"",""Anger Reason"": ""N/A"",""Delight"": ""Yes"",""Delight Reason"": ""Nice toy, non-messy"",""Disappointment"": ""No"",""Disappointment Reason"": ""N/A"",""Time"": ""Unknown"",""Season"": ""Unknown"",""Weather"": ""Unknown"",""User Known"": ""No"",""User Description"": ""Parent or gift giver""}"
2,B07X7YFZWG,B07XCRT49W,"Reviewed in the United States 🇺🇸 on December 26, 2022",2022-12-26,1672012800,mbfreecustomer,4,Gift,Gift for our grandson,False,[],0.901494026184082,0.0222529768943786,B07X7YFZWG,4,4,"{""Review Summary"": ""Unknown"",""Observed Technical Facts"": ""Unknown"",""Improvements expected / what users request"": ""Unknown"",""Complaints and issues users have experienced"": ""Unknown"",""How the product is used"": ""Unknown"",""Where the product is used"": ""Unknown"",""Sentiment"": ""Unknown"",""Anger"": ""false"",""Anger Reason"": ""N/A"",""Delight"": ""Unknown"",""Delight Reason"": ""Unknown"",""Disappointment"": ""Unknown"",""Disappointment Reason"": ""Unknown"",""Time"": ""Unknown"",""Season"": ""Unknown"",""Weather"": ""Unknown"",""User Known"": ""false"",""User Description"": ""Unknown""}"
3,B07X7YFZWG,B07XCRT49W,"Reviewed in the United States 🇺🇸 on December 18, 2022",2022-12-18,1671321600,Anna,5,Super satisfying/ can get annoying,This product is great however can get annoying after time,False,[],0.5012603402137756,0.0642836540937423,B07X7YFZWG,10,10,"{""Review Summary"": ""Product is great but can get annoying over time."",""Observed Technical Facts"": ""Unknown"",""Improvements expected / what users request"": ""Unknown"",""Complaints and issues users have experienced"": ""Product can get annoying over time"",""How the product is used"": ""Unknown"",""Where the product is used"": ""Unknown"",""Sentiment"": ""Neutral"",""Anger"": ""No"",""Anger Reason"": ""N/A"",""Delight"": ""No"",""Delight Reason"": ""N/A"",""Disappointment"": ""No"",""Disappointment Reason"": ""N/A"",""Time"": ""Unknown"",""Season"": ""Unknown"",""Weather"": ""Unknown"",""User Known"": ""No"",""User Description"": ""Unknown""}"
4,B07X7YFZWG,B07XCRVK2Y,"Reviewed in the United States 🇺🇸 on December 16, 2022",2022-12-16,1671148800,Heather Phillips,5,"Educational, entertaining, interactive, fun,",Needed something for my grandson while he was recovering from surgery for an unknown amount of time at the time I was trying to find something that he could play with that wouldnt get lost or go all over the place while he could remain fairly stationary while he was in the boundaries of his bed It worked out really well and he had lots of fun and continues to do so Great product,False,[],0.9902730584144592,0.0017359284684062,B07X7YFZWG,75,75,"{""Review Summary"": ""Great product for children recovering from surgery or needing to stay in bed."",""Observed Technical Facts"": ""Unknown"",""Improvements expected / what users request"": ""Unknown"",""Complaints and issues users have experienced"": ""None mentioned"",""How the product is used"": ""As a toy for a child recovering from surgery"",""Where the product is used"": ""In bed"",""Sentiment"": ""Positive"",""Anger"": ""No"",""Anger Reason"": ""N/A"",""Delight"": ""Yes"",""Delight Reason"": ""Product worked well and provided entertainment for the child"",""Disappointment"": ""No"",""Disappointment Reason"": ""N/A"",""Time"": ""Unknown"",""Season"": ""Unknown"",""Weather"": ""Unknown"",""User Known"": ""No"",""User Description"": ""Grandparent looking for a toy for their recovering grandchild""}"
5,B07X7YFZWG,B07X7YFZWG,"Reviewed in the United States 🇺🇸 on December 13, 2022",2022-12-13,1670889600,Meaghan M.,4,Almost perfect,I bought this before a long international trip as inflight entertainment for my almost two year oldPros its super fun to use I even love doing it My son was able to figure it out right away and also really enjoyed it Theres ZERO chance of making a mess or losing pieces so its great for the car or a planeCons slightly noisy though I dont mind Main issue and reason I said ALMOST perfect is that some of the holes are just slightly smaller and the metal balls fall down as soon as you pull them up Not a huge issue given the price but if I had bought this as a mindfulness exercise for myself Id also have to work on my patience and acceptance Overall worth the money especially for travel,False,[],0.7412827610969543,0.0316500142216682,B07X7YFZWG,139,139,"{""Review Summary"": ""Great for travel, but some minor issues with metal balls falling out of holes."",""Observed Technical Facts"": ""No technical facts mentioned."",""Improvements expected / what users request"": ""Better hole design to prevent metal balls from falling out."",""Complaints and issues users have experienced"": ""Metal balls falling out of some holes."",""How the product is used"": ""Inflight entertainment for a toddler."",""Where the product is used"": ""Car, plane."",""Sentiment"": ""Positive"",""Anger"": ""No"",""Anger Reason"": ""N/A"",""Delight"": ""Yes"",""Delight Reason"": ""Super fun to use, easy for toddler to figure out, no mess or lost pieces."",""Disappointment"": ""Yes"",""Disappointment Reason"": ""Metal balls falling out of some holes."",""Time"": ""Unknown"",""Season"": ""Unknown"",""Weather"": ""Unknown"",""User Known"": ""No"",""User Description"": ""Parent who purchased the product for a toddler's entertainment during travel.""}"
6,B07X7YFZWG,B07X7YFZWG,"Reviewed in the United States 🇺🇸 on December 8, 2022",2022-12-08,1670457600,Carol Riggs,5,Creative Toy,I bought this for my one and only granddaughter who lives across the US from me for her 4th birthday She likes it and declares that its awesome,False,[],0.9133710861206056,0.0090524107217788,B07X7YFZWG,30,30,"{""Review Summary"": ""Positive feedback from a grandparent who bought the product as a gift for their granddaughter."",""Observed Technical Facts"": ""Unknown"",""Improvements expected / what users request"": ""Unknown"",""Complaints and issues users have experienced"": ""Unknown"",""How the product is used"": ""As a gift for a 4-year-old granddaughter"",""Where the product is used"": ""Unknown"",""Sentiment"": ""Positive"",""Anger"": ""No"",""Anger Reason"": ""N/A"",""Delight"": ""Yes"",""Delight Reason"": ""Granddaughter likes it and declares it awesome"",""Disappointment"": ""No"",""Disappointment Reason"": ""N/A"",""Time"": ""Unknown"",""Season"": ""Unknown"",""Weather"": ""Unknown"",""User Known"": ""Yes"",""User Description"": ""Grandparent who bought the product as a gift for their granddaughter""}"
7,B07X7YFZWG,B07X7YFZWG,"Reviewed in the United States 🇺🇸 on November 29, 2022",2022-11-29,1669680000,Amazon Customer,4,Fun car toy,The kids love it It is pretty loud with all the little metal balls Sometimes they dont stay up on the board,False,[],0.9347500801086426,0.004588502459228,B07X7YFZWG,22,22,"{""Review Summary"": ""Kids love it, but it can be loud and the balls don't always stay on the board."",""Observed Technical Facts"": ""Magnetic board, metal balls"",""Improvements expected / what users request"": ""Quieter operation, better magnetism to keep balls on board"",""Complaints and issues users have experienced"": ""Loud operation, balls don't always stay on board"",""How the product is used"": ""Unknown"",""Where the product is used"": ""Unknown"",""Sentiment"": ""Positive"",""Anger"": ""No"",""Anger Reason"": ""N/A"",""Delight"": ""Yes"",""Delight Reason"": ""Kids love it"",""Disappointment"": ""Yes"",""Disappointment Reason"": ""Loud operation, balls don't always stay on board"",""Time"": ""Unknown"",""Season"": ""Unknown"",""Weather"": ""Unknown"",""User Known"": ""No"",""User Description"": ""Parent or caregiver of children who use the product""}"
8,B07X7YFZWG,B07X7YFZWG,"Reviewed in the United States 🇺🇸 on November 25, 2022",2022-11-25,1669334400,Kelly O,2,Great toy but doesn't work ....,My kids loved this toy but by the second day some of the balls would not stay up and some would get stuck in the up position I know its jut a cheap toy but whats the point if it doesnt work Also the pen should be attached with a string because youll lose it,False,[],0.0434756353497505,0.6152324080467224,B07X7YFZWG,57,57,"{""Review Summary"": ""Kids loved the toy but it has some functionality issues and design flaws."",""Observed Technical Facts"": ""Balls not staying up, balls getting stuck, detachable pen"",""Improvements expected / what users request"": ""Better functionality, attached pen"",""Complaints and issues users have experienced"": ""Balls not staying up, balls getting stuck, detachable pen"",""How the product is used"": ""As a toy for kids"",""Where the product is used"": ""Unknown"",""Sentiment"": ""Negative"",""Anger"": ""No"",""Anger Reason"": ""N/A"",""Delight"": ""No"",""Delight Reason"": ""N/A"",""Disappointment"": ""Yes"",""Disappointment Reason"": ""Functionality issues, design flaws"",""Time"": ""Unknown"",""Season"": ""Unknown"",""Weather"": ""Unknown"",""User Known"": ""No"",""User Description"": ""Parent who purchased the toy for their kids""}"
9,B07X7YFZWG,B07XCRVK2Y,"Reviewed in the United States 🇺🇸 on November 22, 2022",2022-11-22,1669075200,Jocelyn K.,5,"I would love if the stylist could be attached, as my 1 year old lost it within the first hour",I cant say how durable or sturdy it is Ive had it just for an evening So far so good My only complaint would be to attach the stylus to the board so it cant get lost ,False,[],0.951256275177002,0.0023479454685002,B07X7YFZWG,39,39,"{""Review Summary"": ""Positive initial impression, but with a minor complaint"",""Observed Technical Facts"": ""Unknown"",""Improvements expected / what users request"": ""Stylus attachment to the board"",""Complaints and issues users have experienced"": ""Stylus can get lost"",""How the product is used"": ""Unknown"",""Where the product is used"": ""Unknown"",""Sentiment"": ""Neutral"",""Anger"": ""No"",""Anger Reason"": ""N/A"",""Delight"": ""No"",""Delight Reason"": ""N/A"",""Disappointment"": ""No"",""Disappointment Reason"": ""N/A"",""Time"": ""Evening"",""Season"": ""Unknown"",""Weather"": ""Unknown"",""User Known"": ""No"",""User Description"": ""Unknown""}"
