"asin","data_label","positive_sentiment","negative_sentiment","rating_avg","rating","id","how_product_is_used","media","where_product_is_used","user_description","observation_count","percentage","type","cluster_label"
"B07X7YFZWG","added more engaging features for adults","0.986908495426178","0.0028510177507996",NULL,"[5]","[81]","['Entertaining toddlers']","[]","['Unknown']","['Parent of a toddler']",1,"2.7777777777777777","Improvement","Product Improvements and Features"
"B01M4OV4Q4","improved noise level for quieter operation","0.9469536542892456","0.0023559932596981",NULL,"[4]","[400]","['As an activity during quiet time']","[]","['At home']","['Parent of a 4-year-old daughter']",1,"20","Improvement","Reduced Noise Levels"
"B07X7YFZWG","added lanyard attachment for pen","0.9378347396850586","0.0049439305439591",NULL,"[5]","[51]","['Drawing and writing']","[]","['Unknown']","['Parent of kids who use the drawing boards']",1,"2.7777777777777777","Improvement","Pen Attachments and Connectivity"
"B07X7YFZWG","added larger size options","0.1347458660602569","0.4000005722045898",NULL,"[3]","[70]","['Unknown']","[]","['Unknown']","['Unknown']",1,"2.7777777777777777","Improvement","Product Improvements and Features"
"B07Q899BPB","added replacement or refund option","0.0006667474517598","0.9973742365837096",NULL,"[1]","[280]","['Unknown']","[]","['Unknown']","['Unknown']",1,"11.11111111111111","Improvement","Product Quality and Customer Service"
"B01M4OV4Q4","improved magnet strength and functionality","0.0444685406982898","0.6372043490409851",NULL,"[3]","[404]","['Pediatric occupational therapy']","[]","['Unknown']","['Pediatric occupational therapist']",1,"20","Improvement","Magnetic Board and Pen Improvements"
"B07X7YFZWG","added string attachment for pens to prevent loss","0.912802278995514","0.0311444699764251",NULL,"[5]","[50]","['Artistic activities']","[]","['Unknown']","['Unknown']",1,"2.7777777777777777","Improvement","Pen Attachments and Connectivity"
"B07X7YFZWG","improved durability and rust prevention design","0.0012810331536456","0.9965346455574036",NULL,"[1]","[73]","['Unknown']","[]","['Unknown']","['Unknown']",1,"2.7777777777777777","Improvement","Product Quality and Design"
"B07Q899BPB","added replacement of damaged/used product with a new one","0.0171710699796676","0.8208156228065491",NULL,"[1]","[279]","['Unknown']","[]","['Unknown']","['Unknown']",1,"11.11111111111111","Improvement","Product Quality and Customer Service"
"B07X7YFZWG","fixed issue with beads getting stuck","0.9258797764778136","0.0028126626275479",NULL,"[4]","[60]","['In the car to keep kids entertained']","[]","['Car']","['Parent who uses the toy to keep their child entertained in the car']",1,"2.7777777777777777","Improvement","Product Quality and Customer Service"
