"position.page","position.position","position.global_position","asin","price.discounted","price.current_price","price.currency","price.before_price","price.savings_amount","price.savings_percent","reviews.total_reviews","reviews.rating","url","score","sponsored","amazonChoice","bestSeller","amazonPrime","title","thumbnail"
1,4,3,"B0BZTV3WK1",true,20.99,"USD",59.99,39,65.01,3,5,"https://www.amazon.com/dp/B0BZTV3WK1","15.00",false,false,false,false,"Sponsored Ad - Magnetic Drawing Board for Kids,Doodle board with Magnetic Pen Magnetic Beads,24 Patterns Magnetic Dot Art ...","https://m.media-amazon.com/images/I/818-rHb7M2L._AC_UL320_.jpg"
1,5,4,"B083CX6B27",true,17.99,"USD",19.99,2,10.01,688,4.5,"https://www.amazon.com/dp/B083CX6B27","3096.00",false,false,false,false,"PicassoTiles 2-in-1 Double-Sided Magnetic Drawing Board Lower Case Alphabet Letter and Free Style Writing Reading Playboar...","https://m.media-amazon.com/images/I/81zw2Ktpk2L._AC_UL320_.jpg"
1,6,5,"B09T9X4VYH",false,28.99,"USD",0,0,0,13,4.8,"https://www.amazon.com/dp/B09T9X4VYH","62.40",false,false,false,false,"Yexiya 3 Packs Magnetic Kids Board for Kids Magnetic Bead Drawing Board Magnet Toys with Pen and Bead Learning Writing Boa...","https://m.media-amazon.com/images/I/71gJjgu5EcL._AC_UL320_.jpg"
1,7,6,"B09VK93B4Z",false,28.99,"USD",0,0,0,26,4.9,"https://www.amazon.com/dp/B09VK93B4Z","127.40",false,false,false,false,"4 Pack Magnetic Drawing Board for Toddlers with Drawing Stylus 380 Bead Magnet Tablet Pad Erasable Reusable Writing Playbo...","https://m.media-amazon.com/images/I/81rPnJmReEL._AC_UL320_.jpg"
1,8,7,"B07XCRVK2Y",false,14.98,"USD",0,0,0,1385,4.6,"https://www.amazon.com/dp/B07XCRVK2Y","6371.00",false,false,false,false,"Sponsored Ad - AYNAT FUN Magnetic Drawing Board for Kids & Toddlers with Beads and Magnet Stylus Pen - Magnetic Tablet Toy...","https://m.media-amazon.com/images/I/91t6p5p1lZL._AC_UL320_.jpg"
1,9,8,"B0BN8BVQ2N",true,18,"USD",25,7,28,98,4.7,"https://www.amazon.com/dp/B0BN8BVQ2N","460.60",false,true,false,false,"Magnetic Drawing Board for Toddlers, Large Doodle Board with Magnetic Pen and Beads, Magnetic Dot Art, Montessori Educatio...","https://m.media-amazon.com/images/I/71t6ly+TLSL._AC_UL320_.jpg"
1,10,9,"B09VBZZ9C8",true,15.99,"USD",16.99,1,5.89,41,4.5,"https://www.amazon.com/dp/B09VBZZ9C8","184.50",false,false,false,false,"3 Pack Mini Magnetic Bead Board for Kids Magnetic Drawing Board for Toddlers School Kindergarten Magnet Toys Gift Drawing ...","https://m.media-amazon.com/images/I/71nCiUWRkqL._AC_UL320_.jpg"
1,11,10,"B07F2QHCCN",false,19.99,"USD",0,0,0,398,4.5,"https://www.amazon.com/dp/B07F2QHCCN","1791.00",false,false,false,false,"Playmags Magnetic Drawing Board, Large Writing Tablet for Kids & Toddlers, Magnet Beads w/Drawing Stylus, (12"" x 10"") - ST...","https://m.media-amazon.com/images/I/81NIiN-vp8L._AC_UL320_.jpg"
1,12,11,"B0BWF78VX7",false,18.59,"USD",0,0,0,35,4.4,"https://www.amazon.com/dp/B0BWF78VX7","154.00",false,false,false,false,"Magnetic Drawing Board for Kids Magnetic Dot Art Doodle Board for Toddlers 3-6 Years Old Montessori Educational Preschool ...","https://m.media-amazon.com/images/I/71w0oXUDLFL._AC_UL320_.jpg"
1,13,12,"B01M4OV4Q4",false,14.88,"USD",0,0,0,946,4.6,"https://www.amazon.com/dp/B01M4OV4Q4","4351.60",false,false,false,false,"RAINBOW TOYFROG Magnetic Drawing Board - Fully Enclosed Magnetic Beads & Stylus Pen - Sensory Magnet Board for Kids - Trav...","https://m.media-amazon.com/images/I/51mLq1T2OdL._AC_UL320_.jpg"
