"position.page","position.position","position.global_position","asin","price.discounted","price.current_price","price.currency","price.before_price","price.savings_amount","price.savings_percent","reviews.total_reviews","reviews.rating","url","score","sponsored","amazonChoice","bestSeller","amazonPrime","title","thumbnail"
1,4,3,"B083CX6B27",true,17.99,"USD",19.99,2,10.01,689,4.5,"https://www.amazon.com/dp/B083CX6B27","3100.50",false,false,false,false,"PicassoTiles 2-in-1 Double-Sided Magnetic Drawing Board Lower Case Alphabet Letter and Free Style Writing Reading Playboar...","https://m.media-amazon.com/images/I/81zw2Ktpk2L._AC_UL400_.jpg"
1,5,4,"B0BN8BVQ2N",true,18,"USD",25,7,28,100,4.7,"https://www.amazon.com/dp/B0BN8BVQ2N","470.00",false,false,false,false,"Magnetic Drawing Board for Toddlers, Large Doodle Board with Magnetic Pen and Beads, Magnetic Dot Art, Montessori Educatio...","https://m.media-amazon.com/images/I/71t6ly+TLSL._AC_UL400_.jpg"
1,6,5,"B08BKNF8DS",false,19.98,"USD",0,0,0,287,4.4,"https://www.amazon.com/dp/B08BKNF8DS","1262.80",false,false,false,false,"AYNAT FUN Magnetic Drawing Board for Toddlers & Kids with Beads and Drawing Stylus - Toddler Doodle Board & Sketch Toys fo...","https://m.media-amazon.com/images/I/915wsikw6IL._AC_UL400_.jpg"
1,7,6,"B0BD59CVZS",false,34.99,"USD",0,0,0,1,4,"https://www.amazon.com/dp/B0BD59CVZS","4.00",false,false,false,false,"Yaomiao 8 Pack Magnetic Drawing Board with Beads and Drawing Stylus Magnetic Bead Board Magnet Tablet Pad Travel Game Magn...","https://m.media-amazon.com/images/I/81euK91mYXL._AC_UL400_.jpg"
2,3,9,"B07XCRVK2Y",false,14.98,"USD",0,0,0,1389,4.6,"https://www.amazon.com/dp/B07XCRVK2Y","6389.40",false,false,false,false,"Sponsored Ad - AYNAT FUN Magnetic Drawing Board for Kids & Toddlers with Beads and Magnet Stylus Pen - Magnetic Tablet Toy...","https://m.media-amazon.com/images/I/91t6p5p1lZL._AC_UL400_.jpg"
2,4,10,"B0BXT2W7C2",false,19.99,"USD",0,0,0,1,5,"https://www.amazon.com/dp/B0BXT2W7C2","5.00",false,false,false,false,"Sponsored Ad - Magnetic Drawing Board for Kids, Magnetic Doodle Board for Toddlers, Large Magnetic Toys with Magnetic Bead...","https://m.media-amazon.com/images/I/71AeRu3954L._AC_UL400_.jpg"
2,5,11,"B07BSV1DSH",false,19.99,"USD",0,0,0,9408,4.6,"https://www.amazon.com/dp/B07BSV1DSH","43276.80",false,false,false,false,"Veatree 160Pcs Magnetic Building Sticks Blocks Toys, Magnet Educational Toys STEM Toys for Kids and Adult, 3D Non-Toxic Bu...","https://m.media-amazon.com/images/I/61fVX1XySnL._AC_UL400_.jpg"
2,6,12,"B07MBW6JNL",true,5,"USD",9.99,4.99,49.95,36581,4.7,"https://www.amazon.com/dp/B07MBW6JNL","171930.70",false,false,false,false,"BunMo Pop Tubes Large 4pk | Hours of Fun for Kids | Imaginative Play & Stimulating Creative Learning | Toddler Sensory Toy...","https://m.media-amazon.com/images/I/71XAgVO64wL._AC_UL400_.jpg"
2,7,13,"B005HZ35FK",true,14.22,"USD",18.99,4.77,25.12,4522,4.7,"https://www.amazon.com/dp/B005HZ35FK","21253.40",false,false,false,false,"Perler Beads Large Square Pegboards for Kids Crafts, 4 pcs","https://m.media-amazon.com/images/I/91zIyww4BaL._AC_UL400_.jpg"
2,8,14,"B07CZ74J5M",false,14.99,"USD",0,0,0,399,4.5,"https://www.amazon.com/dp/B07CZ74J5M","1795.50",false,false,false,false,"Playmags Magnetic Drawing Board, Travel Toys for Kids & Toddlers, Magnet Beads w/Drawing Stylus, 8.5"" x 7"" Travel Size Roa...","https://m.media-amazon.com/images/I/61aqCtbionL._AC_UL400_.jpg"
3,4,18,"B0BXT2W7C2",false,19.99,"USD",0,0,0,1,5,"https://www.amazon.com/dp/B0BXT2W7C2","5.00",false,false,false,false,"Sponsored Ad - Magnetic Drawing Board for Kids, Magnetic Doodle Board for Toddlers, Large Magnetic Toys with Magnetic Bead...","https://m.media-amazon.com/images/I/71AeRu3954L._AC_UL320_.jpg"
3,6,20,"B07X7YFZWG",false,14.98,"USD",0,0,0,1389,4.6,"https://www.amazon.com/dp/B07X7YFZWG","6389.40",false,false,false,false,"Sponsored Ad - AYNAT FUN Magnetic Drawing Board for Toddlers & Kids - Toddler Doodle & Sketch Toys, Includes Magnet Stylus...","https://m.media-amazon.com/images/I/81InSmKIv-L._AC_UL320_.jpg"
3,8,22,"B0BN3JZVSM",false,15.69,"USD",0,0,0,24,4.2,"https://www.amazon.com/dp/B0BN3JZVSM","100.80",false,false,false,false,"Sponsored Ad - MKbobean Magnetic Drawing Board for Toddlers 3+, 3 Pack Mini Magnetic Beads for Kids, Magnetic Board for Ki...","https://m.media-amazon.com/images/I/71WA6nFYDqL._AC_UL320_.jpg"
3,9,23,"B0C1VC4RJB",true,17.99,"USD",19.9,1.91,9.6,2,4.5,"https://www.amazon.com/dp/B0C1VC4RJB","9.00",false,false,false,false,"Sponsored Ad - INDIVSHOW 3pcs Bead Mats for Beading, Soft Perfect Stable Bead Mat for Jewelry Making, Bead Boards for Neck...","https://m.media-amazon.com/images/I/71pxUceqWwL._AC_UL320_.jpg"
4,3,26,"B0BXT2W7C2",false,19.99,"USD",0,0,0,1,5,"https://www.amazon.com/dp/B0BXT2W7C2","5.00",false,false,false,false,"Sponsored Ad - Magnetic Drawing Board for Kids, Magnetic Doodle Board for Toddlers, Large Magnetic Toys with Magnetic Bead...","https://m.media-amazon.com/images/I/71AeRu3954L._AC_UL400_.jpg"
4,5,28,"B07X7YFZWG",false,14.98,"USD",0,0,0,1389,4.6,"https://www.amazon.com/dp/B07X7YFZWG","6389.40",false,false,false,false,"Sponsored Ad - AYNAT FUN Magnetic Drawing Board for Toddlers & Kids - Toddler Doodle & Sketch Toys, Includes Magnet Stylus...","https://m.media-amazon.com/images/I/81InSmKIv-L._AC_UL400_.jpg"
4,7,30,"B0BRM4S1GT",false,18.99,"USD",0,0,0,19,4.1,"https://www.amazon.com/dp/B0BRM4S1GT","77.90",false,false,false,false,"Sponsored Ad - PP OPOUNT Wooden Jewelry Design Board, Flocked Bead Board for Jewelry Making, Solid Wood with Flocked Bead ...","https://m.media-amazon.com/images/I/81xNpzAG2WL._AC_UL400_.jpg"
4,8,31,"B0C1VC4RJB",true,17.99,"USD",19.9,1.91,9.6,2,4.5,"https://www.amazon.com/dp/B0C1VC4RJB","9.00",false,false,false,false,"Sponsored Ad - INDIVSHOW 3pcs Bead Mats for Beading, Soft Perfect Stable Bead Mat for Jewelry Making, Bead Boards for Neck...","https://m.media-amazon.com/images/I/71pxUceqWwL._AC_UL400_.jpg"
4,9,32,"B0BN3JZVSM",false,15.69,"USD",0,0,0,24,4.2,"https://www.amazon.com/dp/B0BN3JZVSM","100.80",false,false,false,false,"Sponsored Ad - MKbobean Magnetic Drawing Board for Toddlers 3+, 3 Pack Mini Magnetic Beads for Kids, Magnetic Board for Ki...","https://m.media-amazon.com/images/I/71WA6nFYDqL._AC_UL400_.jpg"
1,8,33,"B07XCRVK2Y",false,14.98,"USD",0,0,0,1389,4.6,"https://www.amazon.com/dp/B07XCRVK2Y","6389.40",false,false,false,false,"Sponsored Ad - AYNAT FUN Magnetic Drawing Board for Kids & Toddlers with Beads and Magnet Stylus Pen - Magnetic Tablet Toy...","https://m.media-amazon.com/images/I/91t6p5p1lZL._AC_UL400_.jpg"
1,9,34,"B0BW6VP4P9",false,19.99,"USD",0,0,0,2,5,"https://www.amazon.com/dp/B0BW6VP4P9","10.00",false,false,false,false,"Magnetic Drawing Board for Kids, Magnetic Dot Art, Large Magnetic Doodle Board with Magnetic Pen and Beads, Montessori Pre...","https://m.media-amazon.com/images/I/71oUMCaW7HL._AC_UL400_.jpg"
1,10,35,"B0995JZ57Q",false,7.49,"USD",0,0,0,76,4.5,"https://www.amazon.com/dp/B0995JZ57Q","342.00",false,false,false,false,"3 Pieces Replacement Stylus Magnetic Drawing Pen Magnet Replacement Pens for Play Magnapad Magnetic Drawing Board Writing ...","https://m.media-amazon.com/images/I/71PxP+gRjDL._AC_UL400_.jpg"
1,11,36,"B0BW3NR5JW",true,18.98,"USD",19.89,0.91,4.58,8,4.4,"https://www.amazon.com/dp/B0BW3NR5JW","35.20",false,false,false,false,"Magnetic Drawing Board, Doodle Board Magnetic Drawing Board for Kids Ages 3-6, Educational Preschool Toy, Large Doodle Boa...","https://m.media-amazon.com/images/I/71xcphoucFL._AC_UL400_.jpg"
1,12,37,"B09VBZZ9C8",true,15.99,"USD",16.99,1,5.89,41,4.5,"https://www.amazon.com/dp/B09VBZZ9C8","184.50",false,false,false,false,"3 Pack Mini Magnetic Bead Board for Kids Magnetic Drawing Board for Toddlers School Kindergarten Magnet Toys Gift Drawing ...","https://m.media-amazon.com/images/I/71nCiUWRkqL._AC_UL400_.jpg"
1,13,38,"B09T9X4VYH",false,28.99,"USD",0,0,0,13,4.8,"https://www.amazon.com/dp/B09T9X4VYH","62.40",false,false,false,false,"Yexiya 3 Packs Magnetic Kids Board for Kids Magnetic Bead Drawing Board Magnet Toys with Pen and Bead Learning Writing Boa...","https://m.media-amazon.com/images/I/71gJjgu5EcL._AC_UL400_.jpg"
1,14,39,"B0BX3VBSZN",false,11.99,"USD",0,0,0,11,4.2,"https://www.amazon.com/dp/B0BX3VBSZN","46.20",false,false,false,false,"Magnetic Drawing Board for Toddlers, Large Magnetic Doodle Board with Pen and 20 Images Booklet, Magnetic Travel Toys for ...","https://m.media-amazon.com/images/I/71gr29xGruL._AC_UL400_.jpg"
