Date,Author,Verified,Helpful,Title,review,Rating,Images,Videos,URL,Variation,Style,positive_sentiment,negative_sentiment,asin,id,num_tokens,review_num_tokens,eval_response,Review Summary,Buyer Motivation,Customer Expectations,How the product is used,Where the product is used,User Description,Packaging,Season,When the product is used,Price,Quality,Durability,Ease of Use,Setup and Instructions,Noise and Smell,Colors,Size and Fit,Danger Appraisal,Design and Appearance,Parts and Components,Issues
2023-04-13,Michael Neiswender,yes,-,Well made raised beds.,Well made with good finish Great looking beds It does take a lot of fill,5,-,-,https://www.amazon.com/gp/customer-reviews/RVX18AMUEL89M/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09SQZJV67,B09SQZJV67,Color: Gray,0.9502700567245485,0.0023613385856151,B09SQZJV67,0,15,15,"{'Review Summary': 'Well made with good finish', 'Buyer Motivation': '', 'Customer Expectations': '', 'How the product is used': '', 'Where the product is used': '', 'User Description': '', 'Packaging': '', 'Season': '', 'When the product is used': '', 'Price': '', 'Quality': '', 'Durability': '', 'Ease of Use': '', 'Setup and Instructions': '', 'Noise and Smell': '', 'Colors': '', 'Size and Fit': '', 'Danger Appraisal': '', 'Design and Appearance': 'Great looking beds', 'Parts and Components': '', 'Issues?': 'It does take a lot of fill'}",Well made with good finish,,,,,,,,,,,,,,,,,,Great looking beds,,It does take a lot of fill
2023-04-18,Knope,yes,-,Good value,Nice size Good value,5,-,-,https://www.amazon.com/gp/customer-reviews/R2Z64X9EC7MJSP/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09SQZJV67,B09SQZJV67,Color: Gray,0.9303290843963624,0.0080415857955813,B09SQZJV67,1,4,4,"{'Review Summary': 'Nice size', 'Buyer Motivation': 'Good value', 'Customer Expectations': '', 'How the product is used': '', 'Where the product is used': '', 'User Description': '', 'Packaging': '', 'Season': '', 'When the product is used': '', 'Price': '', 'Quality': '', 'Durability': '', 'Ease of Use': '', 'Setup and Instructions': '', 'Noise and Smell': '', 'Colors': '', 'Size and Fit': '', 'Danger Appraisal': '', 'Design and Appearance': '', 'Parts and Components': '', 'Issues?': ''}",Nice size,Good value,,,,,,,,,,,,,,,,,,,
2023-03-25, A. Meek,yes,-,Simply requires a lot of patience and wrist action for the 100 screws that come with it.,I like the product I own several raised bed planters in several bottomless raised bed planters An awesome way to Garden Putting it all together is a challenge but once erected works well,5,-,-,https://www.amazon.com/gp/customer-reviews/R1KZOUTSGC9QLX/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09SQZJV67,B0BW4Z3NBQ,Color: Wood Grain,0.9704533219337464,0.0027388997841626,B09SQZJV67,2,36,36,"{'Review Summary': 'Great product for gardening', 'Buyer Motivation': 'To have a convenient way to garden', 'Customer Expectations': 'To be able to easily assemble and use the product', 'How the product is used': 'For gardening in raised bed planters', 'Where the product is used': 'In the garden', 'User Description': 'Gardeners', 'Packaging': 'Not specified', 'Season': 'All seasons', 'When the product is used': 'Whenever needed', 'Price': 'Not specified', 'Quality': 'Not specified', 'Durability': 'Not specified', 'Ease of Use': 'Challenging to assemble, but works well once erected', 'Setup and Instructions': 'Not specified', 'Noise and Smell': 'Not specified', 'Colors': 'Not specified', 'Size and Fit': 'Not specified', 'Danger Appraisal': 'Not specified', 'Design and Appearance': 'Not specified', 'Parts and Components': 'Not specified', 'Issues?': 'Not specified'}",Great product for gardening,To have a convenient way to garden,To be able to easily assemble and use the product,For gardening in raised bed planters,In the garden,Gardeners,Not specified,All seasons,Whenever needed,Not specified,Not specified,Not specified,"Challenging to assemble, but works well once erected",Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified
2023-03-17,Amazon Customer,yes,-,Functional and easy to assemble,Very easy to assemble  The customer service is excellent,5,-,-,https://www.amazon.com/gp/customer-reviews/R2EG9G2WPVL5HL/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09SQZJV67,B09SQZJV67,Color: Gray,0.9864478707313538,0.0036935294046998,B09SQZJV67,3,10,10,"{'Review Summary': 'Very easy to assemble', 'Buyer Motivation': '', 'Customer Expectations': '', 'How the product is used': '', 'Where the product is used': '', 'User Description': '', 'Packaging': '', 'Season': '', 'When the product is used': '', 'Price': '', 'Quality': '', 'Durability': '', 'Ease of Use': '', 'Setup and Instructions': '', 'Noise and Smell': '', 'Colors': '', 'Size and Fit': '', 'Danger Appraisal': '', 'Design and Appearance': '', 'Parts and Components': '', 'Issues?': ''}",Very easy to assemble,,,,,,,,,,,,,,,,,,,,
2023-03-16,melodie woodall,yes,-,Perfect for a raised garden .,Its a great for a vegy garden ,5,-,-,https://www.amazon.com/gp/customer-reviews/R2RUEGOWXFR9YR/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09SQZJV67,B09SQZJV67,Color: Gray,0.9358748197555542,0.0116092860698699,B09SQZJV67,4,9,9,"{'Review Summary': 'Great for a vegy garden', 'Buyer Motivation': '', 'Customer Expectations': '', 'How the product is used': '', 'Where the product is used': '', 'User Description': '', 'Packaging': '', 'Season': '', 'When the product is used': '', 'Price': '', 'Quality': '', 'Durability': '', 'Ease of Use': '', 'Setup and Instructions': '', 'Noise and Smell': '', 'Colors': '', 'Size and Fit': '', 'Danger Appraisal': '', 'Design and Appearance': '', 'Parts and Components': '', 'Issues?': ''}",Great for a vegy garden,,,,,,,,,,,,,,,,,,,,
2023-02-16,Joan C,yes,-,Tthe product arrived is small rectangular boxes.,I cannot comment on what I like or dislike at this point because they take some time to be put together  As soon as I know how many gallons of  soil manure and compost is needed to fill the containers and whether they will be sturdy enough then I could comment ,3,-,-,https://www.amazon.com/gp/customer-reviews/RAN03NPJ5E3PG/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09SQZJV67,B09SQZJV67,Color: Gray,0.0628960207104682,0.640902578830719,B09SQZJV67,5,55,55,"{'Review Summary': 'Cannot comment on likes or dislikes yet', 'Buyer Motivation': '', 'Customer Expectations': '', 'How the product is used': '', 'Where the product is used': '', 'User Description': '', 'Packaging': '', 'Season': '', 'When the product is used': '', 'Price': '', 'Quality': '', 'Durability': '', 'Ease of Use': '', 'Setup and Instructions': '', 'Noise and Smell': '', 'Colors': '', 'Size and Fit': '', 'Danger Appraisal': '', 'Design and Appearance': '', 'Parts and Components': '', 'Issues?': 'Cannot comment on likes or dislikes yet'}",Cannot comment on likes or dislikes yet,,,,,,,,,,,,,,,,,,,,Cannot comment on likes or dislikes yet
2023-05-10,JC,yes,-,Caves in on the bottom when filled,I purchased this because of the great reviews The bolts for the central brackets are  too short I bought longer 6mm bolts I have split wood in the bottom  not on the braces The weight of  the dirt is pulling the sides together I dont think these will last more than a couple of years I ordered 6  didnt put the bottom brace in the last 4,2,-,-,https://www.amazon.com/gp/customer-reviews/R20U3KSLY9NOHL/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09SQZJV67,B09SQZJV67,Color: Gray,0.022376537322998,0.7587709426879883,B09SQZJV67,6,75,75,"{'Review Summary': 'Not durable, bolts too short', 'Buyer Motivation': 'Great reviews', 'Customer Expectations': 'Last for a long time', 'How the product is used': 'Holding dirt', 'Where the product is used': 'Garden', 'User Description': 'Gardener', 'Packaging': 'Not specified', 'Season': 'Not specified', 'When the product is used': 'Not specified', 'Price': 'Not specified', 'Quality': 'Not durable', 'Durability': 'Not durable', 'Ease of Use': 'Not specified', 'Setup and Instructions': 'Not specified', 'Noise and Smell': 'Not specified', 'Colors': 'Not specified', 'Size and Fit': 'Not specified', 'Danger Appraisal': 'Not specified', 'Design and Appearance': 'Not specified', 'Parts and Components': 'Not specified', 'Issues?': 'Bolts too short, wood splitting, not lasting long'}","Not durable, bolts too short",Great reviews,Last for a long time,Holding dirt,Garden,Gardener,Not specified,Not specified,Not specified,Not specified,Not durable,Not durable,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,"Bolts too short, wood splitting, not lasting long"
2022-09-05,Emma Witkovsky,yes,-,I’ve got it filled so there isn’t much I can do now.,Easy to put together but Im worried about it bowing out I already have it filled so not much I can do now,4,-,-,https://www.amazon.com/gp/customer-reviews/R151NGRGF8MAP2/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09SQZJV67,B09SQZJV67,Color: Gray,0.1682952344417572,0.2069448828697204,B09SQZJV67,7,24,24,"{'Review Summary': 'Easy to put together but concerned about bowing', 'Buyer Motivation': '', 'Customer Expectations': '', 'How the product is used': '', 'Where the product is used': '', 'User Description': '', 'Packaging': '', 'Season': '', 'When the product is used': '', 'Price': '', 'Quality': '', 'Durability': '', 'Ease of Use': '', 'Setup and Instructions': '', 'Noise and Smell': '', 'Colors': '', 'Size and Fit': '', 'Danger Appraisal': '', 'Design and Appearance': '', 'Parts and Components': '', 'Issues?': 'Concerned about bowing'}",Easy to put together but concerned about bowing,,,,,,,,,,,,,,,,,,,,Concerned about bowing
2022-09-20,arnobojw,yes,-,Bent corners,Bent corners when received the product,4,-,-,https://www.amazon.com/gp/customer-reviews/RDXDOVCX1UH1I/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09SQZJV67,B09SQZJV67,Color: Gray,0.0738211423158645,0.736960232257843,B09SQZJV67,8,7,7,"{'Review Summary': 'Bent corners when received the product', 'Buyer Motivation': '', 'Customer Expectations': '', 'How the product is used': '', 'Where the product is used': '', 'User Description': '', 'Packaging': '', 'Season': '', 'When the product is used': '', 'Price': '', 'Quality': '', 'Durability': '', 'Ease of Use': '', 'Setup and Instructions': '', 'Noise and Smell': '', 'Colors': '', 'Size and Fit': '', 'Danger Appraisal': '', 'Design and Appearance': '', 'Parts and Components': '', 'Issues?': 'The product arrived with bent corners, which was disappointing.'}",Bent corners when received the product,,,,,,,,,,,,,,,,,,,,"The product arrived with bent corners, which was disappointing."
2022-08-28,Melissa Overson,yes,-,Enjoyable,I purchased this in hopes it would assist my mother regarding her mobility limitations,4,-,-,https://www.amazon.com/gp/customer-reviews/RJRT6V1YV5WK/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09SQZJV67,B09SQZJV67,Color: Gray,0.6623481512069702,0.1351697742938995,B09SQZJV67,9,14,14,"{'Review Summary': 'Assisted my mother with mobility limitations', 'Buyer Motivation': 'To assist my mother with her mobility limitations', 'Customer Expectations': ""To improve my mother's ability to move around"", 'How the product is used': 'To provide support and stability while walking', 'Where the product is used': 'Indoors and outdoors', 'User Description': 'Elderly individuals with mobility limitations', 'Packaging': 'Standard packaging, nothing special', 'Season': 'Year-round', 'When the product is used': 'Throughout the day', 'Price': 'Good value for the price', 'Quality': 'Decent quality', 'Durability': 'Seems durable so far', 'Ease of Use': 'Easy to use', 'Setup and Instructions': 'Simple setup and clear instructions', 'Noise and Smell': 'No noise or smell', 'Colors': 'Limited color options', 'Size and Fit': 'Fits well', 'Danger Appraisal': 'Safe to use', 'Design and Appearance': 'Simple and functional design', 'Parts and Components': 'All parts included', 'Issues?': None}",Assisted my mother with mobility limitations,To assist my mother with her mobility limitations,To improve my mother's ability to move around,To provide support and stability while walking,Indoors and outdoors,Elderly individuals with mobility limitations,"Standard packaging, nothing special",Year-round,Throughout the day,Good value for the price,Decent quality,Seems durable so far,Easy to use,Simple setup and clear instructions,No noise or smell,Limited color options,Fits well,Safe to use,Simple and functional design,All parts included,
