,name_x,date_x,asin_x,id,rating_x,title_x,media_x,verified_purchase_x,Review Summary,Attribute,Value,cluster,cluster_label,title_y,num_tokens,asin_y,review_num_tokens,name_y,rating_y,date_y,verified_purchase_y,media_y,review,review_data
0,Peter,"{'unix': 1681772400, 'date': 'April 18, 2023'}","{'variant': 'B0BW8Y2B8Z', 'original': 'B0BW8Y2B8Z'}",R1LHH9TVPQDK8Y,5,5.0 out of 5 starsGreat Value,[],False,Affordable and Durable,Buyer Motivation,Compared to other garden bed options,0,Motivations for buying garden beds,5.0 out of 5 starsGreat Value,39,"{'variant': 'B0BW8Y2B8Z', 'original': 'B0BW8Y2B8Z'}",39,Peter,5,"{'unix': 1681772400, 'date': 'April 18, 2023'}",False,[],This is Affordable and Durable  Compared to other garden bed options this metal one is very affordable and provides excellent value for the price The sturdy metal construction ensures it will last for many years to come,"Reviewed in the United States on April 18, 2023"
1,kani,"{'unix': 1683414000, 'date': 'May 7, 2023'}","{'variant': 'B0BW8Y2B8Z', 'original': 'B0BW8Y2B8Z'}",R2G0IKKV5Z9TFK,1,1.0 out of 5 starsNot a sturdy bed. Bulging on both sides not worth it,[],False,Poor quality and lack of support,Buyer Motivation,To have a raised planter for gardening,0,Motivations for buying garden beds,1.0 out of 5 starsNot a sturdy bed. Bulging on both sides not worth it,195,"{'variant': 'B0BW8Y2B8Z', 'original': 'B0BW8Y2B8Z'}",195,kani,1,"{'unix': 1683414000, 'date': 'May 7, 2023'}",False,[],Putting this together alone is possible Just dont tighten the bolts and you will have the wiggle room needed Tighten everything once you have all togetherNow on to the quality and stability of this planter Its tin The brackets they give for the middle support beams are cheap bendable aluminum They do not support this bed from bulging The sides Tin  bend very easilyI will say that after I have it together 24 hrs and filledit just continued to bulge and I dont even have the bottom filled with soil I put 8 cinderblocks in it and some logs with room around the perimeter for light back filling I feel that once the soil that was added to it to fill the planter will only continue to cause bulging once it gets wet There is just no actually support with this planter I would return but now I can not so it is garbage I wasted hours of time and money on this product Now I have to start over Should of just bought a solid raised container,"Reviewed in the United States on May 7, 2023"
2,schwandnerlifton43,"{'unix': 1684364400, 'date': 'May 18, 2023'}","{'variant': 'B0BW8Y2B8Z', 'original': 'B0BW8Y2B8Z'}",R3D0591ENXK60I,5,5.0 out of 5 starshighly recommend,[],False,Sturdy and easy to assemble,Buyer Motivation,To add a decorative element to my garden,0,Motivations for buying garden beds,5.0 out of 5 starshighly recommend,48,"{'variant': 'B0BW8Y2B8Z', 'original': 'B0BW8Y2B8Z'}",48,schwandnerlifton43,5,"{'unix': 1684364400, 'date': 'May 18, 2023'}",False,[],The large metal planter box is made from sturdy steel and is built to last The kit is very easy to assemble and comes with everything you need to get started The galvanized finish is not only attractive but also helps to prevent rust and corrosion,"Reviewed in the United States on May 18, 2023"
3,Brandon Brown,"{'unix': 1678320000, 'date': 'March 9, 2023'}","{'variant': 'B0BW8Y2B8Z', 'original': 'B0BW8Y2B8Z'}",RBYNCMY0B8XXA,5,5.0 out of 5 starsPerfect for Beginners,[],False,Great place to start for new gardeners,Buyer Motivation,To start gardening,0,Motivations for buying garden beds,5.0 out of 5 starsPerfect for Beginners,27,"{'variant': 'B0BW8Y2B8Z', 'original': 'B0BW8Y2B8Z'}",27,Brandon Brown,5,"{'unix': 1678320000, 'date': 'March 9, 2023'}",False,[],As someone who is new to gardening this raised bed was a great place to start It was easy to assemble and my plants are growing beautifully,"Reviewed in the United States on March 9, 2023"
4,Darrell,"{'unix': 1680822000, 'date': 'April 7, 2023'}","{'variant': 'B0BW8Y2B8Z', 'original': 'B0BW8Y2B8Z'}",RPKKTGHGH96U6,5,5.0 out of 5 starsRaised bed,[],False,Beds are nice and pretty easy to put together,Buyer Motivation,Would buy again,0,Motivations for buying garden beds,5.0 out of 5 starsRaised bed,12,"{'variant': 'B0BW8Y2B8Z', 'original': 'B0BW8Y2B8Z'}",12,Darrell,5,"{'unix': 1680822000, 'date': 'April 7, 2023'}",False,[],Beds are nice pretty easy to put together Would buy again,"Reviewed in the United States on April 7, 2023"
5,Janice Bailey,"{'unix': 1689116400, 'date': 'July 12, 2023'}","{'variant': 'B0BTLQF5Y5', 'original': 'B091325ZMB'}",R1EQTHWLB90N33,5,5.0 out of 5 starsGood value for money,[],False,No corrosion after 3 years of use,Buyer Motivation,To have multiple units,0,Motivations for buying garden beds,5.0 out of 5 starsGood value for money,19,"{'variant': 'B0BTLQF5Y5', 'original': 'B091325ZMB'}",19,Janice Bailey,5,"{'unix': 1689116400, 'date': 'July 12, 2023'}",False,[],I have 5 of these now one in use for 3 years No corrosion still like new,"Reviewed in the United States on July 12, 2023"
6,Meg,"{'unix': 1684364400, 'date': 'May 18, 2023'}","{'variant': 'B091325ZMB', 'original': 'B091325ZMB'}",R20YIZBSW0VB6Y,4,"4.0 out of 5 starsNice, sturdy beds, but smaller than advertised","['https://m.media-amazon.com/images/I/81hW0jPymEL._SL1600_.jpg', 'https://m.media-amazon.com/images/I/81sOHHowdRL._SL1600_.jpg']",False,"Overall good beds, but smaller than expected",Buyer Motivation,To use the square-foot gardening method,0,Motivations for buying garden beds,"4.0 out of 5 starsNice, sturdy beds, but smaller than advertised",147,"{'variant': 'B091325ZMB', 'original': 'B091325ZMB'}",147,Meg,4,"{'unix': 1684364400, 'date': 'May 18, 2023'}",False,"['https://m.media-amazon.com/images/I/81hW0jPymEL._SL1600_.jpg', 'https://m.media-amazon.com/images/I/81sOHHowdRL._SL1600_.jpg']",There are a lot of nutsbolts to put this together but with two people it wasnt too bad Placing them if of weed fabric is certainly a twoperson job The corners of the assembled unit remain sharp unlike the sides with their rolled edge Theyve been installed in my yard for about a week now and Ive cut myself twice Going to work on a solution for that shortly The main annoyance about these beds I have two is that theyre shorter by 2 inches in both length and width than is advertised I want to use the squarefoot gardening method and this mainly means that Ill need to adjust my plantings a bit but it is frustratingI like these beds overall but am disappointed that theyre smaller than Id expected and planned for,"Reviewed in the United States on May 18, 2023"
7,Sawyerman,"{'unix': 1681340400, 'date': 'April 13, 2023'}","{'variant': 'B091325ZMB', 'original': 'B091325ZMB'}",R2JYQZUA5OAV5W,4,4.0 out of 5 starsGalvanized planter boxes,[],False,Adequate for intended use,Buyer Motivation,Value for money,0,Motivations for buying garden beds,4.0 out of 5 starsGalvanized planter boxes,40,"{'variant': 'B091325ZMB', 'original': 'B091325ZMB'}",40,Sawyerman,4,"{'unix': 1681340400, 'date': 'April 13, 2023'}",False,[],These planters are adequate for my intended use and a decent value compared to similar higher priced productsNot sure I would rate them as heavy duty as described by the seller but they should last a couple years,"Reviewed in the United States on April 13, 2023"
8,S. Stolarski,"{'unix': 1684796400, 'date': 'May 23, 2023'}","{'variant': 'B091325ZMB', 'original': 'B091325ZMB'}",R2X94WSDMXO1L5,1,1.0 out of 5 starsFlimsy; many sharp edges.Would never have purchased if I had seen one in person.,[],False,Not satisfied with the product,Buyer Motivation,To try out a new product,0,Motivations for buying garden beds,1.0 out of 5 starsFlimsy; many sharp edges.Would never have purchased if I had seen one in person.,112,"{'variant': 'B091325ZMB', 'original': 'B091325ZMB'}",112,S. Stolarski,1,"{'unix': 1684796400, 'date': 'May 23, 2023'}",False,[],1 The metal is thin and flimsyIts going to be a chore to fill this thing without breaking it2 MANY sharp edges so many so that they include a pair of white cotton gloves to wear while you put it togetherGloves that if you wear them make it almost impossible to manipulate the nuts and bolts included to assemble it3 The nuts and bolts have a small diameterThey are barely bigger than the holes you put them throughToo much stress on the panels and Im pretty sure they will rip right outI will never again purchase a Raised Garden Bed kit,"Reviewed in the United States on May 23, 2023"
9,Papaw26,"{'unix': 1681340400, 'date': 'April 13, 2023'}","{'variant': 'B0BTLQF5Y5', 'original': 'B091325ZMB'}",R35CEK9IHL5ZE3,3,3.0 out of 5 starsSpend more for heavier gauge metal,"['https://m.media-amazon.com/images/I/81IfwaZWZPL._SL1600_.jpg', 'https://m.media-amazon.com/images/I/81fSoZx7w2L._SL1600_.jpg', 'https://m.media-amazon.com/images/I/918t7vNDjrL._SL1600_.jpg']",False,Mixed feelings about the product,Buyer Motivation,To replace an old unit,0,Motivations for buying garden beds,3.0 out of 5 starsSpend more for heavier gauge metal,160,"{'variant': 'B0BTLQF5Y5', 'original': 'B091325ZMB'}",160,Papaw26,3,"{'unix': 1681340400, 'date': 'April 13, 2023'}",False,"['https://m.media-amazon.com/images/I/81IfwaZWZPL._SL1600_.jpg', 'https://m.media-amazon.com/images/I/81fSoZx7w2L._SL1600_.jpg', 'https://m.media-amazon.com/images/I/918t7vNDjrL._SL1600_.jpg']",Throw screws and nuts away that come with unit Too small to work with and are metric Buy a box of 1024 by 12 long pan head bolts and box of 1024 hex head nuts  Using a 38 box end wrench you will be able to after starting nut by hand hold it easilyA cordless drill is a necessity with a Phillips bit for the pan head boltsStart with constructing both the ends completely Then you can construct the side panel one level at a time from ground up Do first level all the way around and then tie both halves together Proceed to second levelI added two bolts on end panels where each level met Additionally with all thread I added support 14th and 34th down lengthI was impressed with the machining but gauge of steel was a disappointment It will work though,"Reviewed in the United States on April 13, 2023"
