"id","rating","review_summary","product_facts","positive_sentiment","negative_sentiment","improvements_expected","issues_identified","how_product_is_used","media","where_product_is_used","sentiment","anger","anger_reason","delight","delight_reason","disappointment","disappointment_reason","time","season","weather","user_description","title","review","asin_variant","asin"
0,5,"Great product for young children, perfect for travel","Unknown","0.9696184","0.009823201","Unknown","Unknown","Playing during travel","[]","Car, airplane","Positive","No","NaN","Yes","Granddaughter loves it, perfect for travel","No","NaN","Unknown","Unknown","Unknown","Grandparent who purchased the product for their granddaughter","Perfect gift","My granddaughter who is 2 12 loves this product The minute she opened it She started playing with that Perfect for the car and long airplane trips","B07X7YFZWG","B07X7YFZWG"
1,4,"Nice car toy for kids over 5, a bit loud and rattly at first but worth it.","Unknown","0.8567428","0.0038723138","Unknown","Loud and rattly at first","As a toy car","[]","Unknown","Positive","No","NaN","Yes","Nice toy, non-messy","No","NaN","Unknown","Unknown","Unknown","Parent or gift giver","Fun for fidde toy or for car rides","It is a nice car toy non messy good for any kid over 5a bit loud and rattly at first but worth it","B07XCRT49W","B07X7YFZWG"
2,4,"Unknown","Unknown","0.901494","0.022252977","Unknown","Unknown","Unknown","[]","Unknown","Unknown","false","NaN","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Gift","Gift for our grandson","B07XCRT49W","B07X7YFZWG"
3,5,"Product is great but can get annoying over time.","Unknown","0.50126034","0.064283654","Unknown","Product can get annoying over time","Unknown","[]","Unknown","Neutral","No","NaN","No","NaN","No","NaN","Unknown","Unknown","Unknown","Unknown","Super satisfying/ can get annoying","This product is great however can get annoying after time","B07XCRT49W","B07X7YFZWG"
4,5,"Great product for children recovering from surgery or needing to stay in bed.","Unknown","0.99027306","0.0017359285","Unknown","None mentioned","As a toy for a child recovering from surgery","[]","In bed","Positive","No","NaN","Yes","Product worked well and provided entertainment for the child","No","NaN","Unknown","Unknown","Unknown","Grandparent looking for a toy for their recovering grandchild","Educational, entertaining, interactive, fun,","Needed something for my grandson while he was recovering from surgery for an unknown amount of time at the time I was trying to find something that he could play with that wouldnt get lost or go all over the place while he could remain fairly stationary while he was in the boundaries of his bed It worked out really well and he had lots of fun and continues to do so Great product","B07XCRVK2Y","B07X7YFZWG"
5,4,"Great for travel, but some minor issues with metal balls falling out of holes.","No technical facts mentioned.","0.74128276","0.031650014","Better hole design to prevent metal balls from falling out.","Metal balls falling out of some holes.","Inflight entertainment for a toddler.","[]","Car, plane.","Positive","No","NaN","Yes","Super fun to use, easy for toddler to figure out, no mess or lost pieces.","Yes","Metal balls falling out of some holes.","Unknown","Unknown","Unknown","Parent who purchased the product for a toddler's entertainment during travel.","Almost perfect","I bought this before a long international trip as inflight entertainment for my almost two year oldPros its super fun to use I even love doing it My son was able to figure it out right away and also really enjoyed it Theres ZERO chance of making a mess or losing pieces so its great for the car or a planeCons slightly noisy though I dont mind Main issue and reason I said ALMOST perfect is that some of the holes are just slightly smaller and the metal balls fall down as soon as you pull them up Not a huge issue given the price but if I had bought this as a mindfulness exercise for myself Id also have to work on my patience and acceptance Overall worth the money especially for travel","B07X7YFZWG","B07X7YFZWG"
6,5,"Positive feedback from a grandparent who bought the product as a gift for their granddaughter.","Unknown","0.9133711","0.009052411","Unknown","Unknown","As a gift for a 4-year-old granddaughter","[]","Unknown","Positive","No","NaN","Yes","Granddaughter likes it and declares it awesome","No","NaN","Unknown","Unknown","Unknown","Grandparent who bought the product as a gift for their granddaughter","Creative Toy","I bought this for my one and only granddaughter who lives across the US from me for her 4th birthday She likes it and declares that its awesome","B07X7YFZWG","B07X7YFZWG"
7,4,"Kids love it, but it can be loud and the balls don't always stay on the board.","Magnetic board, metal balls","0.9347501","0.0045885025","Quieter operation, better magnetism to keep balls on board","Loud operation, balls don't always stay on board","Unknown","[]","Unknown","Positive","No","NaN","Yes","Kids love it","Yes","Loud operation, balls don't always stay on board","Unknown","Unknown","Unknown","Parent or caregiver of children who use the product","Fun car toy","The kids love it It is pretty loud with all the little metal balls Sometimes they dont stay up on the board","B07X7YFZWG","B07X7YFZWG"
8,2,"Kids loved the toy but it has some functionality issues and design flaws.","Balls not staying up, balls getting stuck, detachable pen","0.043475635","0.6152324","Better functionality, attached pen","Balls not staying up, balls getting stuck, detachable pen","As a toy for kids","[]","Unknown","Negative","No","NaN","No","NaN","Yes","Functionality issues, design flaws","Unknown","Unknown","Unknown","Parent who purchased the toy for their kids","Great toy but doesn't work ....","My kids loved this toy but by the second day some of the balls would not stay up and some would get stuck in the up position I know its jut a cheap toy but whats the point if it doesnt work Also the pen should be attached with a string because youll lose it","B07X7YFZWG","B07X7YFZWG"
9,5,"Positive initial impression, but with a minor complaint","Unknown","0.9512563","0.0023479455","Stylus attachment to the board","Stylus can get lost","Unknown","[]","Unknown","Neutral","No","NaN","No","NaN","No","NaN","Evening","Unknown","Unknown","Unknown","I would love if the stylist could be attached, as my 1 year old lost it within the first hour","I cant say how durable or sturdy it is Ive had it just for an evening So far so good My only complaint would be to attach the stylus to the board so it cant get lost ","B07XCRVK2Y","B07X7YFZWG"
