"Date","Author","Verified","Helpful","Title","Body","Rating","Images","Videos","URL","Variation","Style"
"Reviewed in the United States on February 14, 2023","Raymond D. Barta","yes","yes","Not 8ft long","The beds are great and do exactly what they are suppose to do.  But, the raised beds are NOT 8 foot long, they are 91 inches, 5 inches short!  I ordered 20 beds and those missing 5 inches from 20 beds adds up to 100 inches of missing beds. I contacted the seller and they refunded the price of one bed. One of the boxes was missing some hardware and the seller shipped the replacement parts.  I highly recommend these beds.",4,"-","-","https://www.amazon.com/gp/customer-reviews/R12BUIXY8Z2Y0D/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09D7QDLYC","B09D7QDLYC","Size: 8×4×2ft | Color: 1-silver"
"Reviewed in the United States on March 23, 2023","Shelly G.Shelly G.","yes","yes","Size is only 7.6 feet in length; otherwise all is well.","My plan to upgrade my garden this year included purchasing 3 of these raised beds.  I just started putting them together recently and realized the size is off.  Instead of 8ft long they are only 7.6 ft long, which I'm not happy about.Otherwise, the ease of putting these together is pretty straightforward once you figure it out.  I couldn't find instructions in the box of the first one I was putting together so studied pictures from others who have reviewed.  Of course after putting the first one together and getting rid of the box I discovered the instructions sheet.  It appears to gave been slid into box after packaging so it wasn't visible when I opened the box FLAT on the ground.  There are a TON of screws so this takes time.  I suggest getting them started by hand then firming up with electric drill and rachet/plies to old the bolt.  I also did this by myself but putting sections together inside my garage then joining the larger sections out on my patio and using chairs and trashcan as support.I expect that once completed and filled with soil this will last for many years to come.",3,"https://m.media-amazon.com/images/I/512FaQZzSvL.jpg , https://m.media-amazon.com/images/I/512dD9vCE+L.jpg , https://m.media-amazon.com/images/I/51A+rGOKZyL.jpg","-","https://www.amazon.com/gp/customer-reviews/R351F3PRJRZ6KG/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09D7QDLYC","B09D7QDLYC","Size: 8×4×2ft | Color: 1-silver"
"Reviewed in the United States on March 31, 2023","Kindle CustomerKindle Customer","yes","yes","Durable choice for raised bed","I am very pleased with this bed.  Most raised beds are only 1' tall, but this one is 2' tall, which makes it suitable for deep root crops like carrots, parsnips, potatoes, and asparagus. The smaller beds were a lighter gauge steel, so they felt kind of flimsy, but the Land Guard bed is very sturdy, and the corners are strong. It is very well designed, and was easy to put together.  When you calculate cost per square foot of the smaller beds (6'x2'x1') compared to the Land Guard bed (8'x4'x2'), the cost per square foot of the Land Guard is about 1/4 the cost of the smaller bed, so you are getting a great value for the price, even though it seems more expensive.  I have bought 3 of them so far, and am considering buying another couple of them.  They are easy to reach without having to do much bending over, which is good for my back.  I fill the bottom (about 1/4 of the way full) with old branches and partially rotted tree trunks because it helps to retain water, and because I don't need to add as much soil (a cost savings).  The wood will break down and release nutrients over the next several years, and I'll only need to top the beds off with some compost to fill them up as the wood shrinks. Overall, it has been a great purchase.",5,"https://m.media-amazon.com/images/I/61xbONSRdPL.jpg","-","https://www.amazon.com/gp/customer-reviews/R2VD7PNZS8R1XX/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09D7QDLYC","B09D7QDLYC","Size: 8×4×2ft | Color: 1-silver"
"Reviewed in the United States on December 3, 2022","Phyllis","yes","yes","Only one problem","The Only problem I had was the bolts for the middle vertical brace was too short.  I went to a local hardware store and purchased 2"" long bolts with nuts. Then everything went together  perfectly.  It was easy to move into place with the help of my son. I plan to get 2 more in a couple of months when it warms up. These beds are taller then the ones I purchased earlier so I need more filler before adding soil.  My filler is like a hugelculture ( branches ,logs, wood chips, leaves and cardboard).",4,"-","-","https://www.amazon.com/gp/customer-reviews/R3BKLNXNNXHMCL/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09D7QDLYC","B09D7QDLYC","Size: 8×4×2ft | Color: 1-silver"
"Reviewed in the United States on April 13, 2022","P. FeldmanP. Feldman","yes","yes","Not as sturdy as advertised","The first two panels removed from the box had deep dents in them.  The material is so thin my husband was able to make them acceptable with his hands. Would I buy again? No.",3,"https://m.media-amazon.com/images/I/51zApSmeNOL.jpg","-","https://www.amazon.com/gp/customer-reviews/R103O1P6AJ91F5/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09D7QDLYC","B09D7QDLYC","Size: 8×4×2ft | Color: 1-silver"
"Reviewed in the United States on February 11, 2023","R SmithR Smith","yes","yes","Not true to size","States 8x4x2 but it’s actually 8x7.5x3ish didn’t actually pull out a measuring tape but could update later. Was about to return it but found out box was destroyed in shipping. So just gonna plant veggies that don’t require deep beds. Love that it’s galvanized so let’s pray it lasts more than one season.",3,"https://m.media-amazon.com/images/I/91Z7QmzDODL.jpg","-","https://www.amazon.com/gp/customer-reviews/R3LK9OLMC7RL7A/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09D7QDLYC","B09D7QDLYC","Size: 8×4×2ft | Color: 1-silver"
"Reviewed in the United States on May 24, 2022","Kristin HeintzKristin Heintz","yes","yes","Do NOT buy","Very frustrated purchased this for a raised garden bed and it is very cheaply made. My husband filled it with dirt and the sides buckled. We aren’t removing the dirt and breaking it down to send it back. Our super cute raised garden bed looks like a mess now.",1,"https://m.media-amazon.com/images/I/91S4Zbb-YBL.jpg","-","https://www.amazon.com/gp/customer-reviews/R1076IXNRZ6CCR/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09D7QDLYC","B09D7QDLYC","Size: 8×4×2ft | Color: 1-silver"
"Reviewed in the United States on October 25, 2022","Lynn M.","yes","yes","Need two people to assemble.  Instructions for the cross bars are vague.","I put this mostly together by myself.  Really needs two people since you must use a wrench and screwdriver to tighten each and every screw.  The picture for the cross bar assembly is unreadable - I guessed at the top piece based on the on-line photos, but still haven't figured out how to assemble the bottom piece.  Almost any position blocks the stake holes.  I posted a question about this, but got no answers.  And, despite them saying they were available for questions 24 hours, there is no phone number or e-mail address to send questions.  I had to purchase longer screws for some connections as the provided ones were just too short.  So it sits in my yard until I just screw it together some way and hope for the best.",4,"-","-","https://www.amazon.com/gp/customer-reviews/R1PLF5GY3R7JZA/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09D7QDLYC","B09D7QDLYC","Size: 8×4×2ft | Color: 1-silver"
"Reviewed in the United States on October 23, 2022","Reader X","yes","yes","Flimsy and VERY hard to assemble","I read some reviews that said these boxes were flimsy, but I ordered 2 anyway because they're just going to sit on the ground and hold soil. I expected somewhat floppy sides, but these panels are almost as easy to dent as aluminum foil. That makes them incredibly awkward to assemble because they won't stand up. Also, the 97 screws required to put this nightmare together are very badly machined. As most DIYers know, assembling something with lots of fasteners is much easier if you put in the hardware hand tight first, and then tighten everything once it's together. Impossible with this box. Fully half the screws seize up after only one or two turns, and require tools from there. Also, the instructions are very limited, which was ok until it was time to attach the stabilizing bars. I'm not sure I did it right, and I know longer care. I don't know how I'm going to talk myself into burning another 2 hours to assemble the second one. You get what you pay for. These are cheap and will probably work for what I need, but I won't buy them again.",2,"-","-","https://www.amazon.com/gp/customer-reviews/R2KRBZA0NVPJBO/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09D7QDLYC","B09D7QDLYC","Size: 8×4×2ft | Color: 1-silver"
"Reviewed in the United States on January 18, 2022","BeachLoverBeachLover","yes","yes","Nice and Deep","My son recently bought some land and wanted to quickly get in a small garden.  This was super easy to set up and is nice and durable - very deep so great even for root veggies!  The green color blends in nicely with the landscape, making it asthetically pleasing and is nice and study supporting the weight of my 5 year old grandson when he leans in to check his plants.  This is well made and appears that it will last a long time creating memories for years to come.",5,"https://m.media-amazon.com/images/I/91w-r5S5A2L.jpg","-","https://www.amazon.com/gp/customer-reviews/R1294X2K0TXU1G/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09D7QDLYC","-","-"
