"Date","Author","Verified","Helpful","Title","Body","Rating","Images","Videos","URL","Variation","Style"
"Reviewed in the United States on December 14, 2021","S. C. LaddS. C. Ladd","yes","yes","Solid product…","First thing you do is go to your local home improvement store and replace all their fasteners with standard/metric nuts and bolts.  It’s not expensive…just convenient because the hardware included by the manufacturer has been slightly modified so as NOT to fit any standard or metric sockets.  Other than than the planters are easier to assemble with two people.  The gauge of the corrugated metal is thin, so you’ll need to be slow, patient while you fill them with planting materials, making sure you compact each layer so the sides don’t bow out.",5,"https://m.media-amazon.com/images/I/81C32y6SuXL.jpg , https://m.media-amazon.com/images/I/81K-gjJEpjL.jpg , https://m.media-amazon.com/images/I/81lXw6BPwtL.jpg","-","https://www.amazon.com/gp/customer-reviews/R33IO1OTF1A7CY/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09K3557Q8","B09K3557Q8","Size: 8x4x2 FT（1PCS）"
"Reviewed in the United States on August 1, 2022","Angel J.","yes","yes","F-I-N-G-E-R  T-I-G-H-T!","Necessary supplies not included: SHADE or Cool temps, a low step stool for sitting, extra flat surfaces because assembling this thing on the ground is awful.Now onto the review:I don't have long-term use of this yet, but I just assembled them today. I bought two. First round: took me three hours. I disregarded other reviews that said only fasten them finger tight. I thought, I don't want to go back and have to fully tighten every single one of them.... I WAS WRONG! DO NOT make this mistake.Also the instructions have you put together the ends first (I bought the 6x3) and I thought hey its 6x3, all the sides will be the same length. NOPE. It comes with 4 side wall pieces and 2 end pieces. They are not labeled.Anyway, I had so many issues with the first round that I almost didn't build the second one. But I thought I might as well because the top soil is coming tomorrow.Second round I build the side walls first, and only tightened them finger tight. Then I added in the cross bars that help support the sides. Then I built the end walls. I stood the side walls upright and put the end wall on top and tightened it finger tight. Then I flipped it and put the other end wall on. It all went together pretty smoothly and only took me about an hour and a half. (I used an electric screw driver the second time around. I HIGHLY RECOMMEND THAT. )I like them both. The first looks a little jacked up. But it'll work. Lesson learned. My third one is coming in a few days. This time, I am prepared.",5,"-","-","https://www.amazon.com/gp/customer-reviews/RRU7WWBXCTVZB/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09K3557Q8","B09KH63G7Q","Size: 6x3x2 FT（1PCS）"
"Reviewed in the United States on December 14, 2021","maya","yes","yes","Gardening Made Easy!!","We love these gardening beds! We started out by buying a couple of the 8x4x2 and one of the 8x4x2, but liked them so much we ordered more. We now have 8 ---- 4 of each size. They were easy to construct and come not only with the needed hardware, but also with stakes to secure them to the ground. We briefly considered making our beds from lumber, but not only would they have been 2-3x more expensive, but living in a wet climate would greatly reduce their life expectancy. Now with these galvanized beds I imagine they will outlive us ;) We also like the fact that we can amend the soil and enhance it from what we would have gotten had we just planted straight into the ground. So we definitely recommend them ---- easy to assemble, long life expectancy, and the ability to enjoy richer, better planting soil.",5,"-","-","https://www.amazon.com/gp/customer-reviews/R156BVXM2AAQHA/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09K3557Q8","B09K3557Q8","Size: 8x4x2 FT（1PCS）"
"Reviewed in the United States on November 11, 2021","Mariana","-","yes","Must buy!","This garden boxes are very nice in appearance.Great for your garden.Was very easy to assemble for a 59 year old female. Easy directions and very sturdy to pick up and move by myself.The bed went together easily. It holds 2.5 Cubic yard of soil. Top and bottom edges of panel sides are folded over and smooth so you won’t cut yourself. Ends have raw edges but are covered with the reinforced corners. No issues with sides bowing.We may purchase a few more in the Spring for herbs and veggies.Looking forward to spring.I was would not hesitate to buy more.",5,"-","-","https://www.amazon.com/gp/customer-reviews/R3K75PBSV4YLDO/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09K3557Q8","B09K3557Q8","Size: 8x4x2 FT（1PCS）"
"Reviewed in the United States on February 19, 2022","C. S. LongC. S. Long","yes","yes","Good Purchase","It sat in my basement for a few weeks until a warm day in order to assemble. The assembly is pretty straight forward. I assembled it alone, but will probably go together faster with 2 people. I haven’t filled it up yet with dirt because I’m still waiting for warmer days. I will be purchasing another soon. It’s at a good height to be able to work the soil and plantings. I haven't put it into it's final position but it should work well for my needs. Update: I have filled the bed and installed drip irrigation. I have only planted a couple of starts and will be planting seeds later this week or the beginning of next week. So far so good.",5,"https://m.media-amazon.com/images/I/71NS+J3mkNL.jpg , https://m.media-amazon.com/images/I/81Zta71BlHL.jpg , https://m.media-amazon.com/images/I/81hQ79H0TlL.jpg , https://m.media-amazon.com/images/I/91VMHNTmqPL.jpg","-","https://www.amazon.com/gp/customer-reviews/RQFAI5P1U0ZRI/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09K3557Q8","B09K3557Q8","Size: 8x4x2 FT（1PCS）"
"Reviewed in the United States on April 21, 2022","Amazon CustomerAmazon Customer","yes","yes","Rust","*Update* we've had this product 9 months and it's starting to rust quite a bit. I don't imagine it'll have a long life span for what it cost but we will see. I am looking into ways to help limit the damage but I'm not sure what that looks like yet.This bed, like all projects takes a little bit of time and making sure you read the instructions from start to finish.  One mistake we made, although its not a big deal, was that we put the support sides upside so that the stake holes were on the top and not the bottom.  But, after you fill this bad boy with dirt its not going anywhere anyways.  Also be prepared to spend some time and money filling this thing up.  We filled about the bottom 6 to 8 inches with compost from our yard and rest with top soil and miracle grow.  This is basically a one time investment though and not a big deal.  After that we got some things planted and couldn't be happier.  There will probably come a time when we buy a second one.",3,"https://m.media-amazon.com/images/I/913kUA9+W+L.jpg , https://m.media-amazon.com/images/I/91P6eS+Q6KL.jpg","-","https://www.amazon.com/gp/customer-reviews/R4ILK6J33USSI/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09K3557Q8","B09K3557Q8","Size: 8x4x2 FT（1PCS）"
"Reviewed in the United States on April 20, 2022","Patrick","yes","yes","Exactly what we wanted!","Hard to beat this quality product in terms of the price paid for it.  I was impressed that all of the holes lines up perfectly during assembly.  I used pliers and a power drill during assembly and it sped up the process considerably.  I put it together in two, hour long shifts, so 2 hours total by myself.  It was then also easily transportable from the driveway out into the backyard.  I just stood in the center and carried it from where the upper brace meets the walls.  We had our landscaper provide two yards of garden soil so that we didn’t need to purchase 100 bags from the garden center.  This container of filled to the brim would hold nearly 3 yards of dirt.  We will likely purchase another one of these next year, too!",5,"-","-","https://www.amazon.com/gp/customer-reviews/RNKPU39CRRUHP/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09K3557Q8","B09K3557Q8","Size: 8x4x2 FT（1PCS）"
"Reviewed in the United States on July 5, 2022","Trishado","yes","yes","Sturdy, but shiny","This raised bed is great!  Just be careful where you place it as the galvanized metal is very shiny and will reflect into your house depending on where you put it.  It is quite large, so be prepared for WAY more dirt than you probably think, especially after settling occurs.  The only other ding to this raised bed was that it came with plenty of nuts but only 1 bolt, yes you are reading that correctly.  My husband had to go to the hardware store to purchase bolts to complete the assembly.",4,"-","-","https://www.amazon.com/gp/customer-reviews/R21GCWDMRBVFBF/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09K3557Q8","B09K3557Q8","Size: 8x4x2 FT（1PCS）"
"Reviewed in the United States on April 29, 2022","Amazon CustomerAmazon Customer","yes","yes","Easy to put together, but still heavy duty.","I am elderly but still love to garden. So to have a raised bed that was not only easy to put together, sturdy and easy on my back is well worth it to me. I could not afford the materials much less the labor to have one built. The price was perfect for me. Can't wait to have it full of vegetables.",5,"https://m.media-amazon.com/images/I/91NKZpswPAL.jpg , https://m.media-amazon.com/images/I/91qOdXeNFrL.jpg","-","https://www.amazon.com/gp/customer-reviews/R3ETISQ8U233SV/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09K3557Q8","B09K3557Q8","Size: 8x4x2 FT（1PCS）"
"Reviewed in the United States on January 12, 2022","LDWLDW","yes","yes","Poor quality - cheaply made","These were very flimsy and arrived dented. The metal is paper thin. You get what you pay for right !",1,"https://m.media-amazon.com/images/I/81VDzlMFg2L.jpg , https://m.media-amazon.com/images/I/81ZbB9NiEJL.jpg","-","https://www.amazon.com/gp/customer-reviews/R3AKQTRW2R6F1Z/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09K3557Q8","B09K3557Q8","Size: 8x4x2 FT（1PCS）"
