"Date","Author","Verified","Helpful","Title","Body","Rating","Images","Videos","URL","Variation","Style"
"Reviewed in the United States on March 16, 2022","Rhoda Lawson","yes","yes","Great value","Sturdier than others I’ve seen. Easy to put together.Hint: for easier install, put one bolt in at top, finger tighten for now, put bolt at bottom, finger tighten, then add all the other bolts in a panel. When all bolts in, set on level surface and tighten all bolts.",5,"-","-","https://www.amazon.com/gp/customer-reviews/R15ZAZD0NZRRJA/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0BGND2M55","B093HDM876","Color: A-silver | Size: F-4x3x2 ft"
"Reviewed in the United States on February 15, 2023","Amazon Customer","yes","yes","Useful but.....","Decent Design and easy to assemble.  Holds it shape after filling w/ dirt, etc.  However, the top edges are very sharp and can cut someone if leaning on them etc.  This design needs to eliminate this issue.",3,"-","-","https://www.amazon.com/gp/customer-reviews/R1RYEQ53OHP816/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0BGND2M55","B093HCXGC9","Color: A-silver | Size: D-6x3x2 ft"
"Reviewed in the United States on April 14, 2022","A. Pightling","yes","yes","Product didn't work for me BUT Brandline stands behind their products 100%","You are probably thinking; the product didn't work but 5 stars? In fact the raised garden bed was not able to hold a full load of watered garden soil without bowing out at the sides. If I were going to grow veggies with shallow roots I could put yard waste, mulch, etc. in the bottom and garden soil on the top several inches. Doing this the bed would be fine. But that is not what I wanted for deep root crops (potato, carrot, beets, etc.) so I decided to return the raised garden bed. The seller (Brandline) backed their product 100% and has excellent customer service. It's easy to give five stars when a transaction goes well but when I explained the situation Brandline stepped up and provided a solution that worked out for both of us.  That's why they get five stars from me. You can buy with confidence from Brandline. I will be doing more business with them in the future.",5,"-","-","https://www.amazon.com/gp/customer-reviews/RQB08372F05KE/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0BGND2M55","B09QC7S9WV","Color: C-dark Grey Matte | Size: D-6x3x2 ft"
"Reviewed in the United States on May 28, 2022","Amazon CustomerAmazon Customer","yes","yes","Love my raised garden","This raised garden was fairly easy to build. My husband and 8 year old daughter put it together. I love the height of it. It makes it much easier to access the plants for thinning and I'm sure it will make it easier for picking when the vegetables are ready to harvest. I've done much smaller raised beds in the past made from wood and they rotted, had lots of weeds, and you still had to bend down to get to the garden. Not with this one.  So happy with this garden bed so far.",5,"https://m.media-amazon.com/images/I/81wQKmAfVlL.jpg , https://m.media-amazon.com/images/I/91sXGVVB2gL.jpg","-","https://www.amazon.com/gp/customer-reviews/R1NZNQIK68R6HB/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0BGND2M55","B093HCXGC9","Color: A-silver | Size: D-6x3x2 ft"
"Reviewed in the United States on February 16, 2022","Amazon Customer","yes","yes","This is a great planter box.","so many screws!  But, it makes it very sturdy.  One of the Steel sides was punctured, but I didnt want to return it.  Great value for the buck folks!  Holds 8 large bags of soil and could of used a 9th!  I would buy again",5,"-","-","https://www.amazon.com/gp/customer-reviews/R50AUYQKSU5BC/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0BGND2M55","B093HDM876","Color: A-silver | Size: F-4x3x2 ft"
"Reviewed in the United States on February 24, 2022","kathy G","yes","yes","Love this raised bed. Easy to put together and no missing parts","This is great for starting our garden. My husband had no problem putting it together and every screw was in the package. We just ordered another one.  Now if it would quit snowing",5,"-","-","https://www.amazon.com/gp/customer-reviews/R3B47TW8EZ9SML/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0BGND2M55","B093HCXGC9","Color: A-silver | Size: D-6x3x2 ft"
"Reviewed in the United States on March 19, 2022","Amber Warren","yes","yes","Directions not great, hard to put together","I have just spent 3 hours trying to put this thing together.  The directions are awful so I actually put it together incorrectly and I was so fed up, I am just leaving it that way.  It will be a little shorter in length but I don’t have that many plants anyway.  I am sure it will look nice when it is done and it will be very sturdy but if I had to do it again, I would not buy this.",3,"-","-","https://www.amazon.com/gp/customer-reviews/RV44GDDH7LFNA/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0BGND2M55","B093HBSQ5M","Color: C-dark Grey Matte | Size: A-6x3x1 ft"
"Reviewed in the United States on February 8, 2022","tmrgn2673","-","yes","Missing parts...","My husband ordered me 2 of these for my birthday.  Neither box has instructions, one box had a total of 5 screws and the other box is missing about half the screws.",3,"-","-","https://www.amazon.com/gp/customer-reviews/R37HY7RWJHGKXF/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0BGND2M55","B093HCXGC9","Color: A-silver | Size: D-6x3x2 ft"
"Reviewed in the United States on January 8, 2022","C. V. Lubin","yes","yes","Great raised garden bed.","These are great! I'm very happy with these raised garden beds, they're sturdy, look good and were easy to assemble. I set three up and they partnered well with some shorter beds that I had already. They are at a very nice height now and I will add more over time.",5,"-","-","https://www.amazon.com/gp/customer-reviews/RQWGMP11ISNRA/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0BGND2M55","B093HCKBL2","Color: C-dark Grey Matte | Size: F-4x3x2 ft"
"Reviewed in the United States on March 10, 2023","Lauren Berberich","yes","yes","Very Nice.....Although Packing Is Nightmareish","I received this garden bed and I assume in transit it was damaged. I ordered the Dark Gray and on the 2 large panels the corners were bent and the paint was chipping off pretty significantly. I contacted the company and they made it right by shipping the 2 bent panels to me a week later. I opened this package and they were in fine condition except they were silver not the dark gray I ordered. I then contacted the company again and they asked me if I would just be fine with using those....I mean yes it works and makes my product functional, but it doesn't match and it's not the exact product I ordered.",4,"-","-","https://www.amazon.com/gp/customer-reviews/R3D2Q0KTP2TQ9B/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0BGND2M55","B093HCKBL2","Color: C-dark Grey Matte | Size: F-4x3x2 ft"
"Reviewed in the United States on May 1, 2022","jedrxjedrx","yes","yes","Good value, easy to put together and sturdy.","Good value and sturdy boxes with reinforced stabilizing beams in the middle. No sharp edges to worry about either. Comes with some great weed barrier fabric and tomato cage supports. Use length dimensions to determine which pieces bolt together on the sides. It can be confusing if you bolt the end pieces together instead.  Only question is how many seasons will they last? They seem to be good quality!",5,"https://m.media-amazon.com/images/I/81uChtIzSsL.jpg","-","https://www.amazon.com/gp/customer-reviews/RAOC0QEJBDK05/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0BGND2M55","B09QC7S9WV","Color: C-dark Grey Matte | Size: D-6x3x2 ft"
