"Date","Author","Verified","Helpful","Title","Body","Rating","Images","Videos","URL","Variation","Style"
"Reviewed in the United States on April 15, 2023","Review","yes","yes","I think I received an returned item…","Package arrived taped up cardboard box. Panels had no protective covering and was scratched and a little dented. Rods were not wrapped, and the cardboard that was suppose to secure it was in the box. Screwdriver provided is too small for screws. Flat panels require some finagling to get them to fit. Secure top screw and then flex the panel to align the bottom holes. Then all the other screws should be easy to secure. Sad I paid full price for a returned product. If it was less than $100 I wouldn’t feel so bad…",4,"-","-","https://www.amazon.com/gp/customer-reviews/RB0TBAZA5Z2TF/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0BHS6YL2F","B0BHS7BLFG","Color: Dark Grey | Size: 8x4x2 FT"
"Reviewed in the United States on April 29, 2023","Olly2014Olly2014","yes","yes","4 HANDS REQUIRED","The media could not be loaded.                  *THIS TAKES TWO PEOPLE for assembly because each part is quite wobbly and like other reviewers, the holes definitely DO NOT line up symmetrically. So what we did was have one person on one side line up panel holes as close as possible & hold them, while the other person inserted the screw, and used the screwdriver to hold it in while the person opposite screwed the wing nut down. We lined up first top/bottom holes then pushed and pulled to do the rest... we found this was most efficient after arguing and cussing with the first two panels. Once we figured out what to do as partners, it went fairly fast but still took a couple hours to fully assemble. Once we got it together, we were quite happy with appearance and with proper underlayment of rocks, etc. feel it will be quite secure beautiful raised garden bed.PROS:Sizing and height was exactly what I was looking for. 2ft height is a great size for a WHEELCHAIR ♿️ bound person or someone needing to sit and garden.8 foot X 4 foot is a great size for our small garden.Rounded edges are nice with the rubber capping for protection.CONS:• holes misaligned, some very badly. You need to pull, push, bend paneling a bit and must work with a partner.•paint very thin easily scratched. There is plastic that covers the painted side if the panels but if you leave it on, you will have a very ugly tattered looking paneling after a while. Scratches can be covered up with touch up paint.",4,"https://m.media-amazon.com/images/I/8163cBYYZbL.jpg , https://m.media-amazon.com/images/I/817A+2EZPqL.jpg , https://m.media-amazon.com/images/I/81ZlxNEijqL.jpg , https://m.media-amazon.com/images/I/81x2IV0o3yL.jpg , https://m.media-amazon.com/images/I/81z6Y-H8UAL.jpg , https://m.media-amazon.com/images/I/91kgFacZozL.jpg","-","https://www.amazon.com/gp/customer-reviews/RYHFW3GYUUJ4U/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0BHS6YL2F","B0BHS7Y6V5","Color: Beige | Size: 8x4x2 FT"
"Reviewed in the United States on April 9, 2023","Karen B.Karen B.","yes","yes","Beautiful Planter","We were looking to add additional beds to our garden and the galvanized planters are a beautiful addition complementing our existing stone bed. The material is strong and installing was quick and easy. Can wait to finish and plant!!",5,"https://m.media-amazon.com/images/I/814HFTWSXTL.jpg , https://m.media-amazon.com/images/I/91e1yoxmXCL.jpg","-","https://www.amazon.com/gp/customer-reviews/R33W97MGF06K3V/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0BHS6YL2F","B0BHS5VPCZ","Color: Dark Grey | Size: 6x3x2 FT"
"Reviewed in the United States on May 1, 2023","Tony","yes","yes","Good thickness  .. highly recommend","The media could not be loaded.                  The raised bed came in a lot of protective material to prevent scratches. Super easy to put together. It took 45 minutes for three of us to assemble. It helps to have an electric drill to help tighten all the screws. I especially liked the center supports on the 8 x 4 size. The top edge is rolled to prevent any sharp edges, but they also give you a heavy rubber trim piece to head to the top. Absolutely no complaints. We’re anxious to finish filling and see how they hold up but I doubt if there  will be  problems.",5,"-","-","https://www.amazon.com/gp/customer-reviews/R1DZIDZ1KCXV0E/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0BHS6YL2F","-","-"
"Reviewed in the United States on March 21, 2023","Pam W.","yes","yes","Very Good Product","I have bought cheaper raised beds, but I have never been really impressed. This one impressed me. There were clear instructions, the exact number and type of screws included (even had a screwdriver and 2 pairs of garden gloves), but best of all was the quality of material. I will have this for a long time.",5,"-","-","https://www.amazon.com/gp/customer-reviews/R36GK5FQG3P5RB/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0BHS6YL2F","B0BHS8PKL7","Color: Dark Green | Size: 6x3x1.5 FT"
"Reviewed in the United States on April 13, 2023","Karen L AndersenKaren L Andersen","yes","yes","Quite Impressed!","Great quality for the price,  easy to put together. The wing nuts made a huge difference in the ease. There were a few bolts that had a burr and didn't work,  but all in all I was able to set these up with my 2 nephews 9 & 13. We knocked out 4 and they look great! 4 stars because of a few of the bolts wouldn't work,  we ended up using longer ones (there were extra of those,  but I ordered a shorter 1 foot tall bed and I'm not certain if they all come with extra? ) all in all I like them!",4,"https://m.media-amazon.com/images/I/91jTetmDU+L.jpg , https://m.media-amazon.com/images/I/91uYpWthXZL.jpg","-","https://www.amazon.com/gp/customer-reviews/R2JYOANUU37MP0/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0BHS6YL2F","B0BHS7ZL4D","Color: Dark Grey | Size: 6x3x1 FT"
"Reviewed in the United States on May 19, 2023","AskTheNerd","yes","yes","Fine Containers, but Difficult Assembly","I just finished assembling the second one of these (6x3x2) planters. The first one took four hours. I was hopeful that the second would go faster, but it was still about the same time. I did both of them by myself. In the reviews people speak of holes not aligning. In general they don’t. Most of the problems are with side panels that become somewhat flattened during shipping. I found that if you do the top and bottom screws first, then the middle, that the rest will slip right in. Now, it’s not always trivial to get the top and bottom done and someone to help would make it much easier, but it can be done! Just a note, they give you gloves, but you really can’t wear them while you install screws and the unfinished edges are really sharp! (Yes, I did manage to cut myself!)The other thing that I would like to point out is that the assembled containers are very large and that they require a huge amount of solid material to fill them. I’m talking about 30 cubic feet or so! At typical prices you should figure more than $100 worth of filler, each! (Maybe more!)The finished product is attractive and very functional and I can recommend them, but be warned about the assembly and the cost of filling them.",4,"-","-","https://www.amazon.com/gp/customer-reviews/R2BSVVT3RHDA6T/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0BHS6YL2F","B0BHS76QQ2","Color: Silver | Size: 6x3x2 FT"
"Reviewed in the United States on May 10, 2023","BonnieBonnie","yes","yes","Large raised bed","This bed is bigger than expected, but I'm pleased. In the background you can see the smaller bed I ordered earlier. It was smaller than expected, so that's why I ordered the larger one. Both were easy to assemble. I was able to assemble them alone. However, that said the larger one does come with instructions that I should have paid closer attention to.  It comes with two different sizes of bolts, which I discovered after having it partially finished. I had replace the  bolts I'd used, but that was my error. I'm very excited to begin gardening. I would definitely buy these again.",5,"https://m.media-amazon.com/images/I/911mYi7YDEL.jpg , https://m.media-amazon.com/images/I/91y-iPEUhqL.jpg","-","https://www.amazon.com/gp/customer-reviews/R2XGBG7M2KGPZ1/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0BHS6YL2F","B0BHS8DB27","Color: Silver | Size: 8x4x1.5 FT"
"Reviewed in the United States on June 9, 2023","B White B White ","yes","-","Love!!","I bought three of these for this year. One galvanized and two brown. These are simple to assemble and I love that they have support brackets inside to keep the sides from bowing. I’ve only had them up for a month and a half but so far they are holding up great! I filled the bottom with twigs, leaves, grass clippings, peat moss, and straw so I wouldn’t have to purchase so much soil. Then I did a mixture of topsoil and raised bed potting mix for the top. I did about a foot of soil and the rest was compost. So far it’s working out great! My plants are growing larger than ever this year! Now if only I could keep out the dang squirrels!!",5,"https://m.media-amazon.com/images/I/91B1VoCV6UL.jpg","-","https://www.amazon.com/gp/customer-reviews/R4BZUVS2UW04N/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0BHS6YL2F","B0BHS76JCH","Color: Silver | Size: 8x4x2 FT"
"Reviewed in the United States on June 4, 2023","PXYajPXYaj","yes","-","Just what I was looking for!","No regrets buying these!  Exactly what I needed!  Our native dirt is clay-dirt hard where nothing grows (as you can see in the photos). Easy to put together. Took 45 min to build each. Did hugelkultur to save a bit of money on raised bed garden soil. Happy to say my garden is now thriving. Can’t wait to harvest!!",5,"https://m.media-amazon.com/images/I/915Vi37ueqL.jpg , https://m.media-amazon.com/images/I/91LNNnUQTzL.jpg , https://m.media-amazon.com/images/I/91LmfIxvWxL.jpg , https://m.media-amazon.com/images/I/91gJ79Pd-rL.jpg , https://m.media-amazon.com/images/I/91gtwpQNYrL.jpg , https://m.media-amazon.com/images/I/91o6cfviGOL.jpg , https://m.media-amazon.com/images/I/91vX8E1gwpL.jpg","-","https://www.amazon.com/gp/customer-reviews/R3T52242TJ9UCK/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0BHS6YL2F","B0BHS6YL2F","Color: Dark Grey | Size: 8x4x1.5 FT"
