"Date","Author","Verified","Helpful","Title","Body","Rating","Images","Videos","URL","Variation","Style"
"Reviewed in the United States on January 18, 2023","BTWBTW","-","yes","More Growing Room Where Needed","I have a number of garden beds setup since they are conveniently placed near my patio area and allow me to grow various fresh vegetables.  I recently acquired this galvanized bed which is twice as wide as my other beds so I'll be able to grow more tomatoes!The Raised Garden Bed Planter is easy to build using the provided hardware.  A Philips screwdriver and adjustable wrench was needed to tighten up the bolts.  The kit comes with easy-to-follow instructions with everything diagrammed.  The parts that make up the bed are individually marked.The bed comes with three center cross-rods to provide strength.  And each corner is covered by a plastic cap.Once placed in a suitable location the corners can be ""staked"" to the ground using the four supplied corner stakes.  These fit through the galvanized corners and stop the bed from moving around.  Once put together, fill with your favorite mix of growing materials.In my kit I found a pair of gloves as a bonus.The kit itself is very compact when stored.  I look forward to many years of fruitful growing!",5,"https://m.media-amazon.com/images/I/613XJJwsdOL.jpg , https://m.media-amazon.com/images/I/61ColKg-PML.jpg","-","https://www.amazon.com/gp/customer-reviews/RK63YMZ4BC9J5/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0BJZ9J4HD","B0BJYX8KV7","Color: Galvanized - 8x4x1ft"
"Reviewed in the United States on January 17, 2023","KariH.KariH.","-","yes","Very Nice Raised Planter Bed","The media could not be loaded.                  I am happy with this product and it was very easy to put together. It comes with all the parts you need and a pair of gloves which was nice and necessary because sheet metal is always a bit sharp on the edges. The metal panels look nice and I can’t wait to plant in it in the Spring! For more please see attached video and pictures.",5,"https://m.media-amazon.com/images/I/81bJpKffBSL.jpg , https://m.media-amazon.com/images/I/81i7EEibLwL.jpg , https://m.media-amazon.com/images/I/81w6lXwKYaL.jpg , https://m.media-amazon.com/images/I/81xAiF2vPHL.jpg","-","https://www.amazon.com/gp/customer-reviews/R2X14349EJ55QP/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0BJZ9J4HD","-","-"
"Reviewed in the United States on April 17, 2023","David Liles","yes","yes","Excellent product!","My wife and I are 70 and 80 years old. We ordered this product to replace rotting wood plant boxes.This was an excellent choice. All of the parts were of good quality and smooth to the touch.Assembly was easy.  We moved it into position, and have started to fill it with soil.Vegetable planting and harvest to follow.",5,"-","-","https://www.amazon.com/gp/customer-reviews/R20SY8IPKZC2G0/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0BJZ9J4HD","B0BJZ9J4HD","Color: Galvanized - 8x4x1.5ft"
"Reviewed in the United States on January 8, 2023","ChiefB & SweetieBooChiefB & SweetieBoo","-","yes","Well engineered","Well thought out design for a large, 4' x 8', raised bed garden enclosure.  Galvanized steel to prevent rust and insure long life; reinforced supports at the middle to hold the whole thing together; rolled tops/bottoms so you don't slice an arm off and very simple assembly (ok I goofed) that can be completed by one person by him/herself.  At $86 it's cheaper than others that are about half the size.  Large enough to grow a significant vegetable patch.  For this one I plan to plant okra, 3 rows of 7 plants each.  Should produce plenty of okra to supply my wife & I.  Highly recommended.",5,"https://m.media-amazon.com/images/I/7184N6HHlQL.jpg , https://m.media-amazon.com/images/I/71RKT3-tgXL.jpg , https://m.media-amazon.com/images/I/71kJiSmX+hL.jpg , https://m.media-amazon.com/images/I/81mWQavHZ+L.jpg , https://m.media-amazon.com/images/I/81mxNxTZd4L.jpg","-","https://www.amazon.com/gp/customer-reviews/R1VJ2KZMIH7VJ4/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0BJZ9J4HD","B0BJYX8KV7","Color: Galvanized - 8x4x1ft"
"Reviewed in the United States on January 28, 2023","Katelyn S.","-","yes","Easy to assemble","This is a kit for an 8x4ft garden bed.The instructions are easy to follow and assembly was pretty easy. The parts fit together well. There are no extra nuts or bolts so don't drop any into the grass where you cannot find them.You will need a screwdriver and wrench to tighten the bolts; tools not included.The edges that will be exposed when the bed is assembled are folded over so they're not sharp, but the edges exposed during assembly are sharp, be careful. It included plastic caps for the corners which I did not use because the plastic will break down in a year or two in the sun.Overall the quality is on par with other metal beds I have assembled and used.",5,"-","-","https://www.amazon.com/gp/customer-reviews/R2KWQ4FET99PH7/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0BJZ9J4HD","B0BJYX8KV7","Color: Galvanized - 8x4x1ft"
"Reviewed in the United States on March 31, 2023","K&C WOOD","yes","yes","Surprisingly Well Built","I was shocked at how nice this is for the price. The edges are rolled so no sharp edges. All hardware was in the package (you'll need a screwdriver and Wrench or socket). All holes lined up! Went together in less than 5 minutes. Seems sturdy for a raised bed, just note the top WILL bend if you lean on it. It's galvanized and will last a long time. My only gripe is that my house lights reflect off it, but some black spray paint will resolve that issue.  So impressed I just bought two more!",5,"-","-","https://www.amazon.com/gp/customer-reviews/R2QGPL1OWF8TPL/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0BJZ9J4HD","B0BJYX8KV7","Color: Galvanized - 8x4x1ft"
"Reviewed in the United States on April 18, 2023","Diana","yes","yes","Easy construction","These were super easy to assemble.  Light enough for me and my husband to move around yet very sturdy. We haven't filled them yet so I can't say anything about the ease of gardening yet. I am excited to grow in them though.",5,"-","-","https://www.amazon.com/gp/customer-reviews/R37FE44IGIY20R/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0BJZ9J4HD","B0BJZ9J4HD","Color: Galvanized - 8x4x1.5ft"
"Reviewed in the United States on April 15, 2023","Gerri","yes","yes","size and easy to assemble and maneuver","Just what we wanted and needed, easy to put together and the size is correct.  The only thing that would make them perfect is if they were a little more rigid--but then shipping would have been more difficult",5,"-","-","https://www.amazon.com/gp/customer-reviews/R1QPFEUPPJ9PZA/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0BJZ9J4HD","B0BJZ9J4HD","Color: Galvanized - 8x4x1.5ft"
"Reviewed in the United States on April 20, 2023","SteveSteve","yes","yes","Easy to assemble","Removed our old wood built garden which was starting to rot after a few years. I am sure these will last a lot longer. Very happy with the purchase.",4,"https://m.media-amazon.com/images/I/917-OXDqJhL.jpg","-","https://www.amazon.com/gp/customer-reviews/R3UI6ZZ3W398UM/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0BJZ9J4HD","B0BJZ9J4HD","Color: Galvanized - 8x4x1.5ft"
"Reviewed in the United States on April 26, 2023","Eric Zeeb","yes","yes","Raised beds","These raise beds was easy to assemble and cheaper than building out of wood",5,"-","-","https://www.amazon.com/gp/customer-reviews/R26K48P3OHI73G/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0BJZ9J4HD","B0BJYX8KV7","Color: Galvanized - 8x4x1ft"
