"Date","Author","Verified","Helpful","Title","Body","Rating","Images","Videos","URL","Variation","Style"
"Reviewed in the United States on May 21, 2023","Ellyn Ellyn ","yes","yes","Awesome raised bed!","This raised bed was pretty simple to put together with two people. It's very sturdy and we were able to put it together indoors and then carry it outdoors with no problems. I filled it earlier this week and then planted in it and everything is going great so far! May buy a second next year!",5,"https://m.media-amazon.com/images/I/91nB8li+lwL.jpg","-","https://www.amazon.com/gp/customer-reviews/RH1APHALRHGOO/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0BM5ZJWQP","-","-"
"Reviewed in the United States on March 28, 2022","SUHUA WUSUHUA WU","yes","yes","Perfect for my needs","This is the perfect size for my garden. It's easy to assemble according to the instructions in the yard. I’m excited to show the finished product. It will take me a few days. It’s perfect for me. It is not heavy. It is lightweight but will hold dirt.",5,"https://m.media-amazon.com/images/I/71WJLsUu2nL.jpg , https://m.media-amazon.com/images/I/81BaoLcghLL.jpg","-","https://www.amazon.com/gp/customer-reviews/R3HXPI2XMD8MIN/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0BM5ZJWQP","B09NR47L5S","Color: Brown | Size: 6x3x1FT"
"Reviewed in the United States on April 6, 2022","Linfeng LiLinfeng Li","yes","yes","Much better than wood for garden beds, no rot problems","The media could not be loaded.                  I love these planter boxes. Seriously, they are huge, much sturdier than I expected them, and fit great with the look of my yard. I cannot wait till my plants are full grown so I can admire them further. Would buy again and would recommend for anyone starting a garden.",5,"https://m.media-amazon.com/images/I/81iHavRbpsL.jpg , https://m.media-amazon.com/images/I/81nUvLbeXaL.jpg , https://m.media-amazon.com/images/I/81nUvLbeXaL.jpg","-","https://www.amazon.com/gp/customer-reviews/R3Y1Y2FXBTXNM/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0BM5ZJWQP","B09NR5148M","Color: Silver | Size: 6x3x1FT"
"Reviewed in the United States on April 27, 2022","VanessaVanessa","yes","yes","Great garden bed","I bought two of these and I'm very happy with them! Yes, it's a small pain to do the mini screws, but I managed to do one bed on my own. For the second one, I got a helper and it went a lot easier. It looks sturdy and I hope they last for years and years. I also like that they came with anchors to put into the bottoms of the four corners.",5,"https://m.media-amazon.com/images/I/81cDn3wU6jL.jpg , https://m.media-amazon.com/images/I/91+Dzmx3-gL.jpg","-","https://www.amazon.com/gp/customer-reviews/R15FP8X4IZYZV4/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0BM5ZJWQP","B09NR47L5S","Color: Brown | Size: 6x3x1FT"
"Reviewed in the United States on April 6, 2022","Leo Yu","yes","yes","Better Quality Also","Love this galvanized garden bed! It is so easy to set up, do not even need the instructions pretty much self explanatory with the items that come in the box! Neighbors have commented how nice it looks.",5,"-","-","https://www.amazon.com/gp/customer-reviews/RJQV06A06WAFJ/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0BM5ZJWQP","B09NR47L5S","Color: Brown | Size: 6x3x1FT"
"Reviewed in the United States on April 22, 2022","Arne","yes","yes","You don’t want to try and assemble this product.","The assembly if this bed was most frustrating with tiny screws and nuts together with terrible directions. Too many tiny screws and nuts required. Will never buy another.",1,"-","-","https://www.amazon.com/gp/customer-reviews/R2V2TTJUVJZKVG/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0BM5ZJWQP","B09NR5148M","Color: Silver | Size: 6x3x1FT"
"Reviewed in the United States on April 10, 2022","Jasmine Kiehlmier","yes","yes","Cheaply made & hard to put together","Product was not worth the money spent. Cheaply made & very time consuming to put together. Do not purchase!",2,"-","-","https://www.amazon.com/gp/customer-reviews/R363MXTEOPMLJR/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0BM5ZJWQP","-","-"
"Reviewed in the United States on April 22, 2022","Sandy Matthes","yes","yes","( junk)","Nothing good about this product thin cheaply made dents easy. Plastic coating. And company to cheap to give me a full refund for the one out of 5 I sent back because of damage one had the 5% back..I’m thinking about sending other 4 back. Very unhappy costumer.",1,"-","-","https://www.amazon.com/gp/customer-reviews/RS1YAY1FGROYI/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0BM5ZJWQP","-","-"
"Reviewed in the United States on April 6, 2022","Jenny Jin","yes","yes","Thick material","My husband finally help me set this up today. Very pleased with this purchase. Now I have my own garden in my little backyard with very cheap price. The material is thick and well made overall.",5,"-","-","https://www.amazon.com/gp/customer-reviews/RT6XYR5PQ5FRS/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0BM5ZJWQP","B09NR5148M","Color: Silver | Size: 6x3x1FT"
"Reviewed in the United States on April 6, 2022","derekderek","yes","yes","Worth recommend","The product is as strong as described. Used for my garden of tomatoes and peppers.  It's a good choice.",5,"https://m.media-amazon.com/images/I/91-aC0ZYXML.jpg , https://m.media-amazon.com/images/I/91mVSzdID6L.jpg , https://m.media-amazon.com/images/I/91wu9JSD59L.jpg","-","https://www.amazon.com/gp/customer-reviews/R1O5NYW9Q3HGWC/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0BM5ZJWQP","B09NR5148M","Color: Silver | Size: 6x3x1FT"
"Reviewed in the United States on May 5, 2023","JuneJune","yes","yes","Great Garden Beds, Great Price","I wanted to build wood garden beds for a vegetable garden but with soaring lumber prices we needed a more economical option. These garden beds worked perfectly. I love the dark wood look and that they'll last much longer than real wood! Bought two 8x4 ft beds for planting vegetables and was so happy with those that I bought a 4x4 ft bed to plant herbs.I put all three garden beds together by myself without any big issues. The set comes with screws, wingnuts, and washers. I screwed the screw and wingnut together with my hands and then used a screwgun and a pair of pliers to tighten everything together. I highly recommend wearing some thick gloves, pants, and closed-toed shoes because the metal pieces have super sharp edges that will cut you if you're not careful. Also, each metal piece is covered with a thin layer of plastic. Make sure you peel the plastic off before screwing the pieces together!Overall, I love the quality of these garden beds and you really can't beat the price!",5,"https://m.media-amazon.com/images/I/41PnJQEwu9L.jpg","-","https://www.amazon.com/gp/customer-reviews/R1RWRNWRY7T0SM/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0BM5ZJWQP","-","-"
"Reviewed in the United States on May 23, 2022","Susanna KennadySusanna Kennady","yes","yes","They were damaged when they arrived. It just made them more difficult to assemble.","The bolts, washers and nuts are tiny, but manageable for small hands.Mine were damaged badly upon arrival. They could still be assembled so I kept them, but it definitely made it harder. They are flimsier than I thought but should still do their job.",3,"https://m.media-amazon.com/images/I/71MIwxbzYSL.jpg , https://m.media-amazon.com/images/I/71WFB0J9sAL.jpg , https://m.media-amazon.com/images/I/71YE8lsTqvL.jpg , https://m.media-amazon.com/images/I/71YE8lsTqvL.jpg","-","https://www.amazon.com/gp/customer-reviews/R2PVVP4Z1TR906/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0BM5ZJWQP","B09NR47L5S","Color: Brown | Size: 6x3x1FT"
"Reviewed in the United States on May 17, 2023","kennethkenneth","yes","yes","Highly recommend! Looks great and easy to put together!","I would highly recommend this if you are building a raised bed garden. It was very easy to put together and seems more stable than the oval ones I also got. I found a 6' bean trellis on Amazon that fits perfectly, filled it with some mulch and dirt from Home Depot, and now my green bean and tomato plants are off to a great start. I will definitely be buying a couple more when I expand the garden again next season.",5,"https://m.media-amazon.com/images/I/91FRxFNiEhL.jpg , https://m.media-amazon.com/images/I/91dJgnjRPUL.jpg , https://m.media-amazon.com/images/I/91iDT7oPTUL.jpg , https://m.media-amazon.com/images/I/91s4t5ZwGpL.jpg","-","https://www.amazon.com/gp/customer-reviews/R3S2AU5MEN76QV/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0BM5ZJWQP","B09NR47L5S","Color: Brown | Size: 6x3x1FT"
"Reviewed in the United States on April 30, 2023","Teracia LTeracia L","yes","yes","Perfect","Perfect  for our suburban backyard garden. These are painted and have been in the Texas weather since we got them. Easy to assemble, move into place, and use. The stabilizer bars are great because you are going to need a lot of media to fill these. I bought three and  put them around a small deck. We have filled one to capacity and are steadily filling the second and third.  I would recommend these to friends and family.",5,"https://m.media-amazon.com/images/I/91twMKDnkcL.jpg","-","https://www.amazon.com/gp/customer-reviews/R8ALVBGX30MZP/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0BM5ZJWQP","B0BM61W2ZH","Color: Green | Size: 8x4x1FT"
