"Date","Author","Verified","Helpful","Title","Body","Rating","Images","Videos","URL","Variation","Style"
"Reviewed in the United States on April 25, 2022","ReneeSuz","yes","yes","Expected it to be heavier","First off I have to say that one person can't assemble this in 30 minutes (as the instructions state). It took my husband longer even using an electric drill/screwdriver. Be very very careful as the edges are sharp - there are even gloves included to use while assembling.I think it's a bit expensive for what it is - essentially a few pieces of lightweight metal held together at the corners and with a cross beam to try to provide more stability.  I am thankful that I had earned some Amazon gift cards so it didn't feel as expensive.It's not yet installed in our yard as we need to do some digging to secure the planter box but I think it will be a good size for my first year of veggie garden",4,"-","-","https://www.amazon.com/gp/customer-reviews/R1160PIF59Q0P9/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0BNPLKNJB","-","-"
"Reviewed in the United States on May 4, 2022","AntoniaAntonia","yes","yes","Not worth the price","Looks nice but definitely not worth the money, definitely overpriced.",2,"https://m.media-amazon.com/images/I/81O0S+xV5nL.jpg","-","https://www.amazon.com/gp/customer-reviews/R7P993ZUC117O/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0BNPLKNJB","B09PMYXRPJ","Size: 4x3x1ft"
"Reviewed in the United States on April 13, 2023","Beverly Flynn","yes","yes","Received on time and am happy with the bed.","It’s light weight. Lots of wing nuts so had sore fingers after putting together. Looks good. Haven’t planted yet.",5,"-","-","https://www.amazon.com/gp/customer-reviews/R2YC3S8FTMILT1/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0BNPLKNJB","B09PN11Y65","Size: 6x3x2ft"
"Reviewed in the United States on April 4, 2023","David Gornewicz","yes","yes","Good bargain","Assembled easily with the parts provided.  All the holes lines up.  It is home to my bananas",5,"-","-","https://www.amazon.com/gp/customer-reviews/RPIDX3HIJZ2NU/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0BNPLKNJB","B09PN11Y65","Size: 6x3x2ft"
"Reviewed in the United States on April 16, 2022","Jen","yes","yes","Not As Dark as the Picture","Item is as description but the color is a lighter grey than the picture. Good quality, just wish it was more of the grey brown from the picture.",4,"-","-","https://www.amazon.com/gp/customer-reviews/R1B6WQ1U6CO9GO/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0BNPLKNJB","B09PMYX29W","Size: 8x4x1ft"
"Reviewed in the United States on May 11, 2022","Natalya VedernikovNatalya Vedernikov","yes","yes","Accessories to lock to the ground and edges are rounded.","Love it.",5,"https://m.media-amazon.com/images/I/917EvBxD5KL.jpg","-","https://www.amazon.com/gp/customer-reviews/R1WTBM6STWTU06/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0BNPLKNJB","B09PMYX29W","Size: 8x4x1ft"
"Reviewed in the United States on March 24, 2023","Nina HuoNina Huo","yes","yes","It's the right size and good quality I am looking for","I spent a lit of time in finding a suitable small size that match the bigger one to combine together to fit my garden area.  And I finally found this which perfect fit. It very sturdy and easy to assemble. Love it so much. Can't wait to plant in my vegetables.",5,"https://m.media-amazon.com/images/I/91z+93HS7nL.jpg","-","https://www.amazon.com/gp/customer-reviews/R3FZXCU9F2AZ0Q/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0BNPLKNJB","B09PMYXRPJ","Size: 4x3x1ft"
"Reviewed in the United States on July 20, 2022","Mackenzie ","yes","yes","It works but flimsy","It took my husband about three hours to put this together. Make sure you wear the gloves to put it together that it comes with because he got cut a few times. We put it on dirt in a planter bed and things seem to be growing but it is not the sturdiest piece of equipment",4,"-","-","https://www.amazon.com/gp/customer-reviews/R2JTME4WIF61UK/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0BNPLKNJB","-","-"
"Reviewed in the United States on August 18, 2022","Amazon Customer","yes","yes","Just what we were looking for","We had one garden bed already and were looking for a second to plant more. Found this one, which was in the price point I was looking for and it looked just like our first so I ordered it. The assembly was not quick like our previous one. It required multiple screws to put it together. Our first one just locked together without screws. But once assembled it does it’s job.",5,"-","-","https://www.amazon.com/gp/customer-reviews/R193CO9ZTGLIJH/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0BNPLKNJB","B09PMYXRPJ","Size: 4x3x1ft"
"Reviewed in the United States on June 15, 2022","cclack","yes","yes","Great product","I only gave it 4/5 on assembly because it is kind of a pain to put together because you have to hold the two panels together, which isn't the easiest if you're doing it alone. But it is great once it is done and we have produce growing quickly and nicely already!",5,"-","-","https://www.amazon.com/gp/customer-reviews/R306AVP5F1UTQL/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0BNPLKNJB","B09PMYXRPJ","Size: 4x3x1ft"
