"position.page","position.position","position.global_position","asin","price.discounted","price.current_price","price.currency","price.before_price","price.savings_amount","price.savings_percent","reviews.total_reviews","reviews.rating","url","score","sponsored","amazonChoice","bestSeller","amazonPrime","title","thumbnail"
1,3,1,"B0BCW8X98V",true,89.24,"USD",109.99,20.75,18.87,490,4.6,"https://www.amazon.com/dp/B0BCW8X98V","2254.00",false,false,false,false,"Sponsored Ad - SONFILY Planter Raised Beds,Raised Garden Beds Outdoor for Vegetables,Metal Raised Garden Bed Outdoor for G...","https://m.media-amazon.com/images/I/81xXNZyqSRL._AC_UL400_.jpg"
1,5,2,"B09C8HR4Z9",true,39.99,"USD",64.99,25,38.47,5380,4.5,"https://www.amazon.com/dp/B09C8HR4Z9","24210.00",false,true,false,false,"Sponsored Ad - Land Guard Galvanized Raised Garden Bed Kit, Galvanized Planter Garden Boxes Outdoor, Oval Large Metal for ...","https://m.media-amazon.com/images/I/61I+l9IhJWL._AC_UL400_.jpg"
1,6,3,"B0BVQP86WZ",false,69.99,"USD",0,0,0,54,4.4,"https://www.amazon.com/dp/B0BVQP86WZ","237.60",false,false,false,false,"Koutemie Outdoor Raised Planter Box with Legs for Gardening, Elevated DIY Garden Bed Cart on Wheels for Vegetables Flower ...","https://m.media-amazon.com/images/I/71Zgn+c95nL._AC_UL400_.jpg"
1,7,4,"B0BL6MR1KN",false,159.99,"USD",0,0,0,26,4.7,"https://www.amazon.com/dp/B0BL6MR1KN","122.20",false,false,false,false,"FRIZIONE 6x3x2FT Galvanized Metal Raised Garden Bed for Vegetables, Outdoor Garden Raised Planter Box, Backyard Patio Plan...","https://m.media-amazon.com/images/I/71k95PEaElL._AC_UL400_.jpg"
2,1,5,"B0BCW8X98V",true,89.24,"USD",109.99,20.75,18.87,490,4.6,"https://www.amazon.com/dp/B0BCW8X98V","2254.00",false,false,false,false,"Sponsored Ad - SONFILY Planter Raised Beds,Raised Garden Beds Outdoor for Vegetables,Metal Raised Garden Bed Outdoor for G...","https://m.media-amazon.com/images/I/81xXNZyqSRL._AC_UL320_.jpg"
2,2,6,"B09WHC4J2B",true,144.44,"USD",169.95,25.51,15.01,216,4.7,"https://www.amazon.com/dp/B09WHC4J2B","1015.20",false,false,false,false,"Sponsored Ad - VEGEGA. 8ft X 2ft X 1.4ft Raised Garden Bed Kit, Large Zinc-Aluminum-Magnesium Stainless Steel Metal Plante...","https://m.media-amazon.com/images/I/61dFi32tyAL._AC_UL320_.jpg"
2,4,7,"B0BKL5MPXM",false,49.99,"USD",0,0,0,79,4.6,"https://www.amazon.com/dp/B0BKL5MPXM","363.40",false,false,false,false,"Sponsored Ad - TOUFUN Raised Garden Bed,Galvanized Raised Garden Beds Outdoor for Vegetables Flowers Herbs, Raised Bed Pla...","https://m.media-amazon.com/images/I/81R8qhG+DSL._AC_UL320_.jpg"
2,5,8,"B09VD3RLDF",false,119.99,"USD",0,0,0,15,4.4,"https://www.amazon.com/dp/B09VD3RLDF","66.00",false,false,false,false,"Notume Raised Garden Bed 41x21x20-inch Mobile Elevated Wood Planter Lockable Wheels, Outdoor Wood Elevated Planter Box Kit...","https://m.media-amazon.com/images/I/81qn0AvoMXL._AC_UL320_.jpg"
2,6,9,"B08M5CGX8F",false,99.99,"USD",0,0,0,276,4.2,"https://www.amazon.com/dp/B08M5CGX8F","1159.20",false,false,false,false,"SUNVIVI OUTDOOR Raised Planter Box, Self Watering Planter Boxes, Raised Garden Bed with Legs, Durable Raised Flower Bed We...","https://m.media-amazon.com/images/I/81ZkmBl2LpL._AC_UL320_.jpg"
2,7,10,"B0BLXKQ6CH",false,59.99,"USD",0,0,0,96,3.9,"https://www.amazon.com/dp/B0BLXKQ6CH","374.40",false,false,false,false,"Sponsored Ad - TDDSS Raised Garden Bed with Legs Planters for Outdoor Plants Planter Box Plant pots Elevated Garden Boxes ...","https://m.media-amazon.com/images/I/81gmS1V-owL._AC_UL320_.jpg"
