"position.page","position.position","position.global_position","asin","price.discounted","price.current_price","price.currency","price.before_price","price.savings_amount","price.savings_percent","reviews.total_reviews","reviews.rating","url","score","sponsored","amazonChoice","bestSeller","amazonPrime","title","thumbnail"
1,2,1,"B07TV7QN3Z",true,17.56,"USD",21.99,4.43,20.15,2566,4.7,"https://www.amazon.com/dp/B07TV7QN3Z","12060.20",false,false,false,false,"Sponsored Ad - Aoocan Marshmallow Roasting Sticks , Set of 12 Extend 45"" Smores Sticks for Fire Pit , Telescoping Rotating...","https://m.media-amazon.com/images/I/71iZz94GtpL._AC_UY218_.jpg"
1,3,2,"B07VDKMGPM",false,9.99,"USD",0,0,0,14125,4.6,"https://www.amazon.com/dp/B07VDKMGPM","64975.00",false,false,true,false,"MalloMe Marshmallow Roasting Sticks - Smores Skewers for Fire Pit Kit - Hot Dog Camping Accessories Campfire Marshmellow 3...","https://m.media-amazon.com/images/I/71USIoHp8CL._AC_UY218_.jpg"
1,4,3,"B09FPN5DHM",true,7.95,"USD",9.99,2.04,20.42,353,4.6,"https://www.amazon.com/dp/B09FPN5DHM","1623.80",false,true,false,false,"UNCO- Marshmallow Roasting Sticks, 5 Pack, 32”, Extendable Stainless Steel Smores Sticks, Campfire Sticks, Marshmallow Sti...","https://m.media-amazon.com/images/I/71ZdPnHoz7L._AC_UY218_.jpg"
1,5,4,"B0BQBYQH4Q",false,15.99,"USD",0,0,0,28,4.8,"https://www.amazon.com/dp/B0BQBYQH4Q","134.40",false,false,false,false,"Briout Marshmallow Roasting Sticks 12 Colors Extra Long 45'' Stainless Telescoping Hot Dog Smores Skewers Kids Safe Barbec...","https://m.media-amazon.com/images/I/71t2i58JbiL._AC_UY218_.jpg"
1,6,5,"B0B392DTP3",false,10.59,"USD",0,0,0,175,4.6,"https://www.amazon.com/dp/B0B392DTP3","805.00",false,false,false,false,"10 Pcs Marshmallow Roasting Sticks for Fire Pit Long 32Inch, Smores Sticks Skewers, Smores Kit for Fire Pit, Premium Teles...","https://m.media-amazon.com/images/I/71EeouEDnOL._AC_UL400_.jpg"
1,7,6,"B07VQGJ559",true,11.99,"USD",13.99,2,14.3,15695,4.7,"https://www.amazon.com/dp/B07VQGJ559","73766.50",false,false,true,false,"Sponsored Ad - HOPELF 16"" Natural Bamboo Skewers Sticks for BBQ，Kabob，Grilling，Barbecue，Kitchen，Roasting，Marshmallows，Plan...","https://m.media-amazon.com/images/I/61MhlR2cAtL._AC_UY218_.jpg"
1,8,7,"B07D76SCRG",true,13.49,"USD",25.99,12.5,48.1,5243,4.7,"https://www.amazon.com/dp/B07D76SCRG","24642.10",false,false,false,false,"Briout Marshmallow Roasting Sticks 10 Pack Extra Long 45’’ Stainless Telescoping Hot Dog Smores Skewers Kids Safe Barbecue...","https://m.media-amazon.com/images/I/71Cq3sbj0DL._AC_UY218_.jpg"
1,9,8,"B071NP7R23",true,7.64,"USD",8.49,0.85,10.01,15332,4.5,"https://www.amazon.com/dp/B071NP7R23","68994.00",false,false,false,false,"Ajmyonsp Marshmallow Roasting Sticks Smores Stick for Fire Pit - Hot Dog Campfire Skewers Mashmellow Camping 32 Inch Long ...","https://m.media-amazon.com/images/I/51Tv2XQH7dL._AC_UY218_.jpg"
1,10,9,"B098QKH9W8",false,13.99,"USD",0,0,0,1678,4.6,"https://www.amazon.com/dp/B098QKH9W8","7718.80",false,false,false,false,"Totoose Extendable Marshmallow Roasting Sticks - Set of 8 Telescoping Smores Skewers & Hot Dog Forks with Wooden Handle fo...","https://m.media-amazon.com/images/I/61q7MRzFxYL._AC_UY218_.jpg"
1,11,10,"B01AYESJ5Y",true,26.79,"USD",32.97,6.18,18.74,4714,4.7,"https://www.amazon.com/dp/B01AYESJ5Y","22155.80",false,false,false,false,"Sponsored Ad - Jolly Green Products Rotating Marshmallow Roasting Sticks | Set of 5 Telescoping Forks - Free Bag | Safe, F...","https://m.media-amazon.com/images/I/71gbm11C7cL._AC_UY218_.jpg"
