"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase","media"
"R2K8X98261GLWS","B07F2QHCCN","B07CZ74J5M","Reviewed in the United States on February 28, 2020","February 28, 2020",1582848000,"Donnell Shrewsbury",5,"great toy for kids ages 2-5","My kids absolutely love this toy can can sit and play with it for hours!",false,"[]"
"RKVLZ239SHEHR","B07F2QHCCN","B07F2QHCCN","Reviewed in the United States on February 11, 2020","February 11, 2020",1581379200,"Momma G",4,"Great toy but 2 balls fell out","My kids (3,4 and 9y) really love this toy.I knocked off a star because within 48 hours 2 of the little balls fell out.This could be a hazard.But my kids just threw them away and went on playing with it.",false,"[]"
"R1MY4RSFPGZMK0","B07F2QHCCN","B07CZ74J5M","Reviewed in the United States on January 20, 2020","January 20, 2020",1579478400,"MM",4,"Fun but....","Fun. Smaller then I expected. I wish pen was attached by a string or something we already lost it.",false,"[]"
"RF8KZR1MBEOA1","B07F2QHCCN","B07F2QHCCN","Reviewed in the United States on January 13, 2020","January 13, 2020",1578873600,"Pachis",4,"Good for the imagination","Kids love it",false,"[]"
"R2EI8FMICBNEK6","B07F2QHCCN","B07CZ74J5M","Reviewed in the United States on October 5, 2019","October 5, 2019",1570230000,"Debi",5,"Great child imagination game.","Surprized they lasted so long. I bought 3 for gifts last year. Reminded me of a magnet set I had when I was a kid. The plastic was more durable than I thought it would be. Great toy for car rides.",false,"[]"
"R2BXMKQ9FP3H4S","B07F2QHCCN","B07F2QHCCN","Reviewed in the United States on August 7, 2019","August 7, 2019",1565132400,"mom",5,"Great toy","this game keeps the kids busy for hours. So many different designs to make.",false,"[]"
"RTXUAUUHJALAC","B07F2QHCCN","B07F2QHCCN","Reviewed in the United States on April 18, 2019","April 18, 2019",1555542000,"Danielle",2,"It’s ok...","This is a nice product however there are several “beads” on the one we got that don’t stay up in the hole.My three year old gets mad when she try’s to make them all stay up and they don’t.",false,"[]"
"R1FFGCQ78CN2WJ","B07F2QHCCN","B07CZ74J5M","Reviewed in the United States on March 21, 2019","March 21, 2019",1553126400,"Matthew Stryker",2,"Half poor quality.","Not too thrilled. Some of the beads won’t move. Some of them can’t go down.",false,"[]"
"R2FE6MHO231LY","B07F2QHCCN","B07CZ74J5M","Reviewed in the United States on January 14, 2019","January 14, 2019",1547424000,"Amazon Customer",5,"Easy, compact and hours of fun!","Great for travel",false,"[]"
"RWRM8XKHGUPMQ","B07F2QHCCN","B07CZ74J5M","Reviewed in the United States on January 11, 2019","January 11, 2019",1547164800,"G. Herrin",5,"Great buy!","My little grandson plays this for hours!",false,"[]"
