"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase","media"
"R3A8Z79TOGLU3O","B09VBZZ9C8","","Reviewed in the United States on September 24, 2022","September 24, 2022",1663974000,"JBloom",4,"Mini Magnet Boards","Overall love this product. The only thing I find that is a bit of an inconvenience is that if you flip the board over a lot of the magnets will stay up instead of falling back down in the holes. Not a huge deal, but kind of annoying to have to push the magnets down each time even when you didn’t use the stylus to engage the magnet.",false,"[]"
"RASK0WB9B98N8","B09VBZZ9C8","","Reviewed in the United States on August 18, 2022","August 18, 2022",1660777200,"Melanie O'Reilly-Rogers - Mostly Under Control",5,"Great for road trips","We can't do screens on road trips so these were perfect. My kids (6, 3 and 3) love these.",false,"[]"
"R347FBORH6GOUO","B09VBZZ9C8","","Reviewed in the United States on April 17, 2023","April 17, 2023",1681686000,"Pineapple 1",5,"Fun!","Was looking for something unique for a recent road trip. I have three kids and this came in a three pack so I figured it would be perfect. Kids absolutely loved it BUT I would say the only drawback was the sound, especially on a road trip in a small space the sound of it got really annoying. So definitely would not be a good choice for a plane trip or church in my opinion.",false,"[]"
"R3FQYAUYO4E6JP","B09VBZZ9C8","","Reviewed in the United States on April 12, 2023","April 12, 2023",1681254000,"L",2,"Be cautious","Love these but be careful, the beads fall out. Not for a house with younger siblings or pets.",false,"[]"
"REL0WSE5120QJ","B09VBZZ9C8","","Reviewed in the United States on April 8, 2023","April 8, 2023",1680908400,"Kolby Boris",5,"Keeps kids busy","Purchased for the disneyworld lines. Kept the kods occupied",false,"[]"
"R1CB46V0SGIJ7P","B09VBZZ9C8","","Reviewed in the United States on April 5, 2023","April 5, 2023",1680649200,"Desert Rat",4,"Great time waster for the car.","Distracts the tiny humans sometimes. Need I say more?",false,"[]"
"R2NJ2AF7EPT8EX","B09VBZZ9C8","","Reviewed in the United States on March 30, 2023","March 30, 2023",1680130800,"Amazon Customer",4,"Great pack for my kids","I took these on a vacation. Great that it was a 3 pack for my kids. Small but they enjoyed them.",false,"[]"
"R29YT3921450K0","B09VBZZ9C8","","Reviewed in the United States on March 25, 2023","March 25, 2023",1679702400,"melissa",5,"Great travel toy","We took these on a plane trip and my daughter still loves to use this.It’s a great calming toy.",false,"[]"
"R1JARGOF3NPYLQ","B09VBZZ9C8","","Reviewed in the United States on February 23, 2023","February 23, 2023",1677110400,"Amazon Customer",2,"Be careful…small balls can fall out.","We enjoyed this product for about a week or so.Now it seems that the balls are falling out with just normal use. The magnetic pen can simply pull them out. We’ve managed to pop them back in each time. But seeing as how small they are, it won’t be long before we lose them. I can easily see this being very dangerous for a smaller child.",false,"[]"
"R3T2SCBWVYO7LD","B09VBZZ9C8","","Reviewed in the United States on January 4, 2023","January 4, 2023",1672790400,"Rebecca M.",5,"Entertainment for all ages.","All 3 of my kids love these. 7,4,2 years old. They also have occupied my time easily and my dad's time. They are simple, durable, and perfectly entertaining. Great car ride toy for kiddos with no mess.",false,"[]"
"R1P3HAV0TWI8EI","B09VBZZ9C8","","Reviewed in the United States on November 30, 2022","November 30, 2022",1669766400,"Brenda N.",5,"Great for fidgeting :)","They are durable and shareable, they are calming and help with focus and imagination.",false,"[]"
"R1SYV86R0OP8WF","B09VBZZ9C8","","Reviewed in the United States on November 22, 2022","November 22, 2022",1669075200,"SLaRock12",5,"Simple yet engaging","Bought this three-pack for my three kids (3,5,7) for a long drive. It was very much enjoyable for all of them. I don’t think they really designed anything with them. It was just the simplicity of having all the pegs show and then erasing them to start over. These toys were passed around to their cousins and such for fun too.",false,"[]"
