"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase","media"
"R2FB6BMWSQRVN1","B0BCVY1DHR","B0BCVY1DHR","Reviewed in the United States 🇺🇸 on June 7, 2023","June 7, 2023",1686092400,"Leslie",5,"Well made, easy to assemble.","Came in smaller box than expected. Side portions all protected by removable film. I had no trouble peeling film off. All parts were in the box, none missing, plus a couple extra screws and wing nuts. It was helpful to have two people so one could hold part in place, while he other secured it together. Not difficult, but easier with 2. Directions were clear. All finished and full of new plants!",false,"[]"
"R1A1M8RDNFWNBJ","B0BCVY1DHR","B0BCVY1DHR","Reviewed in the United States 🇺🇸 on June 7, 2023","June 7, 2023",1686092400,"SES",4,"Will most likely buy more","First of all, forget doing these in 15 minutes.My husband and I assembled four of them and the fastest we could put one together was a half hour.Definitely a two-person job.Also, a couple were slightly damaged in shipment and the corners were bent.This did take addition time and energy to have one person clamp them together while the other one did the assembly.They are sturdy and the price was right.",false,"[]"
"R3R055H7UIBNHG","B0BCVY1DHR","","Reviewed in the United States 🇺🇸 on June 4, 2023","June 4, 2023",1685833200,"Julzy",5,"Great raised garden bed!","It took some time putting it together. It's held up nicely. Highly recommend!",false,"[""https://m.media-amazon.com/images/I/91DCaBWTp4L._SL1600_.jpg"",""https://m.media-amazon.com/images/I/91iUgNh7XKL._SL1600_.jpg""]"
"ROVAGVOHQ4EX","B0BCVY1DHR","B0963PJ7SW","Reviewed in the United States 🇺🇸 on June 4, 2023","June 4, 2023",1685833200,"johnny marsh",5,"Raised Garden Planter","Awesome, came in very quickly ! Will be ready for next year !",false,"[]"
"R1RFSTCHFT033R","B0BCVY1DHR","B0963PJ7SW","Reviewed in the United States 🇺🇸 on May 29, 2023","May 29, 2023",1685314800,"Kevin-lee",1,"returned","returned",false,"[]"
"R2HG47XFYXRP8H","B0BCVY1DHR","B0BCVY1DHR","Reviewed in the United States 🇺🇸 on May 26, 2023","May 26, 2023",1685055600,"Mark Righter",4,"Bent Corners","Overall the product was fine for the price. The only complaint would be the condition from shipping. Corners on all of the panels were slightly bent. I was able to straighten before assembling.",false,"[]"
"RRZNLSCGVSKMS","B0BCVY1DHR","B0BCVY1DHR","Reviewed in the United States 🇺🇸 on May 21, 2023","May 21, 2023",1684623600,"Amazon Customer",5,"Easy to put together","Instructions were clear, great product, and easy installation. I foresee it lasting a long time!!",false,"[]"
"R1CF1LGBW5UI7T","B0BCVY1DHR","","Reviewed in the United States 🇺🇸 on May 16, 2023","May 16, 2023",1684191600,"Paul in AZ",5,"Good size and sturdy","Made of metal it should last a long time.",false,"[]"
"R2TZRQJ7HB9V6Z","B0BCVY1DHR","B0BCVVN6G3","Reviewed in the United States 🇺🇸 on May 16, 2023","May 16, 2023",1684191600,"Karran M.",5,"Good quality","Very easy to put together! Very sturdy!",false,"[""https://m.media-amazon.com/images/I/81Wun2HQcUL._SL1600_.jpg"",""https://m.media-amazon.com/images/I/81auW7HYKLL._SL1600_.jpg""]"
"R8ZH85AFRR1AC","B0BCVY1DHR","B0963PJ7SW","Reviewed in the United States 🇺🇸 on May 14, 2023","May 14, 2023",1684018800,"Dawn",5,"Very Nice, Cheap Garden Beds!","I have yet to fill them with dirt and plant my crops, but that isn't the main focus of this review. All garden beds do that, and I can't imagine there will be a big difference in how that happens, so instead I'll be talking about assembly, shipping, etc.Overall, I am a happy customer!They are exactly as described, and even look exactly like in the pictures, minus all the pretty foliage. I ordered the green ones simply for aesthetics, but I can't imagine the color of the metal changes anything. There were no issues with shipping, and both beds were delivered within the estimated time frame. (I ordered two.)Assembling these garden beds was astoundingly simple! For one thing, you don't need any heavy-duty equipment. You barely even really need a screwdriver; I just used one to tighten the bolts. But these beds are entirely assemblable by hand, which is always a huge win for me! The instructions themselves were simple and easy to follow, though if you require wording to accompany images to properly understand what is being shown, that might be a slight problem. Otherwise, everything about these beds was stream-lined, and I am quite happy!",false,"[]"
