"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase","media"
"RFY4S8EATYG3L","B0BN8BVQ2N","B0BVY4WKQN","Reviewed in the United States 🇺🇸 on March 30, 2023","March 30, 2023",1680130800,"No Names Please",5,"Hours of Fun","The doodle board is a great, low tech, non-screen-time form of entertainment for my child.The picture cards give alot of ideas and are fun to try to duplicate on the board.The magnetic pen is actually attached by a string so it makes the board easy to keep together and use in places like the car without worrying about lost parts.The only change I wish for is to have a storage area/slot on the backside of the board for the picture cards.",false,"[""https://m.media-amazon.com/images/I/81PRZVlP5bL._SL1600_.jpg"",""https://m.media-amazon.com/images/I/81R1gpRXwNL._SL1600_.jpg""]"
"R2H4Q87IBERCNW","B0BN8BVQ2N","B0BVY4WKQN","Reviewed in the United States 🇺🇸 on March 30, 2023","March 30, 2023",1680130800,"BenBTizMe",5,"Simple and Fun","This is so simple and fun for my grandkids. I know the 4 and 8 year old will love playing with this. And adults are going to love that the tiny pieces are contained! Honestly, you can't ask for more than that with a toy like this.",false,"[""https://m.media-amazon.com/images/I/61Yh3hwR8ML._SL1600_.jpg""]"
"R2WKZZUQQKBDKC","B0BN8BVQ2N","B0BVY4WKQN","Reviewed in the United States 🇺🇸 on March 28, 2023","March 28, 2023",1679958000,"tony",5,"Our grandkids love this.","Sensory toys are all the rage these days and this one did not disappoint. It’s a cute little play set and our grandkids argued over who gets to play with this one first.It seems to be put together well and it’s colorful.",false,"[]"
"R29S0HIGRP644N","B0BN8BVQ2N","B0BVY4WKQN","Reviewed in the United States 🇺🇸 on March 27, 2023","March 27, 2023",1679871600,"Ramon",5,"great toy","good toy for my patients",false,"[]"
"R1Y6T8HZ9NXZPF","B0BN8BVQ2N","B0BVY4WKQN","Reviewed in the United States 🇺🇸 on March 27, 2023","March 27, 2023",1679871600,"Tim & Samantha Ellis",5,"Toddler loves it!","My toddler loves this magnetic doodle set! It’s easy for her to play with, and I love that it’s all self contained (no messy parts to get lost)! The acrylic front does easily get scratched by the magnetic pen which is kind of a bummer, but I don’t know how this problem would be avoided while still be safe for toddler usage since acrylic easily scratches naturally. Overall, very happy with this product!",false,"[]"
"R2RLJSLAWIHTFD","B0BN8BVQ2N","B0BVY4WKQN","Reviewed in the United States 🇺🇸 on March 25, 2023","March 25, 2023",1679702400,"Nicole and Jeffrey Payne",5,"Fun a toy!","Super fun toy for those little aspiring artists who love to draw! It’s a little bit of a different take on most magnetic drawing boards but is a nice change of pace! It is pretty easy to use and our kids enjoy playing with it a ton!",false,"[]"
"R1OETJP9OM9TK4","B0BN8BVQ2N","B0BVY4WKQN","Reviewed in the United States 🇺🇸 on March 24, 2023","March 24, 2023",1679616000,"Carla",5,"Great fun for young children","My grandson loves this. He always plays with one when we go to the library and now he can play at home. The colors are bright. It is strong and sturdy for young children to play with.",false,"[]"
"R19TR2F54JTIP5","B0BN8BVQ2N","B0BN8BVQ2N","Reviewed in the United States 🇺🇸 on March 24, 2023","March 24, 2023",1679616000,"Amanda Rodgers",5,"We love these","We absolutely love these for car rides and appointments. The kids can be creative and stay occupied and there's no mess left. They are lightweight and easy to carry along with them.",false,"[]"
"R2OAE06DTL44UG","B0BN8BVQ2N","B0BVY4WKQN","Reviewed in the United States 🇺🇸 on March 24, 2023","March 24, 2023",1679616000,"Sharon hicks",5,"Great size","Love the way my daughter wants to play with this .",false,"[]"
"R2Y9OEJBH2OJF1","B0BN8BVQ2N","B0BVY4WKQN","Reviewed in the United States 🇺🇸 on March 23, 2023","March 23, 2023",1679529600,"Quitty Wit",5,"Fun Activity","I purchased this item for my daughter. Sheloves this product.The dots are sealed in the case so there are no peices to loose or makea mess. This product will keep my daughter busy during road trips. I would highly recommend this product for its quality, price, and fun factor.",false,"[""https://m.media-amazon.com/images/I/61mS4q1CXkL._SL1600_.jpg""]"
"R2I4S7MBWXW62F","B0BN8BVQ2N","B0BN8BVQ2N","Reviewed in the United States 🇺🇸 on April 24, 2023","April 24, 2023",1682290800,"T. Rivera",5,"No loose tiles, fun and imaginative","I bought this for my 3yr granddaughter to use while in the car. The colorful picture cards provided are printed on 2 sides. I don’t have to worry about loosing loose pieces and she can use her imagination to make her own pictures besides using the picture cards. It’s also great for children to use their mechanical and coordination skills.",false,"[]"
"R26A9D8E5IWFIH","B0BN8BVQ2N","B0BN8BVQ2N","Reviewed in the United States 🇺🇸 on April 20, 2023","April 20, 2023",1681945200,"Debra R.",5,"Not really for toddlers","This requires patience and control. I think age 4 and up",false,"[]"
"R1IP4E95N40STH","B0BN8BVQ2N","B0BN8BVQ2N","Reviewed in the United States 🇺🇸 on April 20, 2023","April 20, 2023",1681945200,"Beth",4,"Great condition, BUT…","It came in great condition but it was not in any protective wrap/box.",false,"[]"
"R33G58LWHJM2KS","B0BN8BVQ2N","B0BS3P6R84","Reviewed in the United States 🇺🇸 on April 18, 2023","April 18, 2023",1681772400,"blessing",5,"Nice size for 5+","Great size for bigger kids, encourages their creativity. My daughter designs what she wants most times without the cards. Love it",false,"[""https://m.media-amazon.com/images/I/71-dwrXG7eL._SL1600_.jpg"",""https://m.media-amazon.com/images/I/71Yd4YPc0eL._SL1600_.jpg""]"
"RNRIAQ4CLZXUT","B0BN8BVQ2N","B0BVY4WKQN","Reviewed in the United States 🇺🇸 on April 18, 2023","April 18, 2023",1681772400,"Billy P",4,"Nice Toy","I always like toys which help with coordination, and thinking. This can be enjoyed by various ages from one year and up. All the pieces are contained, so there is no issue with chocking, or losing the parts.",false,"[]"
"R2O0JBSI119S4Y","B0BN8BVQ2N","B0BRSLVTZQ","Reviewed in the United States 🇺🇸 on April 17, 2023","April 17, 2023",1681686000,"Avery",3,"Screen free fun","So I got this for my young kids for car/restaurant, general screen-free entertainment. It works well- magnet is strong enough to hold the pieces, self-contained. I especially like all the design cards are two-sided and store in a little slot. My only complaint is that the pieces look like M&Ms… my little one literally calls them “the candy”. This seems sturdy enough, but I would be worried about my kids eating them if it cracks or breaks open.",false,"[]"
"R2BOIB28Q5XTO1","B0BN8BVQ2N","B0BS3P6R84","Reviewed in the United States 🇺🇸 on April 14, 2023","April 14, 2023",1681426800,"Nom Nom Nom",5,"facilitate your kids creativity","My 5yrs old daughter love this toy. This toy comes with a bunch of flash cards with various art piece and my daughter and I challenge each other to duplicate the drawings. We time ourselves to see who is faster. This is a fun toy and is made for kids.",false,"[]"
"RXYAC2HUNMDZT","B0BN8BVQ2N","B0BS3P6R84","Reviewed in the United States 🇺🇸 on April 14, 2023","April 14, 2023",1681426800,"Amazon Customer",5,"Good quality","Purchased for 3 year old autistic grandson. It took him a few to get the hang of it but he enjoys playing with it. Does not make pics yet but finds it challenging and will stay focused for quite some time making straight lines",false,"[]"
"R27TBA7830PPKI","B0BN8BVQ2N","B0BS3P6R84","Reviewed in the United States 🇺🇸 on April 14, 2023","April 14, 2023",1681426800,"Kristan S",5,"Portable creativity and easy to use","The magnet board is a good activity. The attached pen is easy to access and hold. The small magnets are colorful and easy to drag and drop. The recreate pictures are fun to make too. Love that it's portable and a nice travel or restraunt activity.",false,"[""https://m.media-amazon.com/images/I/61kHCTcPlrL._SL1600_.jpg""]"
"R2VNXYEFM1HYI2","B0BN8BVQ2N","B0BVY4WKQN","Reviewed in the United States 🇺🇸 on April 12, 2023","April 12, 2023",1681254000,"THYM",5,"5 stars","The doodle board is well made and looks interesting. My daughter enjoys making her own patterns using the magnetic pen and the beads. There are 10 sheets with 20 patterns included in the package. Love the mess free magnetic doodle board concept. This board keeps my daughter occupied for hours. Love it!!!",false,"[""https://m.media-amazon.com/images/I/71ufRx5ubQL._SL1600_.jpg"",""https://m.media-amazon.com/images/I/812KnP6rk2L._SL1600_.jpg""]"
"R2V8IWJ6FVTABM","B0BN8BVQ2N","B0BN8BVQ2N","Reviewed in the United States 🇺🇸 on February 19, 2023","February 19, 2023",1676764800,"Howard G",4,"Fun toy for different age groups","This toy works well. The magnet is a good shape and size for kids to operate and place the dots where they are supposed to go. It seems this was a good toy for younger kids 3-4 because they can make their own designs and for older kids 5-9 because they can recreate the designs on the cards. The only downside is that the magnet tool is not attached and can be easily lost.",false,"[]"
"R15NUTAP56QN3F","B0BN8BVQ2N","B0BN8BVQ2N","Reviewed in the United States 🇺🇸 on February 3, 2023","February 3, 2023",1675382400,"L Wang",4,"Fun activity, few caveats","So for this you use a magnetic pen and you ""draw"" by placing the colored magnetic circles into holes. The whole thing is sealed so you don't have to worry about plastic M&M lookalike things flying everywhere. It's a fun activity once you get the hang of it. The hardest part of actually using it I think is when the dots are laying on top of each other and you're trying to get the bottom one. But the acrylic or clear plastic part flexes a little so you can press down. It comes with patterns or you can be creative and carve your own path..There are 2 issues that you should be aware of. The magnetic pen is not tethered to the rest of the toy so it can be lost. It's bright yellow but it's also not very wide. If your child is meticulous about putting stuff back together then odds are good it'll stay intact.The other is that the acrylic piece gets scratched up on use. Over time it'll get hazier and I'm not sure howmuch longer it can take toddler scrape-age and still be pleasant to look at it. It has been over a month for us though with occasional use and it looks mostly okay, but the scratches are noticeable. I'd say 8/10 condition.Overall, a fun activity that stays mostly together and the cleanup isn't painful at all. However, the scratches in the plastic screen and the fact that the magnetic pen is liable to get lost are a bit annoying. (strong fridge magnets will work though). So it gets 4 stars.",false,"[]"
"R8BRRDYST6KC7","B0BN8BVQ2N","B0BN8BVQ2N","Reviewed in the United States 🇺🇸 on January 17, 2023","January 17, 2023",1673913600,"Stacy",5,"Son loved this","This toy has entertained my son for so long now. It was tricky at first, but he was able to figure out how to move the colored circles on his own using the pen. I could see his dexterity improving in only a matter of 15 minutes. He’s also been able to practice color sorting using this toy. I love that it’s mess free and while I think it would be great on a flight, the toy itself is quite large and not sure if I would end up having room for this.My one issue with this is that I wish the pen could somehow stay connected to the board. Even if it was as simple as having a hole and I could thread a piece of string, I would be happy. That’s another reason I’m not sure if I would bring this on a flight, because of the potential to lose the pen.Besides that, it’s a great toy!",false,"[]"
"RP2XSFE979MHC","B0BN8BVQ2N","B0BN8BVQ2N","Reviewed in the United States 🇺🇸 on January 10, 2023","January 10, 2023",1673308800,"Kat",5,"Great Drawing Board for Toddlers","My daughter loves this board! It is easy to use and allows for so much creativity without a big mess! I love that there is a space for the pencil and a slot to put the pattern cards in so the kids can see the pattern and copy it! I would 100% recommend this!",false,"[]"
"R5QTBJU1OVTTW","B0BN8BVQ2N","B0BN8BVQ2N","Reviewed in the United States 🇺🇸 on January 10, 2023","January 10, 2023",1673308800,"Ekayem",5,"Fun toy, all ages like it","What a fun toy!The last 2 days it has been a source of arguments between the grand kids.They are 2, 4 and 7 so it appeals to all ages.I enjoy messing around with it too.Sturdy, it has survived being stepped on.The cover does scratch from the magnet wand but that was expected.Worth buying!",false,"[]"
"R33S9MPIN9JQXJ","B0BN8BVQ2N","B0BN8BVQ2N","Reviewed in the United States 🇺🇸 on January 6, 2023","January 6, 2023",1672963200,"jihaekor",5,"Fun little set for toddlers!","We bought this board for our 2-year-old son, and it is one of my favorites so far! While our son is not old enough to truly start to create shapes using this yet, he still found it fascinating that he could drag the magnetic beads around with the pen and started placing them around the board. It actually didn't take him as long as I thought it might to figure out the workings of the board - he was moving the beads around at will probably within the first minute. The magnet on the pen looks very strong, so even when our son was doing it, he didn't really have much of an issue holding on to them and moving them around.The board even comes with cards that have recommended patterns you can try. These will probably come in handy as he gets older, as he figures out how to follow along with them.The two minor complaints that I have with the board are: (1) I wish there was another pen included to allow two kids (or a kid and a parent) to work on this at the same time, especially given its decent size; and (2) I think the pen should have been tied to the board via some sort of a string; I am afraid it will be very easy to lose the pen as it detaches completely from the board. Especially given that both are things that you can see from the product pictures before buying, I didn't take any stars off for them.",false,"[]"
"RYS8NASXR4KOR","B0BN8BVQ2N","B0BN8BVQ2N","Reviewed in the United States 🇺🇸 on January 4, 2023","January 4, 2023",1672790400,"David",5,"Great game","An excellent game that helps develop fine motor skills and patience. The pen is used as a magnet for the beads inside the box.The game is very safe.There are tabs with pictures to copy.Recommends",false,"[]"
"R22KCX8Z05CMMA","B0BN8BVQ2N","B0BN8BVQ2N","Reviewed in the United States 🇺🇸 on January 2, 2023","January 2, 2023",1672617600,"Sofie",3,"Age range is too young","Pro: My parents have an also duplicate game to this one from 25 years ago, and my niece LOVES it. When I saw this I had to get it for her.The version my parents have allows the paper image to slide behind the screen so it operates like a paint-by-number game. She drags the appropriately colored chip to the spot on the board where it shows a dot on the image of that color you can see through the screen.Con: Too advanced for the ages shown.This is free form.It would require a child to comprehend for example a blue dot is 4 circles in, 5 circles up from the bottom, and place the dot there.Unless the child is advanced, I do not see this for younger than kindergarten. I tried it myself and was counting circles for the first few dots to get parts of the outline in the right spots before I started filling in the rest.Con: Lose Pen.While this was portrayed in the images, the pen is NOT attached to the board by a string, so I give it one time of being thrown in the toy bin for it to be lost amongst all the other toys.I'll need to buy and superglue a string to the board so it stays attached.",false,"[]"
