"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase","media"
"R18OV6WIHD2SXI","B09NR5JW8Y","B0BM622WCG","Reviewed in the United States 🇺🇸 on June 12, 2023","June 12, 2023",1686524400,"Heather",5,"Simple and efficient! Must buy!","This garden bed has been very durable this fair.It was a little tedious to assemble alone, but is rather simple if you have a screwdriver.I was able to carry it easily out to my backyard.We dug out the incline and packed dirt around it to help keep it in place.It is very deep which is great for hugelkultur-style gardening.I plan on buying another soon!I love that it's brown because it fit right in with the natural look we hope to achieve throughout our backyard.",false,"[""https://m.media-amazon.com/images/I/91YSqdTV0nL._SL1600_.jpg""]"
"R3OC2EF9PY5JZA","B09NR5JW8Y","B0BM61W2ZH","Reviewed in the United States 🇺🇸 on June 10, 2023","June 10, 2023",1686351600,"prime",5,"So far so good","Easy to put together. So far so good on sturdiness!",false,"[]"
"RRVF9LLTU3B9W","B09NR5JW8Y","","Reviewed in the United States 🇺🇸 on June 10, 2023","June 10, 2023",1686351600,"Lane Hall",4,"Sturdy and natural looking","Perfect for a small start up garden.Love the wood look and will hold up longer than wood.Was easy to put together but better with 2 people.",false,"[]"
"RM4RQ7YEAHLUI","B09NR5JW8Y","B0BM61W2ZH","Reviewed in the United States 🇺🇸 on June 7, 2023","June 7, 2023",1686092400,"Leslie S",5,"Nice raised bed","Sturdy once full of soil. Took 2 people to assemble, but not too difficult. Very attractive.",false,"[]"
"R2EVUTZ9UOUNGV","B09NR5JW8Y","B0BM615TC9","Reviewed in the United States 🇺🇸 on June 6, 2023","June 6, 2023",1686006000,"Elizabeth",5,"I like it","This is much larger than I was anticipating! It's exactly what I wanted. It takes some time to put together but it's not complicated, just a lot of nuts and bolts.",false,"[]"
"R2QMOK2PKM9YQ9","B09NR5JW8Y","B09NR47L5S","Reviewed in the United States 🇺🇸 on June 6, 2023","June 6, 2023",1686006000,"Rin O’rourke",5,"Very sturdy and doesn't warp","I needed a few discreet raised beds I could put along my back patio for my plants that my HOA wouldn't have an issue with (I have no fence) and these are perfect. Small and low to the ground, and fit perfectly on either side of my door.My one worry always with metal raised beds is I'm in Florida and everything rusts and warps. So far, even after 3 straight weeks of rain, these are holding up nicely.The bed is easy to put together by yourself, I have a back injury and this assembly was within my range of motion and pain level, and you don't have to reach for your electric screwdriver to put the bolts in place.It's good quality, affordable, has a small presence and pretty asthetic.I'm planning to buy 3 more for the other side of the patio.",false,"[""https://m.media-amazon.com/images/I/91BsAAyGcWL._SL1600_.jpg"",""https://m.media-amazon.com/images/I/91IvibdI-hL._SL1600_.jpg"",""https://m.media-amazon.com/images/I/91OpwXuunHL._SL1600_.jpg"",""https://m.media-amazon.com/images/I/91aDW6cWihL._SL1600_.jpg""]"
"R33RY3LZAGWRVU","B09NR5JW8Y","","Reviewed in the United States 🇺🇸 on June 5, 2023","June 5, 2023",1685919600,"Kindle Customer",5,"Good quality and easy to assemble","My husband and I spent maybe an hour assembling the garden bed and didn't have any trouble following the instructions. We've got it filled up now and growing our tomatoes!",false,"[]"
"R1LF9WNQLFMCNU","B09NR5JW8Y","B09NR5JW8Y","Reviewed in the United States 🇺🇸 on May 31, 2023","May 31, 2023",1685487600,"Amazon Customer",4,"Need 2 women or 1 strong young man.","This went together as directions are excellent and follow a progression to assemble.I did enlist a young man to help, and he did it under the projected time.Once assembled they are quite good sized.",false,"[]"
"RNVR6BM37H7WV","B09NR5JW8Y","","Reviewed in the United States 🇺🇸 on May 31, 2023","May 31, 2023",1685487600,"Austin",5,"Beds look good and are easy to assemble!","Love these beds! We bought 2 beds and were able to assemble them quickly. So far this season have held together well filled and currently growing many vegetables. Love how look and blend with the backyard.",false,"[]"
"RALYWRAEAWB3B","B09NR5JW8Y","","Reviewed in the United States 🇺🇸 on May 30, 2023","May 30, 2023",1685401200,"Carmala King",5,"Ease of install","I absolutely love this raised garden bed. It was easy to install and looks fabulous! Great value for the cost",false,"[""https://m.media-amazon.com/images/I/712-Hki4rcL._SL1600_.jpg""]"
