"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase","media"
"R1L7RY2WFT473C","B07VJHYKDH","B07DFH45KG","Reviewed in the United States 🇺🇸 on May 28, 2022","May 28, 2022",1653692400,"Lara",5,"Great for travel","I recently purchased this to keep my 15 month old occupied during a plane ride. It was a new toy for him since I did not show it to him until we went on vacation, so he did not get bored with it. It kept him occupied in the hotel and restaurants. It's been a few weeks, and he still plays with it. That is a big plus since this helps stimulate his imagination and increases our bonding time.The only negative were the small pieces it came with. But I just stored them away, so nothing hazardous for him to swallow.The board is lightweight for him to drag/carry around and small enough that I was able store it in his diaper bag with tons of room to spare.I highly recommend this.",false,"[]"
"R3689DAIC3PNWB","B07VJHYKDH","B07DF95W58","Reviewed in the United States 🇺🇸 on May 23, 2022","May 23, 2022",1653260400,"M White",5,"Great toy","Great in the car for my granddaughter. She loves the colors and shapes. I was looking for something she could do besides stare at a screen and this is a alternative for now.",false,"[]"
"R108R50E1AEL05","B07VJHYKDH","B07DF95W58","Reviewed in the United States 🇺🇸 on May 11, 2022","May 11, 2022",1652223600,"J",5,"Such a great toy","I bought this for my 15mo granddaughter for her Easter basket and this has been by far her favorite toy. She can carry it easily anywhere with her and she loves to draw. She can do the flower attachments and can erase easily. I cant believe out of all the expensive toys she has this toy that is a great price she loves it so much. I would definitely recommend. It is so lightweight and very durable. So cute!",false,"[]"
"R142Y2JKQ0KJ57","B07VJHYKDH","B07DF95W58","Reviewed in the United States 🇺🇸 on April 13, 2022","April 13, 2022",1649804400,"Kristin Thompson",3,"Nice to travel with","Product serves its purpose.",false,"[]"
"RE46HZ9X3UQI","B07VJHYKDH","B07DFH45KG","Reviewed in the United States 🇺🇸 on April 7, 2022","April 7, 2022",1649286000,"Amazon Customer",2,"Poor quality","It’s light but not durable and can easily break… Very poor quality…",false,"[]"
"R3EHIQNZS6I8A5","B07VJHYKDH","B07DFH45KG","Reviewed in the United States 🇺🇸 on April 3, 2022","April 3, 2022",1648940400,"Gem Rummie",5,"Christmas present","This was a Christmas present.He loved it!I picked the blue one.Still using it so it is durable.",false,"[]"
"R1Y6C8BNOEKUA0","B07VJHYKDH","B07VJHYKDH","Reviewed in the United States 🇺🇸 on March 20, 2022","March 20, 2022",1647734400,"Miya Clark",5,"Cute","My 4 year old loves it!",false,"[]"
"R1S65RYJYFH6OD","B07VJHYKDH","B07DF95W58","Reviewed in the United States 🇺🇸 on March 17, 2022","March 17, 2022",1647475200,"Amazon Customer",5,"Priced right","Bought this to keep my kids entertained on a six hour flight. Picked this one because it was priced right so I wouldn't care if it got lost or broken in transit, and it was small enough to put in the diaper bag.",false,"[]"
"R1XHX39ROIVR9A","B07VJHYKDH","B07VJHYKDH","Reviewed in the United States 🇺🇸 on March 12, 2022","March 12, 2022",1647043200,"Amazon Customer",5,"Love the different colors.","Bought this as a gift for my granddaughter. I love the big magnets and the colors in the drawing pad.",false,"[]"
"R3898I5SRJ6M9C","B07VJHYKDH","B07VJHYKDH","Reviewed in the United States 🇺🇸 on March 10, 2022","March 10, 2022",1646870400,"Susan L Chappelear",5,"The perfect distraction","My 6 year old wanted it got his birthday after using a little one at occupational therapy.It’s perfect and he loves it",false,"[]"
"R26IX172RT9ZMS","B07VJHYKDH","B07DFH45KG","Reviewed in the United States 🇺🇸 on April 10, 2023","April 10, 2023",1681081200,"Shai",5,"So cute","My son is one and he instantly started scribing!",false,"[]"
"RHHXWK8R2CVPU","B07VJHYKDH","B07DFH45KG","Reviewed in the United States 🇺🇸 on February 24, 2023","February 24, 2023",1677196800,"Samantha",5,"Good for the price","Sparkle,that beautiful menace,brought this to us. It's held up well. The pieces click hard in the side so they aren't falling out. Good for the price!",false,"[""https://m.media-amazon.com/images/I/81ptUAbnbUL._SL1600_.jpg""]"
"R33U1YYZ0V0LM9","B07VJHYKDH","B07DF95W58","Reviewed in the United States 🇺🇸 on February 19, 2023","February 19, 2023",1676764800,"Roberta L Waite",1,"Very flimsy not worth cost","Not worth cost, very flimsy",false,"[]"
"R3J4YSKHVCXABC","B07VJHYKDH","B07DFH45KG","Reviewed in the United States 🇺🇸 on February 13, 2023","February 13, 2023",1676246400,"Susan C.",4,"A little bigger than I wanted","I wanted a travel size I could put in my medium size purse to use at important event that my 5 yr old grandson needed to attend but might get bored. He just recently started drawing a lot. It’s too big to take into this event.",false,"[]"
"RT1TVS9QL1LL","B07VJHYKDH","B07DF95W58","Reviewed in the United States 🇺🇸 on January 20, 2023","January 20, 2023",1674172800,"Nick D",2,"Doesn’t last","I got this for traveling and it was great for my daughter for several trips. However, after a year or two of use the screen is beat up (understandable) and the small magnet piece came out of the pen and I don’t know if my kid could’ve swallowed it or what! Concerned about that part and wanted to make others aware",false,"[""https://m.media-amazon.com/images/I/71Qc6qFEYmL._SL1600_.jpg""]"
"R6RGI0M4YTS9X","B07VJHYKDH","B07DF95W58","Reviewed in the United States 🇺🇸 on January 19, 2023","January 19, 2023",1674086400,"Steve",5,"A gift that wasn’t returned!","My granddaughter’s happy, so, I’m happy. Quality is fine. The drawing ’pencil’ is a bit hard to get out. Cure…we leave it out.",false,"[]"
"RDZKNYJ8GVLRD","B07VJHYKDH","B07DFH45KG","Reviewed in the United States 🇺🇸 on January 7, 2023","January 7, 2023",1673049600,"Stephanie",3,"Good size and nice toy, but not durable","This product was a good size for traveling. I liked the two stamps that stuck into the item so we didn’t lose them. However, a book was thrown on top of it and it broke so we only used it a handful of times.",false,"[]"
"R3ITFBERFXPCZ8","B07VJHYKDH","B07DFH45KG","Reviewed in the United States 🇺🇸 on October 24, 2022","October 24, 2022",1666566000,"Amazon Customer",5,"Exactly as expected.","Worked great for travel with toddler.",false,"[]"
"R2AHTPMIXH66B7","B07VJHYKDH","B07DF95W58","Reviewed in the United States 🇺🇸 on October 18, 2022","October 18, 2022",1666047600,"donnak",5,"Perfect for on the go","Granddaughter first drawing board.",false,"[]"
"R1LPRRTHY83MZM","B07VJHYKDH","B07DFH45KG","Reviewed in the United States 🇺🇸 on October 9, 2022","October 9, 2022",1665270000,"Tina Brownlow",5,"Great gift for a tot","Great gift",false,"[]"
"R1AAYIYMVD0Z57","B07VJHYKDH","B07DF95W58","Reviewed in the United States on September 27, 2022","September 27, 2022",1664233200,"Scarleth",3,"Le gusto mucho ami hija","Se entretiene mucho",false,"[]"
"R2HPNSG22VFTNS","B07VJHYKDH","B07DF95W58","Reviewed in the United States on September 10, 2022","September 10, 2022",1662764400,"LeAnn Molle",5,"Great product","They keep the little kids occupied and entertained for long periods.",false,"[]"
"R230IPI45TMLUJ","B07VJHYKDH","B07DFH45KG","Reviewed in the United States on August 28, 2022","August 28, 2022",1661641200,"Piddles",4,"Good for the price","Great for the price - but colors are NOT separated as shown - they’re all mixed whether drawing or using stamps - example: upper left corner is not blue when writing or stamping",false,"[]"
"R1L1N8F7QFVBLS","B07VJHYKDH","B07DF95W58","Reviewed in the United States on August 22, 2022","August 22, 2022",1661122800,"Tina SperandeoBerggren",5,"Cute","My 3 y.o. Granddaughter loves hers.",false,"[]"
"R3LCGW7RDYVPP7","B07VJHYKDH","B07DF95W58","Reviewed in the United States on August 19, 2022","August 19, 2022",1660863600,"Makayla Hall",5,"Buy it!","My two and three year old love this toy. Great birthday gift idea! Great for travel!",false,"[]"
"R1O3KLL49P6G3O","B07VJHYKDH","B07DFH45KG","Reviewed in the United States on August 12, 2022","August 12, 2022",1660258800,"J. B. Alper",5,"Great Toy","Theyr old and the 1 yr old both love it",false,"[]"
"RYQ6YTAJTZZLI","B07VJHYKDH","B07DFH45KG","Reviewed in the United States on July 13, 2022","July 13, 2022",1657666800,"Ellie",5,"My kids love these","I was tired of my kids fighting over an old one we had so I bought them both one of these. My 7 and 2 year old love them!! No complaints. Perfect size and price.",false,"[]"
"R3JQT3WIAV6IH2","B07VJHYKDH","B07DFH45KG","Reviewed in the United States on July 1, 2022","July 1, 2022",1656630000,"Kate Myers",1,"It definitely isn’t blue","It’s purple : /",false,"[]"
"R2F6SK320YUZHT","B07VJHYKDH","B07DF95W58","Reviewed in the United States on June 20, 2022","June 20, 2022",1655679600,"Adele",5,"1 & 1/2 yr old loves it!","My 1 1/2 year old granddaughter was entertained with this toy on a 5 hour flight and played with it a lot. It's lightweight and small, so it's easy to carry along in car and plane, and that's what we needed it for. Happy with this purchase. I don't expect it to last a long time though because the plastic is pretty flimsy, but the price was not expensive considering the enjoyment she gets out of it.It was delivered quickly.",false,"[]"
"R2ZWC1GUAY8B7G","B07VJHYKDH","B07DF95W58","Reviewed in the United States on June 12, 2022","June 12, 2022",1654988400,"S.Hody",3,"Flimsy","Bought this for traveling so my daughter has something to do. It's small for travel size which I like, but the magnets aren't dark so it's very hard to see what you're drawing and the magnets pull too closely so it becomes blurry. It's definitely light weight and could easily break if stepped on. Not really sure I'd gift this to anyone. Kinda disappointed in this picture tbh.",false,"[]"
"R1H8QB44BO5Q8P","B07VJHYKDH","B07DF95W58","Reviewed in the United States on January 15, 2022","January 15, 2022",1642204800,"Tee",5,"Works fine","My baby likes to write so it’s works and my books are free and same now .",false,"[]"
"R1AJ5QPOXOKKRP","B07VJHYKDH","B07DF95W58","Reviewed in the United States on December 31, 2021","December 31, 2021",1640908800,"Christy’s ",4,"It works","It’s just feels cheaply made. But it works for the need. The kid loved it, that’s all that matters.",false,"[]"
"R7A6QML9GWK99","B07VJHYKDH","B07DFH45KG","Reviewed in the United States on December 7, 2021","December 7, 2021",1638835200,"Tasha",1,"Disappointed.......Fades very quickly","It's not what I expected. The colors are not bright and fades away as you are writing or drawing so there's no need to erase your work because it's already disappearing as your LO is being creative. Disappointed!",false,"[]"
"RE2HNZQ2KMNT6","B07VJHYKDH","B07DFH45KG","Reviewed in the United States on November 30, 2021","November 30, 2021",1638230400,"Arline",5,"I kids island Travel size","My one year old great granddaughter loves it. She carries it around with her all the time when she is here. Her 3 year old sister likes it a lot because it has different colors in it.",false,"[]"
"R2SKKJDLRSH9NL","B07VJHYKDH","B07DFH45KG","Reviewed in the United States on October 25, 2021","October 25, 2021",1635116400,"KLark",1,"Buyer beware! Pen tip comes out","The tip of the writing utensil has been lost! The first time I ran a magnetic block over the floor & thankfully found it and thought it was stuck back in pretty good. Unfortunately, it’s come out again and the tip is nowhere to be found!",false,"[""https://m.media-amazon.com/images/I/71k9gOvFkXL._SL1600_.jpg""]"
"RWL7D696ESF68","B07VJHYKDH","B07DFH45KG","Reviewed in the United States on October 7, 2021","October 7, 2021",1633561200,"calico",5,"It helps autistic children .","My 2 year old autistic granddaughter is learning to write numbers and letters.",false,"[]"
"R1X8P0J0YZ1ZSK","B07VJHYKDH","B07DFH45KG","Reviewed in the United States on August 13, 2021","August 13, 2021",1628809200,"Margaret taylor",5,"Hi","My greatgrandson loves to draw and doodle. He loves it.",false,"[]"
"RA8ZB4ZXTHJ5D","B07VJHYKDH","B07DFH45KG","Reviewed in the United States on July 4, 2021","July 4, 2021",1625353200,"Maria Giomi",5,"Enjoyable","Perfect for traveling and no noise. I loved that the magnets if on the pad and not just seem like extra pieces",false,"[]"
"R2ILAOSN51Y82E","B07VJHYKDH","B07DFH45KG","Reviewed in the United States on July 4, 2021","July 4, 2021",1625353200,"Kyle Clark",4,"Kids love them","Kids love them,plenty. Of oom to draw and spell.",false,"[]"
"R1PQD1CPK6PU9U","B07VJHYKDH","B07DF95W58","Reviewed in the United States on May 15, 2021","May 15, 2021",1621033200,"Kris LaBrake",1,"Not what I expected","Wasn’t what I expected.Not pleasedI am returning it!",false,"[]"
"R8WX192SHYBKV","B07VJHYKDH","B07DF95W58","Reviewed in the United States 🇺🇸 on May 11, 2021","May 11, 2021",1620687600,"Jo",5,"Easy to use!","My Granddaughter loves it!She is only 2 and works it like a pro!!!",false,"[]"
"R2EIDHZKGOFOZR","B07VJHYKDH","B07VJHYKDH","Reviewed in the United States 🇺🇸 on May 6, 2021","May 6, 2021",1620255600,"JP",3,"Great quality for price!","Really good quality for price but! 3+ is for good reason.If you have annoying toddlers (age 2) that wants to step on them they might break. Orgets frustrated easily- the string on the pen constantly gets stuck on the little ribs or grooves on the side. It’s not something you find frustrating until it happens to you, and you toddler twins are screaming non stop and yelling “help! Help heeeeeeeeeeeelp!” It does say age 3 and up. So definite yes for older kids!",false,"[]"
"RNPYKDS17YVMR","B07VJHYKDH","B07DFH45KG","Reviewed in the United States 🇺🇸 on May 4, 2021","May 4, 2021",1620082800,"Jenny R",5,"It works!","The kids love it. Enough said!",false,"[]"
"R1E9L8A2JN7I5X","B07VJHYKDH","B07DFH45KG","Reviewed in the United States 🇺🇸 on April 28, 2021","April 28, 2021",1619564400,"joe",5,"Nice product","Great for the grandkids",false,"[]"
"R16D9L881RTL4S","B07VJHYKDH","B07DFH45KG","Reviewed in the United States 🇺🇸 on April 21, 2021","April 21, 2021",1618959600,"Amazon Customer",5,"Magnetic Drawing","We love it. My3 yr oldgrandson plays with it all the time. We call it the magna doodle. It goes on trips and to church. Keeps him occupied!",false,"[]"
"R1Y5JAZDTJHQ9Q","B07VJHYKDH","B07DF95W58","Reviewed in the United States 🇺🇸 on April 4, 2021","April 4, 2021",1617490800,"rjteague",5,"Perfect car trip aid","Just what I was looking for to help a 3 year old manage 5 day car trip. Easy, just her level.",false,"[]"
"RNOJF3CIWLWP","B07VJHYKDH","B07DFH45KG","Reviewed in the United States 🇺🇸 on March 5, 2021","March 5, 2021",1614902400,"Shirley",5,"Satisfied","I really like the light weight for taking different places.Bought for my granddaughter and she seems to tea like it!",false,"[]"
"R1D04M88IIV6OQ","B07VJHYKDH","B07DF95W58","Reviewed in the United States 🇺🇸 on February 20, 2021","February 20, 2021",1613779200,"annderine h.",5,"Fun toy","Fun toy, my child loves it",false,"[]"
"R3SMCOIAZK9WGE","B07VJHYKDH","B07DFH45KG","Reviewed in the United States 🇺🇸 on February 17, 2021","February 17, 2021",1613520000,"Tina Holden",4,"Great for a 2 yo!","I did alot of reviews on this type of product and they were all about the same. So i honestly just picked one.This has been great for my 2 year old. He loves that it's big and the attached pen has a long string. He also likes the 4 colors. It seems to erase fine. Sometimes you might have to run it through 2x but my 2yo could care less.",false,"[""https://images-na.ssl-images-amazon.com/images/I/C1CMFnoKFxS._SL1600_.jpg""]"
"R3VBG4NVDYM6KY","B07VJHYKDH","B07VJHYKDH","Reviewed in the United States 🇺🇸 on January 17, 2021","January 17, 2021",1610841600,"MyOhMy",4,"Great for travel","When a new generation of kids started coming along, I thought I'd just send ""educational"" toys unless they had a specific interest. Shot down in flames! This ""could"" be considered educational since they've just started their letters and it does keep the kids entertained (which is way more important than what they are learning sometimes). It works well. We've purchased additional ones for the other kids (everyone MUST have their own). and it's particularly perfect for a long plane or car ride. Not sure what the little darlings are pondering when they are so quiet but they keep doodling on this so it's all good.",false,"[]"
"R2ONZOKJ1KT45","B07VJHYKDH","B07DFH45KG","Reviewed in the United States on January 17, 2021","January 17, 2021",1610841600,"Fatou j Bolivar",5,"It’s very potable for kid","Light weight",false,"[]"
"RY8EPCLCI9P03","B07VJHYKDH","B07DF95W58","Reviewed in the United States on January 6, 2021","January 6, 2021",1609891200,"Nikkid1019",3,"I feel like this is made cheaply","I feel like this is madecheaply your work but I wouldn’t buy it again",false,"[]"
"R1WDBNW9T60CFV","B07VJHYKDH","B07DFH45KG","Reviewed in the United States on January 3, 2021","January 3, 2021",1609632000,"vincent",2,"Nice idea but cheaply made","Item is a great idea but made very cheap. Warranty page doesnt even work,so couldnt register for it.",false,"[]"
"R39N0KCN6NU4PC","B07VJHYKDH","B07DFH45KG","Reviewed in the United States on December 31, 2020","December 31, 2020",1609372800,"Anne-Marie Malone",5,"Great gift","My two year old niece loves it.",false,"[]"
"R131T7RG0YRUK7","B07VJHYKDH","B07DFH45KG","Reviewed in the United States on December 23, 2020","December 23, 2020",1608681600,"Lois Perkins",5,"Education","Kid friendly for traveling",false,"[]"
"R341PIRP19L7CM","B07VJHYKDH","B07DFH45KG","Reviewed in the United States on December 23, 2020","December 23, 2020",1608681600,"SreeHarsha Rekhana",3,"Good to buy if ur toddler is not harsh on it 😊","The pen should have been a soft point instead of a metal one... my toddler kept holes on this the very first day and it’s gone...",false,"[]"
"R33QSMAIHZMIN2","B07VJHYKDH","B07DF95W58","Reviewed in the United States on December 22, 2020","December 22, 2020",1608595200,"MariMag",2,"Not what I expected","Not too happy with this product, very cheaply made for the price. Expected better quality.",false,"[]"
"R3W0P3ZZZP73YM","B07VJHYKDH","B07DFH45KG","Reviewed in the United States on December 20, 2020","December 20, 2020",1608422400,"Ann Shepherd",4,"Grandkids enjoy them","My grandkids loved them play with them all the time",false,"[]"
"R1BUAF7TY3DOYA","B07VJHYKDH","B07DFH45KG","Reviewed in the United States on December 17, 2020","December 17, 2020",1608163200,"Ms. S",5,"Great toy!","I’m super pleased with this toy! It’s really fun to write on, nice and smooth, easy for toddlers to draw pictures! My kids love the little stamps and the different colors. It’s held up really well to rough play, being swung around by the string, stood on, etc. A month later they’re still in great shape and erasing cleanly. Definitely a good deal for the price!",false,"[]"
"RXR1G5CECLNCZ","B07VJHYKDH","B07DFH45KG","Reviewed in the United States on December 14, 2020","December 14, 2020",1607904000,"fazle",1,"Broke very quickly","This was really nice while it lasted but it didn't last very long at all unfortunately. The magnet in the pen broke off after just a few weeks.",false,"[]"
"R1I2I39C81XYGQ","B07VJHYKDH","B07DF95W58","Reviewed in the United States on August 14, 2020","August 14, 2020",1597359600,"Jose F.",5,"Great product","Love it so far. Great distraction and learning tool for my 20mo twins. Very light yet non breakable. Twins have tossed it a few times but it’s still holding and they love to scribble :)",false,"[]"
