"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase","media"
"R2PW7X9RVFTMN0","B085GKQGKQ","B08D9TY12S","Reviewed in the United States 🇺🇸 on March 26, 2023","March 26, 2023",1679788800,"Adksmom",5,"Buy!","These worked great.",false,"[]"
"R3ILDYFOLCMPQJ","B085GKQGKQ","B085GKQGKQ","Reviewed in the United States 🇺🇸 on February 16, 2023","February 16, 2023",1676505600,"K. Brame",5,"Love these little guys!","There’s even a bag to store them in!",false,"[]"
"RKMTNXCN05WOL","B085GKQGKQ","B085GKQGKQ","Reviewed in the United States 🇺🇸 on February 10, 2023","February 10, 2023",1675987200,"Amazon Customer",5,"Perfect!","These were perfect for roasting marshmallows! I didn’t realize they extended when I purchase, so that was a nice surprise. My 4 and 5 year olds were able to use them, so win!",false,"[]"
"R2DHLOXP4AZCCG","B085GKQGKQ","B085GKQGKQ","Reviewed in the United States 🇺🇸 on February 1, 2023","February 1, 2023",1675209600,"Kindle Customer",5,"Perfect for S'mores","These are perfect for S'mores.The passel of grandkids love these.I love the colored handles so everyone knows ""their color"" because is very important to have your own!Once extended it remains sturdy for marshmallows.I haven't tried hot dogs yet, but since hot dogs are heavier than marshmallows, I think the extended forks would sag a little, but still be usable.Love these forks.The adults love them too!",false,"[]"
"RF14P30VDOO7F","B085GKQGKQ","B085GKQGKQ","Reviewed in the United States 🇺🇸 on January 31, 2023","January 31, 2023",1675123200,"Jordon",5,"Camp hit!","The kids love these! Easy to remember whose is whose and not share germs with fellow neighbor camper ! Great buy!",false,"[]"
"R2HZDLPK2BRAC8","B085GKQGKQ","B085GKQGKQ","Reviewed in the United States 🇺🇸 on January 20, 2023","January 20, 2023",1674172800,"DALE REESE",5,"Cookout","Need horsepower no not really cooking made easy",false,"[]"
"R16KK5OFAZRP6F","B085GKQGKQ","B085GKQGKQ","Reviewed in the United States 🇺🇸 on January 16, 2023","January 16, 2023",1673827200,"kathy",5,"Love these!","Affordable and well made!",false,"[]"
"R27M3CA6KAZ2DL","B085GKQGKQ","B085GKQGKQ","Reviewed in the United States 🇺🇸 on January 13, 2023","January 13, 2023",1673568000,"Kenna",5,"Great for Camping","We use these every time we go camping . They are easy to use and clean . Great for roasting marshmallows!",false,"[]"
"RXTIS42XOCWAG","B085GKQGKQ","B085GKQGKQ","Reviewed in the United States 🇺🇸 on January 12, 2023","January 12, 2023",1673481600,"Julie Long",1,"Appeared to be used already","I didn’t get to use the product as one of the 8 sticks arrived dirty with sticky residue on it. It appears to have already been used. Disappointing!Otherwise the product seems as if they will work well.",false,"[""https://m.media-amazon.com/images/I/513MzfoFGgL._SL1600_.jpg"",""https://m.media-amazon.com/images/I/51pvFZsOZhL._SL1600_.jpg""]"
"RB7YNP8GW1TT8","B085GKQGKQ","B085GKQGKQ","Reviewed in the United States 🇺🇸 on December 29, 2022","December 29, 2022",1672272000,"Rhianna Clemons",5,"Great bargain","Cute, easy to clean, several colors.. multi usage",false,"[]"
