"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase","media"
"R2WFPQW2U6HQH4","B0BL6MR1KN","B0BNHD4X1R","Reviewed in the United States on June 5, 2023","June 5, 2023",1685919600,"Amazon Customer",5,"good value","Great raised bed for potatoes",false,"[]"
"R1IK8OWMFOXOUH","B0BL6MR1KN","B0BNWYBGSJ","Reviewed in the United States on May 27, 2023","May 27, 2023",1685142000,"Drew",5,"Wash with vinegar prior to prime and paint to remove sheen and adhere primer.","Went to Sherwin-Williams to get the correct primer for these galvanized containers. Once primed I was able to paint. Make certain to wash with vinegar water to remove sheen from galvanized metal before priming. Sherwin-Williams will know which primer and paint to buy",false,"[]"
"R3W09SZ4S2BKN1","B0BL6MR1KN","B0BL6MR1KN","Reviewed in the United States on May 19, 2023","May 19, 2023",1684450800,"DH",5,"Very Sturdy","Phew - lots of screws and bolts.Takes a little time putting one of these together - purchased four.They are very sturdy!The bolt have rust, but seem to be holding up so far.",false,"[]"
"R1TFB0A1F1Q4LQ","B0BL6MR1KN","B0BNHD4X1R","Reviewed in the United States on May 18, 2023","May 18, 2023",1684364400,"americanrose2",5,"Love these metal raised garden beds!","Using these raised planters for our tomato plants.Much better than the wooden ones we used in the past.Insects and warping are not a problem now.We also have the one-foot-deep oblong metal planters, but these will work for plants that need deep rooting.Excellent product and shipping.",false,"[]"
"R2OJGLN239J4VW","B0BL6MR1KN","B0BNHD4X1R","Reviewed in the United States on May 15, 2023","May 15, 2023",1684105200,"Kerri ",5,"Easy to assemble! Great addition to our above ground garden space!","Easy to put together! All the tools were provided!",false,"[]"
"R3AGC2SXJWMTPO","B0BL6MR1KN","B0BLRXZR4X","Reviewed in the United States on May 14, 2023","May 14, 2023",1684018800,"MrVenomous",5,"Love my little urban garden","Kinda hard to put together and there’s a million and two screws for it but it works well and everyone is super impressed with the set up 👌",false,"[""https://m.media-amazon.com/images/I/81dzj7x-9YL._SL1600_.jpg""]"
"R3HH1824R5VJLI","B0BL6MR1KN","B0BNHD4X1R","Reviewed in the United States on April 22, 2023","April 22, 2023",1682118000,"Kristina",5,"Best metal raised beds ever!!!","I have several brands of metal raised beds some tall some short etc. These are by far the thickest metal and sturdiest. I am sure they are going to last the longest. Worth every single penny. No regrets at all. And each edge is crimped so not razor sharp. You will not be disappointed.",false,"[]"
"R13T2A78A218IW","B0BL6MR1KN","B0BLRXZR4X","Reviewed in the United States on April 21, 2023","April 21, 2023",1682031600,"Lou2k7",5,"Nice, study, good customer service","Ordered a few of these. There was a problem with a set of corners on one of them. Contacted them on a sat. Send a couple photos. They replied on the weekend and send replacements quickly.Like others mentioned.A lot of screws and nuts. Thank goodness someone created the electric screwdriver.Seem very well made. Study, and big. Just have to figure out placement and I will update with photos.But i would buy a couple more if i had space. I think it will be a plus not having to bend over as far. I'm getting old.",false,"[]"
"R3G02G3PA4FOOZ","B0BL6MR1KN","B0BL6MR1KN","Reviewed in the United States on April 14, 2023","April 14, 2023",1681426800,"Paula Mullins",3,"Will keep","Biggest reason I purchased this was for the 2’ depth, it’s actually 19”.Kinda disappointed but I’m going to keep 🧑🏻‍🌾",false,"[]"
"R2W3XFXSWL2CAT","B0BL6MR1KN","B0BL6MR1KN","Reviewed in the United States on April 6, 2023","April 6, 2023",1680735600,"rich",4,"Shipping box","Shipping box had a hole chewed in it inside was mice droppings bag with screws and nuts was chewed open. Other than that satisfied with item",false,"[]"
