"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase","media"
"R4BZUVS2UW04N","B0BHS5VPCZ","B0BHS76JCH","Reviewed in the United States on June 9, 2023","June 9, 2023",1686265200,"B White ",5,"Love!!","I bought three of these for this year. One galvanized and two brown. These are simple to assemble and I love that they have support brackets inside to keep the sides from bowing. I’ve only had them up for a month and a half but so far they are holding up great! I filled the bottom with twigs, leaves, grass clippings, peat moss, and straw so I wouldn’t have to purchase so much soil. Then I did a mixture of topsoil and raised bed potting mix for the top. I did about a foot of soil and the rest was compost. So far it’s working out great! My plants are growing larger than ever this year! Now if only I could keep out the dang squirrels!!",false,"[""https://m.media-amazon.com/images/I/91B1VoCV6UL._SL1600_.jpg""]"
"R3T52242TJ9UCK","B0BHS5VPCZ","B0BHS6YL2F","Reviewed in the United States on June 4, 2023","June 4, 2023",1685833200,"PXYaj",5,"Just what I was looking for!","No regrets buying these!Exactly what I needed!Our native dirt is clay-dirt hard where nothing grows (as you can see in the photos). Easy to put together. Took 45 min to build each. Did hugelkultur to save a bit of money on raised bed garden soil. Happy to say my garden is now thriving. Can’t wait to harvest!!",false,"[""https://m.media-amazon.com/images/I/915Vi37ueqL._SL1600_.jpg"",""https://m.media-amazon.com/images/I/91LNNnUQTzL._SL1600_.jpg"",""https://m.media-amazon.com/images/I/91LmfIxvWxL._SL1600_.jpg"",""https://m.media-amazon.com/images/I/91gJ79Pd-rL._SL1600_.jpg"",""https://m.media-amazon.com/images/I/91gtwpQNYrL._SL1600_.jpg"",""https://m.media-amazon.com/images/I/91o6cfviGOL._SL1600_.jpg"",""https://m.media-amazon.com/images/I/91vX8E1gwpL._SL1600_.jpg""]"
"R2MWP1NRTA4WOO","B0BHS5VPCZ","B0BHS76QQ2","Reviewed in the United States on June 2, 2023","June 2, 2023",1685660400,"penny van eck",2,"poor quality","My husband is a mechanic and very handy. We struggled for over 2 hours to put this together. I do not recommend this product.",false,"[]"
"RAKEDMNID8ONI","B0BHS5VPCZ","B0BHS7ZL4D","Reviewed in the United States on May 31, 2023","May 31, 2023",1685487600,"Kayla Curry",5,"Beautiful garden boxes","Not only are they beautiful, they were very easy to assemble.They seem pretty sturdy. Hopefully, they will last many years!",false,"[""https://m.media-amazon.com/images/I/814HtKuL3OL._SL1600_.jpg""]"
"R37IAO7VB4XOT2","B0BHS5VPCZ","B0BHS69DFR","Reviewed in the United States on May 31, 2023","May 31, 2023",1685487600,"kristen Wilson",5,"Very nice","Easy to put together :) looks great !!!",false,"[]"
"RBM9VEP6QOBR3","B0BHS5VPCZ","B0BHS7BLFG","Reviewed in the United States on May 29, 2023","May 29, 2023",1685314800,"Adji",5,"Excellent product","I bought 2 of them, they were easy to put together. They look nice and are very sturdy. Very worth the price.",false,"[""https://m.media-amazon.com/images/I/8139w-qoNLL._SL1600_.jpg"",""https://m.media-amazon.com/images/I/81dJ0ge8egL._SL1600_.jpg""]"
"R3EWEGX1LXIYGB","B0BHS5VPCZ","B0BHS8PKL7","Reviewed in the United States on May 19, 2023","May 19, 2023",1684450800,"TobycW",3,"OK","Materials are OK.The walls are not super thick so really need the crossbracing.There are a lot of wall pieces so a lot of bolts/wingnuts needed.Still, it's a decent product.PROS:Easy but tedious setupAll parts included including a few extra bolts/wingnutsNicely finished green colorCONS:Small panels mean more piecesNot very thickCrossbraces needed but not very sturdyNot inexpensiveUpdate:Full disclosure.Seller is apparently not happy with my review.Tried contacting by email and somehow got my personal cell phone number.I would not be surprised by review tampering so beware.",false,"[]"
"R2BSVVT3RHDA6T","B0BHS5VPCZ","B0BHS76QQ2","Reviewed in the United States on May 19, 2023","May 19, 2023",1684450800,"AskTheNerd",4,"Fine Containers, but Difficult Assembly","I just finished assembling the second one of these (6x3x2) planters. The first one took four hours. I was hopeful that the second would go faster, but it was still about the same time. I did both of them by myself. In the reviews people speak of holes not aligning. In general they don’t. Most of the problems are with side panels that become somewhat flattened during shipping. I found that if you do the top and bottom screws first, then the middle, that the rest will slip right in. Now, it’s not always trivial to get the top and bottom done and someone to help would make it much easier, but it can be done! Just a note, they give you gloves, but you really can’t wear them while you install screws and the unfinished edges are really sharp! (Yes, I did manage to cut myself!)The other thing that I would like to point out is that the assembled containers are very large and that they require a huge amount of solid material to fill them. I’m talking about 30 cubic feet or so! At typical prices you should figure more than $100 worth of filler, each! (Maybe more!)The finished product is attractive and very functional and I can recommend them, but be warned about the assembly and the cost of filling them.",false,"[]"
"R2XGBG7M2KGPZ1","B0BHS5VPCZ","B0BHS8DB27","Reviewed in the United States on May 10, 2023","May 10, 2023",1683673200,"Bonnie",5,"Large raised bed","This bed is bigger than expected, but I'm pleased. In the background you can see the smaller bed I ordered earlier. It was smaller than expected, so that's why I ordered the larger one. Both were easy to assemble. I was able to assemble them alone. However, that said the larger one does come with instructions that I should have paid closer attention to.It comes with two different sizes of bolts, which I discovered after having it partially finished. I had replace thebolts I'd used, but that was my error. I'm very excited to begin gardening. I would definitely buy these again.",false,"[""https://m.media-amazon.com/images/I/911mYi7YDEL._SL1600_.jpg"",""https://m.media-amazon.com/images/I/91y-iPEUhqL._SL1600_.jpg""]"
"R1DZIDZ1KCXV0E","B0BHS5VPCZ","","Reviewed in the United States on May 1, 2023","May 1, 2023",1682895600,"Tony",5,"Good thickness.. highly recommend","The media could not be loaded. The raised bed came in a lot of protective material to prevent scratches. Super easy to put together. It took 45 minutes for three of us to assemble. It helps to have an electric drill to help tighten all the screws. I especially liked the center supports on the 8 x 4 size. The top edge is rolled to prevent any sharp edges, but they also give you a heavy rubber trim piece to head to the top. Absolutely no complaints. We’re anxious to finish filling and see how they hold up but I doubt if therewill beproblems.",false,"[]"
