"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase","media"
"R33D16RUDVN9BT","B071SJ2MV8","B0B4RPYFXJ","Reviewed in the United States 🇺🇸 on April 20, 2023","April 20, 2023",1681945200,"Cindy",5,"Love","This is my second set i have gifted. Everyone loves them and the case",false,"[]"
"R2XJCICWEF65IV","B071SJ2MV8","B07FCDFQJC","Reviewed in the United States 🇺🇸 on April 19, 2023","April 19, 2023",1681858800,"Cindy Gilbert",3,"Camping sticks","I love that they are extendable but they seem a bit cheap.",false,"[]"
"R3DKLOBZJ3BC3W","B071SJ2MV8","B071SJ2MV8","Reviewed in the United States 🇺🇸 on April 16, 2023","April 16, 2023",1681599600,"Daralynn",1,"Broken first time I opened the package :(","These are so thin the first fork I opened broke as I was trying to close it.",false,"[""https://m.media-amazon.com/images/I/71wFeySO2-L._SL1600_.jpg""]"
"R1BPNSQ90A80TN","B071SJ2MV8","B071SJ2MV8","Reviewed in the United States 🇺🇸 on April 11, 2023","April 11, 2023",1681167600,"Carolyn C. Leech",5,"Wonderful tools used with firepit","My daughter and her family love to use these tools for s’mores in their outdoor firepit. My grandkids appreciate their family time together having smores.",false,"[]"
"R2R5WDHOW9G3WO","B071SJ2MV8","","Reviewed in the United States 🇺🇸 on April 5, 2023","April 5, 2023",1680649200,"Amazon Customer",5,"Great value","These worked out great.Great product for the cost.Would purchase again",false,"[]"
"R3NRZRMS49P020","B071SJ2MV8","","Reviewed in the United States 🇺🇸 on April 5, 2023","April 5, 2023",1680649200,"Kristy G.",5,"Perfect","They are good quality! Perfect for family fun and smore making!",false,"[]"
"R7SUZ9GM3Q2J7","B071SJ2MV8","B07FCDFQJC","Reviewed in the United States 🇺🇸 on March 11, 2023","March 11, 2023",1678492800,"Naleeb",4,"Christmas gift","Gave these to a family with young children.Don't know if they have used them.",false,"[]"
"R3B04OW6N77ADG","B071SJ2MV8","B071SJ2MV8","Reviewed in the United States 🇺🇸 on March 7, 2023","March 7, 2023",1678147200,"Gaurav S.",5,"Love them","Easy to use, kids love it. Comes in a nice pouch. Be careful to not load it up, don’t think it can handle weight when fully extended",false,"[]"
"ROR2TJIA43WE","B071SJ2MV8","B071SJ2MV8","Reviewed in the United States 🇺🇸 on January 15, 2023","January 15, 2023",1673740800,"Missy",5,"Works well, cleans easily, like the case for storage","I’ve used these twice for marshmallows on a fire. They don’t heat up to badly and extend more than far enough to keep from burning your hands with a reasonable sized fire. The also clean easily in a dishwasher or by hand. The canvas case is great for storage to keep these from just taking up space in the drawer next to the forks. I’d recommend and would buy again.",false,"[]"
"RROET3HIM669L","B071SJ2MV8","B071SJ2MV8","Reviewed in the United States 🇺🇸 on January 12, 2023","January 12, 2023",1673481600,"Kristin M.",1,"One time use.... if that!!!","Bought for my son's 15th bday party bon fire. Most of them broke extending them before the first use. By the end of the night they were all in the trash and we were using wooden skewer sticks my aunt brought.... Thank God she brought back ups!!",false,"[]"
