"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase","media"
"R1DTO1X9C5ONUB","B0BCW8X98V","B0956MW1NW","Reviewed in the United States 🇺🇸 on June 12, 2023","June 12, 2023",1686524400,"D-tonator",4,"Great Way To Garden","We have been using flower pots for a couple of years to grow fresh tomatoes in the summer. Then we saw these garden planters and thought we wouldgive it a try. The only draw back that I saw was the amount of soil that it takes to fill the bed. We went with bagged top soil and at last count we were up to 28 bags and the beds not full yet. If you have access to a load of top soil, that would solve that problem. Our plants are looking good but you need to keep them watered. We should be enjoying fresh tomatoes in a month or so.",false,"[]"
"R3EDGM8WNEH1S","B0BCW8X98V","B09Q33D2J1","Reviewed in the United States 🇺🇸 on June 12, 2023","June 12, 2023",1686524400,"Luisius Maximus",5,"exceeded expectations","Well made,excellent quality, including the packaging. Bolt holes all lined up perfectly. Edges were rolled so as to eliminate cutting points. Only thing questionable is ""10 minute assembly"". Still didn't stop me from ordering 2 more.",false,"[]"
"RGB3RAIEZY1UB","B0BCW8X98V","B0956DRBZQ","Reviewed in the United States 🇺🇸 on June 10, 2023","June 10, 2023",1686351600,"AwesomeSpider4",5,"Good, sturdy","pay attention to the screw numbers though. Those are important.",false,"[]"
"R3F0YOCI33XAEH","B0BCW8X98V","B09Q33D2J1","Reviewed in the United States 🇺🇸 on June 10, 2023","June 10, 2023",1686351600,"E. A. C.",5,"Flexible gardening","I ordered two units and made the 4x8 and a 4x4.Very easy to assemble and have my first raised garden going.Compared to other options - very reasonably priced!",false,"[]"
"R3DEQYAXPP426R","B0BCW8X98V","B0BCW1BVNG","Reviewed in the United States 🇺🇸 on June 2, 2023","June 2, 2023",1685660400,"bev",5,"Great easy to assemble","Looks good and sturdy",false,"[]"
"R319A0ENX3ZZ88","B0BCW8X98V","B0956DRBZQ","Reviewed in the United States 🇺🇸 on June 2, 2023","June 2, 2023",1685660400,"Becky",5,"Love them!","Many screws to put these together but well worth it. I started with two. Now I’m up to five. So much easier than gardening at the ground level.",false,"[]"
"R2CV7QQML8PJ7L","B0BCW8X98V","B0956DRBZQ","Reviewed in the United States 🇺🇸 on June 1, 2023","June 1, 2023",1685574000,"Tingting zheng",5,"Help","The media could not be loaded. screw is no enough",false,"[]"
"R35SQ23GC5UDEA","B0BCW8X98V","B0BCW1BVNG","Reviewed in the United States 🇺🇸 on May 31, 2023","May 31, 2023",1685487600,"Renard",4,"Raised garden bed","Raised garden bed works, easy to assemble for someone with small hands, notMe",false,"[]"
"R3GBU5XE1DKJQG","B0BCW8X98V","B0BCW1BVNG","Reviewed in the United States 🇺🇸 on May 29, 2023","May 29, 2023",1685314800,"LearningJane",5,"Great Value and Durability","Beds were sturdier than I had imagined, went together quickly and are of high quality. I am very pleased considering the great price.",false,"[]"
"R2YVD1C8VD7LQV","B0BCW8X98V","B0BCW1BVNG","Reviewed in the United States 🇺🇸 on May 27, 2023","May 27, 2023",1685142000,"HRLady",4,"Decent for the money","This was a good buy overall. One corner of the box on arrival was crushed in and so was the product but we were able to straighten the pieces enough to use them. Its not the sturdiest metal.It was easy to put together and we liked not needing tools.My only concern is the bolts and wing nuts will likely rust out. Stainless steel fasteners would be a better method.But as i said, overall it is good.",false,"[]"
