"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase","media"
"R13YNM3YLSRYSR","B087V7KPZY","B087V7KPZY","Reviewed in the United States 🇺🇸 on April 10, 2023","April 10, 2023",1681081200,"polly",5,"Great for gist baskets","I used these for table top smores",false,"[]"
"R399B7N0J6AWBJ","B087V7KPZY","B087V7KPZY","Reviewed in the United States 🇺🇸 on April 1, 2023","April 1, 2023",1680303600,"Joy",5,"Adjustable","Purchased the product after using it at a friend's house. Kids were able to sit further away from the fire, because of the adjustability of the forks. Easy clean up. Nice to be able to place them in a bag between uses.Very nice product. Great price.",false,"[]"
"R2RHDB54IIFB3I","B087V7KPZY","B087V7KPZY","Reviewed in the United States 🇺🇸 on April 1, 2023","April 1, 2023",1680303600,"Tammy",2,"Very flimsy","Although this product says “Marshmallow Roaster” I thought I was buying what I already had. Old one on the left, new on the right. The one on the right is what I call sturdy.Several reviews said these were sturdy and I’m baffled by this. I’m sure they’d hold a marshmallow, but they are super flimsy. About as sturdy as if you’d unraveled a wire coat hanger and used a single strand of wire. The only benefit is you could cook 2 of them with this? I bought this thinking I could cook hotdogs and brats like I do with my old one, but these wouldn’t hold one up. If you only plan on cooking marshmallows which are mostly air, they’ll probably be fine.",false,"[""https://m.media-amazon.com/images/I/61JwZxjRrrL._SL1600_.jpg""]"
"R36MJ8N5H404OV","B087V7KPZY","B087V7KPZY","Reviewed in the United States 🇺🇸 on March 20, 2023","March 20, 2023",1679270400,"Cory Sheldon",5,"Great for Camping.","No problems work like they are supposed to.",false,"[]"
"R1X9I40M6L9ET6","B087V7KPZY","B087V7KPZY","Reviewed in the United States 🇺🇸 on March 19, 2023","March 19, 2023",1679184000,"luvdolls",5,"Perfect for using with firepit","As described and love that you can adjust the length of them. Haven’t use them yet but can’t wait.",false,"[]"
"RPQMKUNMYGR2C","B087V7KPZY","B087V7KPZY","Reviewed in the United States 🇺🇸 on March 4, 2023","March 4, 2023",1677888000,"Broderick Guidry",5,"Love it","Bought them for my grandkids could roast marshmallows in fireplace. Good product",false,"[]"
"R2YAZNA6R440ML","B087V7KPZY","B087V7KPZY","Reviewed in the United States 🇺🇸 on March 3, 2023","March 3, 2023",1677801600,"Amazon Customer",5,"VERY HAPPY !!!!","These work great and are very sturdy even when completely extended.We bought a second order.",false,"[]"
"RRZY6BNBPYQDM","B087V7KPZY","B087V7KPZY","Reviewed in the United States 🇺🇸 on February 27, 2023","February 27, 2023",1677456000,"LoveMyLife",5,"Telescopic handles make these easy to use and easier to store.","Perfect for the outdoor firepit, these are well made, with nice comfort grips and reusable silicone tips to cover the sharp ends.Telescopic handles make these easy to use and easier to store. Come in a nice zipper pouch for storage.",false,"[]"
"R11IK3JISVAY7Z","B087V7KPZY","B087V7KPZY","Reviewed in the United States 🇺🇸 on February 3, 2023","February 3, 2023",1675382400,"S. Sortino",5,"Awesome!","We have been using these to roast marshmallows in our fireplace. I love them! They keep my fingers form burning.",false,"[]"
"RO0RNWIC3ZPJC","B087V7KPZY","B087V7KPZY","Reviewed in the United States 🇺🇸 on January 19, 2023","January 19, 2023",1674086400,"Searcher",5,"Great roasting sticks","I was sooooo happy to find these on Amazon.We had the other variation for years (narrower, designed to roast wieners) and so I was thrilled to find these that have the forks further apart and are ideal for marshmallow roasting.",false,"[]"
