"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase","media"
"R2WN1532OC0SZU","B073F9H93D","B0B7R2CV77","Reviewed in the United States 🇺🇸 on March 21, 2023","March 21, 2023",1679356800,"D. Schauer",1,"Junk. Not at all like pictures.","Horrible product. Magnetic writing does not show up at all. Shapes along side do not stay in place. Do not recommend.",false,"[]"
"R29YYJ6U5VHERA","B073F9H93D","B073F9H93D","Reviewed in the United States 🇺🇸 on March 19, 2023","March 19, 2023",1679184000,"Ginger Mitchell",5,"Long lasting","This was bought for my granddaughter. Wow, they have improved these since my kids were little. This thing has been played with and even walked on for 3 years and it still works!!!!",false,"[]"
"R2RIV9IVO0O3WR","B073F9H93D","B073F9H93D","Reviewed in the United States 🇺🇸 on March 15, 2023","March 15, 2023",1678838400,"Joyce A. Gould",5,"Perfect upgrade from the ""old"" one we had!","Very pleased with product....",false,"[]"
"R38UE8N6AGTUT2","B073F9H93D","B0B7N6BKXL","Reviewed in the United States 🇺🇸 on March 9, 2023","March 9, 2023",1678320000,"Buzgal",5,"my nieces favourite toy so far!","My little niece is almost 2 years old and she is discovering all sorts of things, as well as her artsy side, so to avoid that art come out all over the apt walls we got this for her and it was a great idea honestly.She loves all the parts of it, she loves the colours that come out of the drawings, the Stamps and the pen, she learned how to erase the boards and she is all over that too.The only thing that may be hard to keep up with is the stamps since they do not have a string to keep the stamps secured to the board, but other than that it is a perfect little toy for the little one in the house and she adores it.We take with us in the car for longer road trips and it keeps her busy for a good while.",false,"[""https://m.media-amazon.com/images/I/517BelNiAkL._SL1600_.jpg"",""https://m.media-amazon.com/images/I/51CuCPsMHpL._SL1600_.jpg"",""https://m.media-amazon.com/images/I/51l3-13dO1L._SL1600_.jpg"",""https://m.media-amazon.com/images/I/614GAvUDMFL._SL1600_.jpg"",""https://m.media-amazon.com/images/I/61hwT3SJHxL._SL1600_.jpg"",""https://m.media-amazon.com/images/I/61rFipMOd+L._SL1600_.jpg"",""https://m.media-amazon.com/images/I/7112aLEdI8L._SL1600_.jpg""]"
"R8CBA9OQQS6I0","B073F9H93D","B073F9H93D","Reviewed in the United States 🇺🇸 on March 6, 2023","March 6, 2023",1678060800,"Seth Shockley",3,"Magnet fell of plastic","The magnet fell off the plastic holder of the circle. This created a choking hazard for the little one.",false,"[]"
"R5V0JJ8DUHBQN","B073F9H93D","B073F9H93D","Reviewed in the United States 🇺🇸 on February 25, 2023","February 25, 2023",1677283200,"Kristi Walton",5,"Great","I got this for my now 1 year old son and he likes it. I feel like this will teach him how to hold a pencil/pen without the mess of getting ink or what not everywhere and allow him to learn how to draw and write.",false,"[]"
"R3EVP6RM0M8BN3","B073F9H93D","B073F9H93D","Reviewed in the United States 🇺🇸 on February 22, 2023","February 22, 2023",1677024000,"JOHN N TOMASETTI",2,"Not as advertised","Poor quality, not very bright and vivid colors as stated in the video.Item was returned to Amazon very dissatisfied..",false,"[]"
"R3BKLR081PPAJS","B073F9H93D","B073F9H93D","Reviewed in the United States 🇺🇸 on February 17, 2023","February 17, 2023",1676592000,"Masha",4,"The colors are not as bright","My son absolutely loves it, drags it everywhere he goes, the minuses are the colors are not as bright as its shown on the pics, some cells of the screen dont get ""painted"", the erasing bar at the bottom is hard to move- you have to hold the board in order to move the bar- hard for a toddlerto do without parents help.",false,"[]"
"R37OC9BLBAO7AH","B073F9H93D","B0B7N6BKXL","Reviewed in the United States 🇺🇸 on February 13, 2023","February 13, 2023",1676246400,"Joan R.",3,"Magnets don’t stay in place","My 3year old grandson was very frustrated because the magnets would not stay attached. We were constantly looking for them on the floor.",false,"[]"
"R1NDW425IO9CPW","B073F9H93D","B073F9H93D","Reviewed in the United States 🇺🇸 on February 6, 2023","February 6, 2023",1675641600,"Carson Sophia Alvarez",5,"Toddler likes it","The colors are not very vibrant but I don't think my toddler cares. The magnet shapes are cool but my kid put them in her mouth so we don't use them anymore. Blue plastic around it is thin and not great quality. Again, my kid doesn't care. It's not heavy at all, it's very light. Great for kids",false,"[]"
"R3E4XR93BE0H98","B073F9H93D","","Reviewed in the United States on February 5, 2023","February 5, 2023",1675555200,"Nancy klawinski",1,"Do not buy","Product too small, magnet side pieces hard to get in and out of storage slot on side, not sturdy made.Do not buy.",false,"[]"
"R139AC0GPWK8FX","B073F9H93D","B073F9H93D","Reviewed in the United States on February 2, 2023","February 2, 2023",1675296000,"K Sutton",4,"Engaging toy","Bought this for my 2-year old granddaughter.Only had it for a couple of days, but so far it is a hit.Only negative is don't expect the different colors to be anywhere near as vivid as advertised or shown on the box.She doesn't know the difference so, not a deal-breaker",false,"[]"
"R2YLOBQHE2IZV5","B073F9H93D","B073F9H93D","Reviewed in the United States on January 25, 2023","January 25, 2023",1674604800,"SuSann",5,"Creative fun for tiny minds n hands!","Wonderful non-tech tactile teaching fun. They learn to draw n create early. Zero batteries! Hours of time to spend using the shape pieces to create from their imagination and experience. Teaches them about magnetics, shapes and colour.",false,"[]"
"R2UOOR8ORWP4NE","B073F9H93D","B073F9H93D","Reviewed in the United States on January 23, 2023","January 23, 2023",1674432000,"IA",4,"Revised different from the picture. Picture is misleading.","Muddy colors, not bright. Picture is misleading, totally different from reality. Sorry for this feedback, but it is the reality. With best regards.Additional feedback, I raised the grade due to excellent service support that we received with proposed different alternatives to resolve the problem. Appreciate",false,"[]"
"RZU38VVHRUJ60","B073F9H93D","B073F9H93D","Reviewed in the United States on January 21, 2023","January 21, 2023",1674259200,"Susan Bowersox",5,"Wonderful learning toy!!","Bought this for my 18 month old grandson.He played with it all day!It is easy to use with magnetic shapes that easily go back into their slots,and the pencil is attached so it won't get lostThe mechanism to clear pictures works really well and my little mastered it in minutes and LOVED doing it!!You can't go wrong with this item for kids under two!",false,"[]"
